화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
구룡포해수욕장(1),N,0,24시간,구룡포읍,3,0,054-276-2504,,5,공중화장실,4,129.5660333,0,경상북도 포항시 남구 구룡포읍 호미로426번길6 (구룡포리 9-16),0,0,35.99683045,0,Jan-93,2018-06-30
구룡포해수욕장(2),N,0,24시간,구룡포읍,3,0,054-276-2504,,6,공중화장실,5,129.5660333,0,경상북도 포항시 남구 구룡포읍 호미로426번길6 (구룡포리 9-16),0,0,35.99683045,0,Jan-96,2018-06-30
구룡포시장(1),N,0,24시간,구룡포읍,2,0,054-276-2504,,2,공중화장실,2,129.5531515,0,경상북도 포항시 남구 구룡포읍 구룡포길 60-12 (구룡포리 963),0,0,35.9895843,0,Jan-75,2018-06-30
구룡포시장(2),N,1,24시간,구룡포읍,1,0,054-276-2504,,2,공중화장실,2,129.5531515,0,경상북도 포항시 남구 구룡포읍 구룡포길 60-12 (구룡포리 963),0,0,35.9895843,1,Jan-76,2018-06-30
풋살구장 화장실,N,0,24시간,구룡포읍,1,0,054-276-2504,,1,공중화장실,1,129.5527868,0,경상북도 포항시 남구 구룡포읍 호미로 188-27(구룡포2리954-28)-(구룡포 풋살구장),0,0,35.98817577,0,05-Jan,2018-06-30
구룡포5리 방파제,N,0,24시간,구룡포읍,3,0,054-276-2504,,5,공중화장실,3,129.5219364,0,경상북도 포항시 남구 구룡포읍 구룡포5리 방파제,0,0,35.95096288,0,09-Jan,2018-06-30
구룡포6리 간이해수욕장 화장실,N,0,24시간,구룡포읍,1,0,054-276-2504,,3,공중화장실,2,129.5667705,0,경상북도 포항시 남구 구룡포읍 호미로 334-76  (구룡포6리 190-62),0,0,35.99234954,0,10-Jan,2018-06-30
삼정1리 화장실,N,0,24시간,구룡포읍,1,0,054-3072-5355,,2,공중화장실,2,129.5722297,0,경상북도 포항시 남구 구룡포읍 삼정1리 해안도로,0,0,36.01309856,0,03-Jan,2018-06-30
구룡포 삼정섬 화장실,N,0,24시간,구룡포읍,1,0,054-276-2504,,2,공중화장실,2,129.5729192,0,경상북도 포항시 남구 구룡포읍 삼정리 149-1(삼정섬내 관풍대횟집옆),0,0,36.00497521,0,Jan-97,2018-06-30
구룡포 축구장화장실,N,0,24시간,구룡포읍,3,0,054-276-2504,,3,공중화장실,3,129.5399808,0,경상북도 포항시 남구 구룡포읍 하정리 산 27-5,0,0,35.97629559,0,08-Jan,2018-06-30
녹색체험마을 공중화장실,N,0,24시간,구룡포읍,2,0,054-549-7556,,5,공중화장실,3,129.5191772,0,경상북도 포항시 남구 구룡포읍 정동길77번길 11-6 (성동리 237-1237-2),0,0,35.94182016,0,08-Jan,2018-06-30
오어사사찰입구,N,1,24시간,오어사사찰,3,0,054-270-2271,,5,공중화장실,6,129.368808,0,경상북도 포항시 남구 오천읍 오어로 1 (항사리 34),0,0,35.92635543,1,Jan-96,2018-06-30
항사리 수정사 입구,N,1,24시간,오어사사찰,1,0,054-270-2271,,2,공중화장실,1,129.3766771,0,경상북도 포항시 남구 오천읍 오어로 173-90 (항사리 수정사 입구),0,0,35.93403492,1,05-Jan,2018-06-30
오어사 종점,N,0,24시간,오천읍,4,0,054-270-6852,,5,공중화장실,5,129.368808,0,경상북도 포항시 남구 오천읍 오어로 1 (항사리 오어사 주차장),0,0,35.92635543,0,Jan-96,2018-06-30
용산숲 입구,N,1,24시간,오천읍,1,0,054-270-6852,,2,공중화장실,0,129.4173034,0,경상북도 포항시 남구 오천읍 용산1리 360-4,0,0,35.93937164,1,07-Jan,2018-06-30
갈평리 공중화장실,N,0,24시간,오천읍,1,0,054-270-6852,,1,공중화장실,1,129.4152796,0,경상북도 포항시 남구 오천읍 갈평리,0,0,35.90519625,0,07-Jan,2018-06-30
