화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
모전공원,N,2,24시간,경상북도 문경시청  도시과,2,0,054-550-8887,경상북도 문경시 모전동 산 30-2,5,공중화장실,2,128.183812,0,,0,0,36.520209,1,,2018-02-19
내서면 신촌1리바랑골,Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 내서면 신촌리 152-4,0,간이화장실,1,128.060152,0,경상북도 상주시 내서면,0,0,36.410335,0,,2018-07-31
내서면 서원1리,Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 내서면 서원리 113-1,0,간이화장실,1,128.008223,0,경상북도 상주시 내서면,0,0,36.438114,0,,2018-07-31
내서면 서만1리,Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 내서면 서만리 569-3부근,0,간이화장실,1,128.034295,0,경상북도 상주시 내서면,0,0,36.454776,0,,2018-07-31
내서면 서만1리(새터),Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 내서면 서만리 1010-7부근,0,간이화장실,1,128.03645,0,경상북도 상주시 내서면 신촌리,0,0,36.45677,0,,2018-07-31
내서면 북장 재활용선별장,Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 내서면 북장리 487-77,0,간이화장실,1,128.0595,0,경상북도 상주시 내서면 서원리,0,0,36.419699,0,,2018-07-31
모동면 복숭아작목반,N,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 모동면 덕곡리 1054-3,2,간이화장실,1,127.962289,0,경상북도 상주시 모동면 수봉리,0,0,36.323649,0,,2018-07-31
모동면 석천오이작목반,N,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 모동면 이동리 866-3,2,간이화장실,1,127.956261,0,경상북도 상주시 모동면 상판리,0,0,36.309687,0,,2018-07-31
모동면 수봉재,Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 모동면 수봉리 산49-4,1,간이화장실,1,127.934325,0,경상북도 상주시 모동면 금계리,0,0,36.27857,0,,2018-07-31
모동면 금천리,Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 모동면 금천리 산31-1,1,간이화장실,1,127.949476,0,,0,0,36.307271,0,,2018-07-31
모동면 상판소나무숲,Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 모동면 상판리 844,1,간이화장실,1,127.974855,0,,0,0,36.295589,0,,2018-07-31
모동면 용추폭포(백화산),Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 모동면 수봉리 산104,1,간이화장실,1,127.939029,0,,0,0,36.294761,0,,2018-07-31
모동면 세심석(백화산),Y,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 모동면 수봉리 577-13,1,간이화장실,1,127.938089,0,,0,0,36.291936,0,,2018-07-31
모동면 둘레길(백화산),N,0,24시간,경상북도 상주시청,1,0,054-537-7353,경상북도 상주시 모동면 수봉리 산75,1,간이화장실,1,127.923383,0,경상북도 상주시 모동면 상판리,0,0,36.296697,0,,2018-07-31
