화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
안동세무서 의성지서,N,0,(평일)09:00~18:00,의성세무서,5,1,054-830-7200,경상북도 의성군 의성읍 후죽리 509-1,3,공중화장실,6,128.695039,0,경상북도 의성군 의성읍 후죽5길 27,0,0,36.353624,1,May-16,2018-01-01
대구지방법원 의성지원,N,0,(평일)09:00~18:00,대구지방법원 의성지원,6,1,054-830-8030,경상북도 의성군 의성읍 중리리 748-1,6,공중화장실,7,128.698387,0,경상북도 의성군 의성읍 군청길 67,0,0,36.352954,1,Mar-95,2018-01-01
의성경찰서,N,0,(평일)09:00~18:00,의성경찰서,18,1,054-830-8324,경상북도 의성군 의성읍 후죽리 608-3,3,공중화장실,14,128.695542,0,경상북도 의성군 의성읍 동서1길 31,0,0,36.350232,1,Jan-98,2018-01-01
안계우체국,N,0,(평일)09:00~18:00,안계우체국,3,0,054-862-0001,경상북도 의성군 안계면 용기리 842-7,2,공중화장실,2,128.434651,0,경상북도 의성군 안계면 안계시장길 54,0,0,36.385687,0,Nov-95,2018-01-01
탑리우체국,Y,0,(평일)09:00~18:00,금성우체국,0,0,054-834-2800,경상북도 의성군 금성면 대리리119-2,1,공중화장실,1,128.678436,0,경상북도 의성군 의성읍 탑리길 77,0,0,36.25818,0,Jun-95,2018-01-01
의성우체국,N,0,(평일)09:00~18:00,의성우체국,2,0,054-834-2800,경상북도 의성군 의성읍 후죽리 626-1,2,공중화장실,3,128.694957,0,경상북도 의성군 의성읍 중앙길 60,0,0,36.349903,0,Nov-95,2018-01-01
봉양우체국,N,0,(평일)09:00~18:00,봉양우체국,1,0,054-832-2000,경상북도 의성군 봉양면 화전리 130-1,1,공중화장실,1,128.576808,0,경상북도 의성군 의성읍 도리원3길 5,0,0,36.298855,0,Apr-95,2018-01-01
다인우체국,N,0,(평일)09:00~18:00,다인우체국,1,0,054-861-6000,경상북도 의성군 다인면 서릉리 85-2,2,공중화장실,2,128.35387,0,경상북도 의성군 다인면 서릉1길 6,0,0,36.448347,0,Nov-95,2018-01-01
한국농어촌공사 의성군위지사,N,0,(평일)09:00~18:01,한국농어촌공사,6,1,054-830-8100,경상북도 의성군 안계면 용기리 928,3,공중화장실,6,128.431788,0,경상북도 의성군 안계면 서부로 1776-46,0,0,36.392118,1,Jun-01,2018-01-01
의성군청,N,1,(평일)09:00~18:00,의성군 재무과,10,1,054-830-6133,경상북도 의성군 의성읍 후죽리 509-2,16,공중화장실,11,128.694615,0,경상북도 의성군 의성읍 군청길31,0,0,36.352676,2,Jul-07,2018-01-01
의성군의회,N,0,(평일)09:00~18:00,의성군의회,8,1,054-830-6404,경상북도 의성군 의성읍 후죽리 509-2,6,공중화장실,9,128.694615,0,경상북도 의성군 의성읍 후죽5길,0,0,36.352676,1,Feb-12,2018-01-01
의성군 보건소,N,1,(평일)09:00~18:00,의성군 보건소,6,0,054-830-6653,경상북도 의성군 의성읍 도서리 104,8,공중화장실,7,128.694916,0,경상북도 의성군 의성읍 구봉길 228,0,0,36.345857,1,Jun-90,2018-01-01
안계군립도서관,N,0,(평일)09:00~18:00,시설관리사업소,2,0,054-830-6952,경상북도 의성군 안계면 용기리 475-2,2,공중화장실,4,128.437985,0,경상북도 의성군 안계면 안계길 114,0,0,36.383964,0,Aug-00,2018-01-01
의성군 군민회관,N,0,(평일)09:00~18:00,의성군 재무과,2,0,054-830-6133,경상북도 의성군 의성읍 후죽리509,2,공중화장실,3,128.694615,0,경상북도 의성군 의성읍 후죽4길 4-7,0,0,36.352676,0,Jul-80,2018-01-01
조문국박물관,N,0,(평일)09:00~18:00,조문국박물관,4,0,054-830-6909,경상북도 의성군 금성면 초전리 223-7,2,공중화장실,1,128.668223,0,경상북도 의성군 안계면 초전1길 83,0,0,36.28361,1,Aug-00,2018-01-01
조문국사적지공원,N,0,연중무휴,조문국박물관,2,0,054-830-6909,경상북도 의성군 금성면 대리리 379-3,3,공중화장실,4,128.675041,0,,0,0,36.273235,0,Jun-06,2018-01-01
의성군 문화체육공원,N,1,(평일)09:00~18:00,시설관리사업소,10,1,054-830-6952,경상북도 의성군 의성읍 중리리 516,21,공중화장실,15,128.700541,0,경상북도 의성군 의성읍 충효로 88,0,0,36.355452,1,Apr-05,2018-01-01
