화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
황토구미옆 공중화장실,N,0,연중무휴,경상북도 울릉군청,2,0,054-790-6717,경상북도 울릉군 서면 태하리 산99-1 부근,3,공중화장실,2,130.80012,0,경상북도 울릉군 서면 태하길 236,0,0,37.51867,0,,2018-08-24
감을개 공중화장실,N,0,연중무휴,경상북도 울릉군청,1,0,054-790-6717,경상북도 울릉군 서면 남양3리 150,2,공중화장실,1,130.85812,0,,0,0,37.46044,0,,2018-08-24
남양버스정류장 공중화장실,N,1,연중무휴,경상북도 울릉군청,3,0,054-790-6717,,4,공중화장실,2,130.83733,0,경상북도 울릉군 서면 남양4길 버스승강장 옆,0,0,37.466553,1,,2018-08-24
남서1리 마을쉼터 공중화장실,N,0,연중무휴,경상북도 울릉군청,1,0,054-790-6717,경상북도 울릉군 서면 남서1리,2,공중화장실,1,130.835476,0,경상북도 울릉군 서면 남서길 25-53,0,0,37.469385,0,,2018-08-24
남양2리 마을쉼터 공중화장실,N,0,연중무휴,경상북도 울릉군청,1,0,054-790-6717,경상북도 울릉군 서면 남양리 619-6,1,공중화장실,1,130.83735,0,,0,0,37.46639,0,,2018-08-24
구암터널옆 공중화장실,N,1,연중무휴,경상북도 울릉군청,2,0,054-790-6717,,3,공중화장실,2,130.831172,1,경상북도 울릉군 서면 울릉순환로 1350 구암터널 옆,0,0,37.468443,0,,2018-08-24
학포마을 공중화장실,N,0,연중무휴,경상북도 울릉군청,2,0,054-790-6717,경상북도 울릉군 서면 태하리 594,3,공중화장실,2,130.80513,0,,0,0,37.50387,0,,2018-08-24
태하삼도사앞 공중화장실,N,0,연중무휴,경상북도 울릉군청,2,1,054-790-6717,경상북도 울릉군 서면 태하리 562,4,공중화장실,5,130.801759,0,,0,0,37.511696,1,,2018-08-24
태하어판장 공중화장실,N,0,연중무휴,경상북도 울릉군청,1,0,054-790-6717,,2,공중화장실,1,130.797979,0,경상북도 울릉군 서면 태하2길,0,0,37.510266,0,,2018-08-24
천부버스정류장 공중화장실,N,0,연중무휴,경상북도 울릉군 북면사무소,2,0,054-790-6734,경상북도 울릉군 북면 천부리 718-48번지,3,공중화장실,3,130.87328,0,,0,0,37.54124,0,,2018-08-24
추산발전소 공중화장실,N,0,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,1,0,054-790-6734,경상북도 울릉군 북면 나리 496-3,1,공중화장실,1,130.85691,0,,0,0,37.53403,0,,2018-08-24
추산성불사 공중화장실,N,0,연중무휴,경상북도 울릉군 북면사무소,5,0,054-790-6734,경상북도 울릉군 북면 나리 533-1,10,공중화장실,1,130.855,0,경상북도 울릉군 북면 추산길 128-15,0,0,37.53234,0,,2018-08-24
현포버스정류장 공중화장실,N,1,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,3,1,054-790-6734,,4,공중화장실,2,130.8207,0,경상북도 울릉군 북면 울릉순환로 2627,0,0,37.52656,1,,2018-08-24
평리마을쉼터 공중화장실,N,0,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,2,0,054-790-6734,경상북도 울릉군 북면 현포리 259-2,2,공중화장실,1,130.84304,0,,0,0,37.53445,0,,2018-08-24
석포전망대 공중화장실,N,0,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,1,0,054-790-6734,경상북도 울릉군 북면 천부리 산15,2,공중화장실,2,130.9033,0,,0,0,37.545,0,,2018-08-24
석포둘레길 공중화장실,N,0,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,2,0,054-790-6734,경상북도 울릉군 북면 천부리 238-6,3,공중화장실,2,130.9014668,0,,0,0,37.5336349,0,,2018-08-24
나리마을 공중화장실,N,0,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,2,0,054-790-6734,경상북도 울릉군 북면 나리 57-3,4,공중화장실,2,130.87171,0,,0,0,37.51842,0,,2018-08-24
선창 버스정류장 공중화장실,N,0,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,1,0,054-790-6734,경상북도 울릉군 북면 천부리 산4-13,2,공중화장실,1,130.908532,0,,0,0,37.544844,0,,2018-08-24
농촌체험관광농장 공중화장실,N,0,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,1,0,054-790-6734,경상북도 울릉군 북면 현포리 228 부근,2,공중화장실,1,130.843571,0,,0,0,37.529952,0,,2018-08-24
현포 해수풀장 공중화장실,N,1,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,3,0,054-790-6734,경상북도 울릉군 북면 현포리 504-2번지,3,공중화장실,2,130.826867,0,,0,0,37.525284,0,,2018-08-24
나리야영장 공중화장실,N,0,동절기(12월~3월) 폐쇄,경상북도 울릉군 북면사무소,1,0,054-790-6734,경상북도 울릉군 북면 나리 89-1,2,공중화장실,2,130.8670921,0,,0,0,37.5248718,0,,2018-08-24
