화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
용문사입구,N,0,24시간,경상북도 용문면사무소,2,0,054-650-6602,경상북도 예천군 용문면 내지리 279-2,2,공중화장실,2,128.369346,0,경상북도 예천군 용문면 용문사길,0,0,36.731754,0,May-90,2018-02-26
곤충연구소주차장,N,0,24시간,경상북도 예천군 곤충연구소,2,0,054-650-8262,경상북도 예천군 효자면 고항리 587-1,5,개방화장실,3,128.458201,0,경상북도 예천군 효자면 은풍로,0,0,36.824581,0,Mar-07,2018-02-26
곤충연구소안,N,0,24시간,경상북도 예천군 곤충연구소,2,0,054-650-8262,경상북도 예천군 효자면 고항리 577,5,개방화장실,3,128.458201,0,경상북도 예천군 효자면 은풍로 1045,0,0,36.824581,0,Mar-07,2018-02-26
명봉사계곡,N,1,24시간,경상북도 효자면사무소,2,0,054-650-6603,경상북도 예천군 효자면 명봉리 산1-1,2,공중화장실,2,128.376481,0,경상북도 예천군 효자면 명봉사길,0,0,36.777524,0,Jul-17,2018-02-26
감천시장(농협 앞),N,0,24시간,경상북도 감천면사무소,2,0,054-650-6605,경상북도 예천군 감천면 포리 354-4,3,간이화장실,2,128.527701,0,경상북도 예천군 감천면 포리2길,0,0,36.722624,0,Mar-11,2018-02-26
선몽대,N,1,24시간,경상북도 호명면사무소,2,0,054-650-6607,경상북도 예천군 호명면 백송리 74,4,공중화장실,2,128.458804,0,경상북도 예천군 호명면 선몽대길 74,0,0,36.597728,0,May-12,2018-02-26
용궁시장 (채소전),Y,0,24시간,경상북도 용궁면사무소,2,0,054-650-6609,경상북도 예천군 용궁면 읍부리 299-15,0,간이화장실,2,128.277923,0,경상북도 예천군 용궁면 용궁시장길,0,0,36.606992,0,Jul-05,2018-02-26
용궁시장,N,1,24시간,경상북도 용궁면사무소,3,1,054-650-6609,경상북도 예천군 용궁면 읍부리 317-1,6,공중화장실,4,128.277291,0,경상북도 예천군 용궁면 용궁로,0,0,36.607404,1,Jun-13,2018-02-26
장안사 주차장,N,1,24시간,경상북도 용궁면사무소,2,1,054-650-6609,경상북도 예천군 용궁면 향석리 46,5,공중화장실,3,128.314775,0,경상북도 예천군 용궁면 회룡대길 168,0,0,36.579592,1,May-11,2018-02-26
상설시장(시장제유소옆),Y,1,24시간,경상북도 예천읍사무소,1,0,054-650-6601,경상북도 예천군 예천읍 동본리 553,2,간이화장실,1,128.456199,0,경상북도 예천군 예천읍 상설시장1길 8,0,0,36.656258,0,Jul-78,2018-02-26
상설시장(용궁집옆),Y,1,24시간,경상북도 예천읍사무소,1,0,054-650-6601,경상북도 예천군 예천읍 동본리 553,2,간이화장실,1,128.456199,0,경상북도 예천군 예천읍 상설시장1길 8,0,0,36.656258,0,Jul-78,2018-02-26
구시장왼쪽,Y,0,24시간,경상북도 예천읍사무소,1,0,054-650-6601,경상북도 예천군 예천읍 남본리 245-69,1,간이화장실,3,128.450343,0,경상북도 예천군 예천읍 시장로,0,0,36.654585,0,May-90,2018-02-26
구시장오른쪽,Y,0,24시간,경상북도 예천읍사무소,1,0,054-650-6601,경상북도 예천군 예천읍 남본리 245-69,1,간이화장실,3,128.450343,0,경상북도 예천군 예천읍 시장로,0,0,36.654585,0,May-90,2018-02-26
시외버스터미널(티미널내),N,1,24시간,예천시외버스터미널,4,0,054-654-3798,경상북도 예천군 예천읍 대심리 66-1,3,개방화장실,3,128.442824,0,경상북도 예천군 예천읍 충효로 165,0,0,36.648477,1,Aug-80,2018-02-26
시외버스터미널(버스승강장),N,0,24시간,예천시외버스터미널,2,0,054-654-3798,경상북도 예천군 예천읍 대심리 66-1,2,개방화장실,3,128.442824,0,경상북도 예천군 예천읍 충효로 165,0,0,36.648477,0,Aug-80,2018-02-26
남산공원정상,N,1,24시간,경상북도 예천읍사무소,2,1,054-650-6601,경상북도 예천군 예천읍 남본리 43,5,공중화장실,3,128.457308,0,경상북도 예천군 예천읍 남산공원길,0,0,36.649929,1,Aug-13,2018-02-26
남산공원 정자아래,N,0,24시간,경상북도 예천읍사무소,1,0,054-650-6601,경상북도 예천군 예천읍 남본리 176-1,1,간이화장실,2,128.457162,0,경상북도 예천군 예천읍 남산공원길,0,0,36.653054,0,Aug-13,2018-02-26
예천진호양궁장,N,0,24시간,경상북도예천군문화체육사업소,1,0,054-650-6413,경상북도 예천군 예천읍 청복리 150,2,개방화장실,2,128.467801,0,경상북도 예천군 예천읍 양궁장길38,0,0,36.636284,0,Jul-96,2018-02-26
공설운동장,N,0,24시간,경상북도예천군문화체육사업소,20,0,054-650-6413,경상북도 예천군 예천읍 동본리 186,58,개방화장실,62,128.464125,0,경상북도 예천군 예천읍 충효로 395,0,0,36.658183,0,Aug-95,2018-02-26
권병원,N,1,24시간,예천권병원,2,1,054-654-6611,경상북도 예천군 예천읍 동본리 460-2,2,개방화장실,2,128.459268,0,경상북도 예천군 예천읍 시장로 136,0,0,36.657803,1,Aug-80,2018-02-26
용문시장,N,0,24시간,경상북도 용문면사무소,1,0,054-650-6602,경상북도 예천군 용문면 상금곡리 665-8,3,간이화장실,2,128.408467,0,경상북도 예천군 용문면 금당실길 169,0,0,36.689494,0,Apr-11,2018-02-26
예천역,N,1,24시간,경상북도 예천읍사무소,2,1,1544-7788,경상북도 예천군 예천읍 서본리 212-7,3,개방화장실,2,128.444611,0,경상북도 예천군 예천읍 역전길 4,0,0,36.647765,0,Aug-96,2018-02-26
