화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
완산족구장 공중화장실,N,0,24시간,경상북도 영천시환경사업소,1,0,054-339-7563,경상북도 영천시 완산동 686,2,공중화장실,1,128.9505114,0,,0,0,35.9612689,0,,2017-05-18
보현산댐 하류공원 공중화장실,N,1,24시간,경상북도 영천시환경사업소,2,0,054-339-7563,경상북도 영천시 화북면 횡계리 512-1,5,공중화장실,3,128.939343,0,,0,0,36.1218082,1,,2017-05-18
금호강 강변공원 공중화장실,N,1,24시간,경상북도 영천시환경사업소,0,0,054-339-7563,경상북도 영천시 금노동 618-131,2,공중화장실,2,128.9243421,0,,0,0,35.9555496,1,,2017-05-18
충혼탑 공중화장실,N,1,24시간,경상북도 영천시환경사업소,2,0,054-339-7563,경상북도 영천시 교촌동 308-11,3,공중화장실,1,128.9260757,0,,0,0,35.9677874,0,,2017-05-18
오수동공원 공중화장실,N,0,24시간,경상북도 영천시환경사업소,2,0,054-339-7563,경상북도 영천시 오수동 434-1,2,공중화장실,2,128.9208256,0,,0,0,35.9560056,0,,2017-05-18
영천야구장 공중화장실,N,0,24시간,경상북도 영천시환경사업소,1,0,054-339-7563,경상북도 영천시 화룡동 산37,1,공중화장실,1,128.9240902,0,,0,0,35.9760791,0,,2017-05-18
중앙공원 공중화장실,N,1,24시간,경상북도 영천시환경사업소,1,0,054-339-7563,경상북도 영천시 문외동 155-1,3,공중화장실,2,128.9352821,0,,0,0,35.9704964,1,,2017-05-18
인라인스케이트장 공중화장실,N,0,24시간,경상북도 영천시환경사업소,1,0,054-339-7563,경상북도 영천시 조교동 883-1,2,공중화장실,1,128.9591773,0,,0,0,35.9690217,0,,2017-05-18
신녕천 강변공원 공중화장실,N,1,24시간,경상북도 영천시환경사업소,0,0,054-339-7563,경상북도 영천시 신녕면 화성리 1003-25,2,공중화장실,2,128.7927661,0,,0,0,36.0473273,1,,2017-05-18
금노2공원 공중화장실,N,0,24시간,경상북도 영천시환경사업소,3,0,054-339-7563,경상북도 영천시 금노동 614-104,6,공중화장실,3,128.933992,0,,0,0,35.9535241,0,,2017-05-18
영천공설시장 공중화장실(3),N,0,24시간,경상북도 영천시환경사업소,3,0,054-339-7563,경상북도 영천시 완산동 994-48,3,공중화장실,3,128.9385831,0,,0,0,35.96474986,0,,2017-05-18
영천공설시장 공중화장실(2),N,1,24시간,경상북도 영천시환경사업소,3,0,054-339-7563,경상북도 영천시 완산동 1065-24,3,공중화장실,3,128.9370288,0,,0,0,35.96464521,0,,2017-05-18
영천공설시장 공중화장실(1),N,1,24시간,경상북도 영천시환경사업소,1,1,054-339-7563,경상북도 영천시 완산동 982-3,4,공중화장실,2,128.9385349,0,경상북도 영천시 시장4길 52 (완산동),0,0,35.96422801,0,,2017-05-18
그린환경센터 공중화장실,N,0,24시간,경상북도 영천시환경사업소,2,0,054-339-7563,경상북도 영천시 완산동 산3-1,5,공중화장실,4,128.9739757,0,경상북도 영천시 바깥완산길 433 (완산동),0,0,35.96543058,0,,2017-05-18
