화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
영덕해맞이공원 공중화장실1,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 영덕읍 창포리 산1-3,3,공중화장실,2,129.434531,0,경상북도 영덕군 영덕읍 창포리 산1-3,0,0,36.427332,0,,2018-08-28
대탄해변 공중화장실,N,0,연중무휴,경상북도 영덕군청,2,0,054-730-6204,경상북도 영덕군 영덕읍 대탄리 29-8,2,공중화장실,2,129.433068,0,경상북도 영덕군 영덕읍 대탄1길 12-16,0,0,36.435679,0,,2018-08-28
오보해변 공중화장실,N,0,연중무휴,경상북도 영덕군청,2,0,054-730-6204,경상북도 영덕군 영덕읍 오보리 146-7,3,공중화장실,2,129.432613,0,경상북도 영덕군 영덕읍 오보리 146-7,0,0,36.440206,0,,2018-08-28
영덕 해맞이공원 공중화장실2,N,0,연중무휴,경상북도 영덕군청,5,0,054-730-6204,경상북도 영덕군 영덕읍 창포리 57-2,6,공중화장실,6,129.431954,0,경상북도 영덕군 영덕읍 영덕대게로 939,0,0,36.419764,0,,2018-08-28
영덕군민운동장 공중화장실,N,0,연중무휴,경상북도 영덕군청,23,0,054-730-6204,경상북도 영덕군 영덕읍 화개리 251,38,공중화장실,75,129.364884,0,경상북도 영덕군 영덕읍 경동로 8338,0,0,36.418919,0,,2018-08-28
신재생에너지전신관 공중화장실,N,0,연중무휴,경상북도 영덕군청,3,0,054-730-6204,경상북도 영덕군 영덕읍 창포리 329-3,8,공중화장실,3,129.419711,0,경상북도 영덕군 영덕읍 해맞이길 254-20,0,0,36.422653,0,,2018-08-28
해상공원 공중화장실1,N,0,연중무휴,경상북도 영덕군청,3,0,054-730-6204,경상북도 영덕군 강구면 삼사리 293,5,공중화장실,5,129.383163,0,경상북도 영덕군 강구면 해상공원길 7-13,0,0,36.346104,0,,2018-08-28
어촌민속전시관 공중화장실,N,0,연중무휴,경상북도 영덕군청,4,0,054-730-6204,경상북도 영덕군 강구면 삼사리 155-1,9,공중화장실,16,129.385861,0,경상북도 영덕군 강구면 해상공원길 92,0,0,36.350232,0,,2018-08-28
대게상가 공중화장실,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 강구면 강구리 363-3,1,공중화장실,1,129.383067,0,경상북도 영덕군 강구면 강영로 33,0,0,36.363511,0,,2018-08-28
강구대게축구장 공중화장실,N,0,연중무휴,경상북도 영덕군청,6,0,054-730-6204,경상북도 영덕군 강구면 강구리 산67,10,공중화장실,6,129.390175,0,경상북도 영덕군 강구면 강영로 16-111,0,0,36.362781,0,,2018-08-28
남호해변 공중화장실,N,0,연중무휴,경상북도 영덕군청,2,0,054-730-6204,경상북도 영덕군 남정면 남호리 21-1,2,공중화장실,2,129.379486,0,경상북도 영덕군 남정면 동해대로 4140,0,0,36.328662,0,,2018-08-28
장사해변 공중화장실1,N,0,연중무휴,경상북도 영덕군청,10,0,054-730-6204,경상북도 영덕군 남정면 장사리74-1,10,공중화장실,10,129.374877,0,경상북도 영덕군 남정면 동해대로 3592,0,0,36.284167,0,,2018-08-28
장사해변 공중화장실2,N,0,연중무휴,경상북도 영덕군청,2,0,054-730-6204,경상북도 영덕군 남정면 남호리 285-18,2,공중화장실,2,129.374877,0,경상북도 영덕군 남정면 동해대로 3592,0,0,36.284167,0,,2018-08-28
장사터미널 공중화장실,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 남정면 장사리 67-77,2,공중화장실,1,129.373888,0,경상북도 영덕군 남정면 진불1길 16-8,0,0,36.284097,0,,2018-08-28
남정면 공중화장실,N,0,연중무휴,경상북도 영덕군청,0,0,054-730-6204,경상북도 영덕군 남정면 장사리 211-4,1,공중화장실,1,129.372956,0,경상북도 영덕군 남정면 진불길 19-1,0,0,36.283576,0,,2018-08-28
팔각산 공중화장실1,N,0,연중무휴,경상북도 영덕군청,2,0,054-730-6204,경상북도 영덕군 달산면 옥계리 232,3,공중화장실,2,129.264187,0,경상북도 영덕군 달산면 팔각산로 737,0,0,36.332951,0,,2018-08-28
팔각산 공중화장실2,N,0,연중무휴,경상북도 영덕군청,2,0,054-730-6204,경상북도 영덕군 달산면 옥산리 529-4,5,공중화장실,3,129.276785,0,경상북도 영덕군 달산면 팔각산로 1034,0,0,36.348934,0,,2018-08-28
산촌문화휴양관 공중화장실,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 달산면 옥계리 41,3,공중화장실,2,129.263814,0,경상북도 영덕군 달산면 팔각산로 735,0,0,36.333119,0,,2018-08-28
팔각산 공중화장실3,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 달산면 옥산리 652-1,1,공중화장실,1,129.277401,0,경상북도 영덕군 달산면 팔각산로 856-108,0,0,36.335231,0,,2018-08-28
달산면 공중화장실,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 달산면 대지리 805,2,공중화장실,2,129.299212,0,경상북도 영덕군 달산면 팔각산로 1906-58,0,0,36.410233,0,,2018-08-28
용운사 공중화장실,N,0,연중무휴,경상북도 영덕군청,3,0,054-730-6204,경상북도 영덕군 지품면 신안리 503,0,공중화장실,3,129.260483,0,경상북도 영덕군 지품면 경동로 6898,0,0,36.445837,0,,2018-08-28
오천솔밭유원지 공중화장실,N,0,연중무휴,경상북도 영덕군청,4,0,054-730-6204,경상북도 영덕군 지품면 오천리 165-1,6,공중화장실,6,129.326552,0,경상북도 영덕군 지품면 오천길 45-13,0,0,36.425246,0,,2018-08-28
죽도산 공중화장실,N,0,연중무휴,경상북도 영덕군청,2,0,054-730-6204,경상북도 영덕군 축산면 축산리 24-11,4,공중화장실,2,129.449611,0,경상북도 영덕군 축산면 축산항3길 55,0,0,36.505842,0,,2018-08-28
신돌석장군 생가 공중화장실,N,0,연중무휴,경상북도 영덕군청,3,0,054-730-6204,경상북도 영덕군 축산면 도곡리 528,4,공중화장실,4,129.394602,0,경상북도 영덕군 축산면 신돌석장군1길 31,0,0,36.514291,0,,2018-08-28
신돌석장군 유적지 공중화장실,N,0,연중무휴,경상북도 영덕군청,2,0,054-730-6204,경상북도 영덕군 축산면 도곡리 산60-5,4,공중화장실,3,129.404256,0,경상북도 영덕군 축산면 신돌석장군길 224,0,0,36.519711,0,,2018-08-28
영명사 공중화장실,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 축산면 축산리 747-7,1,공중화장실,1,129.427336,0,경상북도 영덕군 축산면 축산로 251-11,0,0,36.506137,0,,2018-08-28
대진해변 공중화장실1,N,0,연중무휴,경상북도 영덕군청,9,0,054-730-6204,경상북도 영덕군 영해면 대진리 426-3,10,공중화장실,11,129.426693,0,경상북도 영덕군 영해면 영덕대게로 2840,0,0,36.564397,0,,2018-08-28
영해시장 공중화장실,N,0,연중무휴,경상북도 영덕군청,5,0,054-730-6204,경상북도 영덕군 영해면 성내리 468-1,9,공중화장실,10,129.407448,0,경상북도 영덕군 영해면 예주시장6길 15,0,0,36.540275,0,,2018-08-28
영해괴시마을 공중화장실,N,0,연중무휴,경상북도 영덕군청,3,0,054-730-6204,경상북도 영덕군 영해면 괴시리 320,5,공중화장실,4,129.415925,0,경상북도 영덕군 영해면 호지마을1길 11-2,0,0,36.542979,0,,2018-08-28
영해예주문화예술회관 공중화장실,N,0,연중무휴,경상북도 영덕군청,3,0,054-730-6204,경상북도 영덕군 영해면 성내리 859-3,5,공중화장실,3,129.405183,0,경상북도 영덕군 영해면 318만세길 36,0,0,36.530038,0,,2018-08-28
경북기독보육원 화장실,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 영해면 성내리 408,2,공중화장실,2,129.413558,0,경상북도 영덕군 영해면 원당1길 31,0,0,36.537157,0,,2018-08-28
대진항 공중화장실1,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 영해면 대진리 278-1,1,공중화장실,1,129.432275,0,경상북도 영덕군 영해면 영덕대게로 2762,0,0,36.560289,0,,2018-08-28
대진항 공중화장실2,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 영해면 대진리 275-3,1,공중화장실,1,129.432351,0,경상북도 영덕군 영해면 영덕대게로 2740,0,0,36.558331,0,,2018-08-28
영해생활체육공원 공중화장실,N,0,연중무휴,경상북도 영덕군청,3,0,054-730-6204,경상북도 영덕군 영해면 성내리 130,3,공중화장실,4,129.407041,0,경상북도 영덕군 영해면 영덕로 1582,0,0,36.524008,0,,2018-08-28
백석해변 공중화장실,N,0,연중무휴,경상북도 영덕군청,2,0,054-730-6204,경상북도 영덕군 병곡면 백석리 335-6,3,공중화장실,5,129.411442,0,경상북도 영덕군 병곡면 흰돌로 125,0,0,36.615913,0,,2018-08-28
고래불해변 공중화장실1,N,0,연중무휴,경상북도 영덕군청,7,0,054-730-6204,경상북도 영덕군 병곡면 병곡리 58-4,16,공중화장실,29,129.410295,0,경상북도 영덕군 병곡면 고래불로 394,0,0,36.598612,0,,2018-08-28
대진해변 공중화장실2,N,0,연중무휴,경상북도 영덕군청,7,0,054-730-6204,경상북도 영덕군 병곡면 덕천리 1-59,11,공중화장실,24,129.423058,0,경상북도 영덕군 병곡면 고래불로 12,0,0,36.567543,0,,2018-08-28
영덕청소년야영장 공중화장실,N,0,연중무휴,경상북도 영덕군청,6,0,054-730-6204,경상북도 영덕군 병곡면 영리 155-6,12,공중화장실,23,129.409165,0,경상북도 영덕군 병곡면 고래불로 330,0,0,36.592036,0,,2018-08-28
고래불해변 공중화장실2,N,0,연중무휴,경상북도 영덕군청,5,0,054-730-6204,경상북도 영덕군 병곡면 병곡리 58-27,9,공중화장실,4,129.410295,0,경상북도 영덕군 병곡면 고래불로 394,0,0,36.598612,0,,2018-08-28
유금사 화장실,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 병곡면 금곡리 838,1,공중화장실,1,129.365727,0,경상북도 영덕군 병곡면 유금길 213-26,0,0,36.645824,0,,2018-08-28
장육사 화장실,N,0,연중무휴,경상북도 영덕군청,0,0,054-730-6204,경상북도 영덕군 창수면 갈천리 120,0,공중화장실,1,129.301239,0,경상북도 영덕군 창수면 장육사1길 172,0,0,36.598718,0,,2018-08-28
창수면 공중화장실1,N,0,연중무휴,경상북도 영덕군청,1,0,054-730-6204,경상북도 영덕군 창수면 신기리 산331,1,공중화장실,1,129.346114,0,경상북도 영덕군 창수면 오서로 7,0,0,36.546866,0,,2018-08-28
창수면 공중화장실2,N,0,연중무휴,경상북도 영덕군청,0,0,054-730-6204,경상북도 영덕군 창수면 창수리 산3-2,1,공중화장실,1,129.352611,0,경상북도 영덕군 창수면 산3-2,0,0,36.547076,0,,2018-08-28
