화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
입암중학교,N,0,연중무휴,입암중학교,8,0,054-682-4010,경상북도 영양군 입암면 산해리 48,12,공중화장실,10,129.082523,0,경상북도 영양군 입암면 산해1길 9-4,0,0,36.593535,0,,2018-02-19
입암면사무소,N,0,연중무휴,경상북도 영양군청,1,0,054-680-5516,경상북도 영양군 입암면 신구리 481-3,3,공중화장실,2,129.090256,0,경상북도 영양군 입암면 조기리길 10,0,0,36.593477,1,,2018-02-19
입암버스정류소,N,0,연중무휴,경상북도 영양군청,2,0,054-682-4111,경상북도 영양군 입암면 신구리 465-2,2,공중화장실,2,129.09013,0,경상북도 영양군 입암면 조기리길 24-1,0,0,36.594807,0,,2018-02-19
선바위관광지다동,N,0,연중무휴,경상북도 영양군청,2,0,054-680-5361,경상북도 영양군 입암면 신구리 95-7,3,공중화장실,2,129.081969,0,경상북도 영양군 입암면 영양로 883-6,0,0,36.608266,0,,2018-02-19
선바위관광지나동,N,0,연중무휴,경상북도 영양군청,4,0,054-680-5361,경상북도 영양군 입암면 신구리 95-8,3,공중화장실,4,129.081352,0,경상북도 영양군 입암면 영양로 883-16,0,0,36.608067,0,,2018-02-19
선바위관광지 가동,N,1,연중무휴,경상북도 영양군청,3,1,054-680-5361,경상북도 영양군 입암면 신구리 95-8,6,공중화장실,3,129.081352,0,경상북도 영양군 입암면 영양로 883-5,0,0,36.608067,1,,2018-02-19
청암교,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 신사1리 52,1,이동화장실,0,129.083876,0,,0,0,36.597347,0,,2018-02-19
산해1리공동작업장,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 산해리 99-2,1,이동화장실,0,129.086517,0,경상북도 영양군 입암면 산해1길 5,0,0,36.589776,0,,2018-02-19
운용지,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 대천리 산203-3,1,이동화장실,1,129.04644,0,,0,0,36.613699,0,,2018-02-19
초선대,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 산해리 235,1,이동화장실,0,129.07455,0,,0,0,36.594925,0,,2018-02-19
서치교,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 산해리 590-5,1,이동화장실,0,129.072193,0,,0,0,36.595445,0,,2018-02-19
산해교,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 산해2리 544-1,1,이동화장실,0,129.067934,0,,0,0,36.592041,0,,2018-02-19
삼산보,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 산해2리 364,1,이동화장실,0,129.075677,0,,0,0,36.583463,0,,2018-02-19
당나무숲,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 노달리 345-9,1,이동화장실,0,129.088572,0,,0,0,36.574885,0,,2018-02-19
마을안쉼터,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 병옥리 130,1,이동화장실,1,129.08006,0,,0,0,36.565873,0,,2018-02-19
양수장뒤소공원,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 방전리 478-5,1,이동화장실,0,129.08057,0,,0,0,36.561223,0,,2018-02-19
안마을하천변,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 흥구리 369-1,1,이동화장실,0,129.066106,0,,0,0,36.546384,0,,2018-02-19
갯마을하천변,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 흥구리 46-2,1,이동화장실,0,129.078947,0,,0,0,36.547042,0,,2018-02-19
방전교,N,0,연중무휴,경상북도 영양군청,1,0,054-680-6520,경상북도 영양군 입암면 방전리 569,1,이동화장실,0,129.081933,0,,0,0,36.552642,0,,2018-02-19
KT 영양지점,N,0,연중무휴,KT 영양지점,7,0,054-683-3016,경상북도 영양군 영양읍 서부리 158-6,6,공중화장실,8,129.11324,0,경상북도 영양군 영양읍 석영로 1419,0,0,36.661318,0,,2018-02-19
영양고추유통센터,N,0,연중무휴,영양군수,4,0,054-680-9000,경상북도 영양군 영양읍 동부리 39,8,공중화장실,11,129.12742,0,경상북도 영양군 영양읍 영양창수로 128,0,0,36.660539,0,,2018-02-19
영양군립전문요양원,N,0,연중무휴,영양군수,3,0,054-682-6777,경상북도 영양군 영양읍 화천리 763,9,공중화장실,3,129.174099,0,경상북도 영양군 영양읍 영양창수로 644,0,0,36.640025,0,,2018-02-19
영양시외버스터미널,N,0,연중무휴,영양시외버스터미널,2,0,054-683-2213,경상북도 영양군 영양읍 서부리 155-3,2,공중화장실,2,129.114206,0,경상북도 영양군 영양읍 시장길 1-8,0,0,36.661896,0,,2018-02-19
영양주유소,N,0,연중무휴,영양주유소,1,0,054-682-1818,경상북도 영양군 영양읍 서부리 164-1,1,개방화장실,1,129.112528,0,경상북도 영양군 영양읍 중앙로 78,0,0,36.660671,0,,2018-02-19
세진주유소,N,0,연중무휴,세진주유소,1,0,054-682-0051,경상북도 영양군 영양읍 현리 706-4,1,개방화장실,1,129.108073,0,경상북도 영양군 영양읍 영양로 1610,0,0,36.654005,0,,2018-02-19
경상북도 영양군농업기술원영양고추시험장,N,0,연중무휴,경상북도 영양군농업기술원,4,0,054-682-6856,경상북도 영양군 영양읍 대천리 579-3,3,공중화장실,6,129.148718,0,경상북도 영양군 영양읍 영양창수로 346,0,0,36.653979,0,,2018-02-19
영양군보건소,N,0,연중무휴,경상북도 영양군청,7,0,054-680-5112,경상북도 영양군 영양읍 동부리 164-1,9,공중화장실,8,129.11824,0,경상북도 영양군 영양읍 동서대로 82,0,0,36.662162,0,,2018-02-19
영양병원,N,0,연중무휴,영양병원,7,0,054-682-0727,경상북도 영양군 영양읍 서부리 100-1,8,공중화장실,7,129.117207,0,경상북도 영양군 영양읍 동서대로 75,0,0,36.662755,0,,2018-02-19
경상북도 영양군도립 영양공공도서관,N,0,연중무휴,영양군립도서관,7,0,054-683-2829,경상북도 영양군 영양읍 서부리 540,6,공중화장실,5,129.110857,0,경상북도 영양군 영양읍 중앙로 81,0,0,36.660933,0,,2018-02-19
