화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
(의)세창의료재단우성병원,N,0,00:00~24:00,(의)세창의료재단,5,0,,경기도 안산시 단원구 고잔동 529-3번지,10,공중화장실,5,126.8320155,0,경기도 안산시 단원구 고잔로 58-10 (고잔동),0,0,37.3184467,0,,2018-07-31
대덕과학탐구학습관,N,0,00:00~24:00,(재)안산시청소년수련관,0,0,,경기도 안산시 상록구 성포동 214-1번지,0,공중화장실,0,126.8532686,0,경기도 안산시 상록구 삼일로 696  (성포동),0,0,37.3262526,0,,2018-07-31
21세기병원,N,9,00:00~24:00,21세기병원,6,9,,경기도 안산시 단원구 고잔동 616-2번지,7,공중화장실,6,126.831704,0,경기도 안산시 단원구 보화로 50 (고잔동),0,0,37.3306498,5,,2018-07-31
CGV,N,0,00:00~24:00,CGV,4,0,,경기도 안산시 단원구 고잔동 725-1번지,12,공중화장실,12,126.8310158,0,경기도 안산시 단원구 광덕대로 194  (고잔동),0,0,37.3134607,0,,2018-07-31
GS백화점,N,1,00:00~24:00,GS리테일,17,1,,경기도 안산시 단원구 고잔동 536-2번지,34,공중화장실,20,126.8344984,1,경기도 안산시 단원구 고잔1길 12  (고잔동),0,0,37.3180033,1,,2018-07-31
GS스타주유소,N,2,00:00~24:00,GS칼텍스,0,2,,경기도 안산시 단원구 원곡동 616번지,0,공중화장실,0,126.8049077,0,경기도 안산시 단원구 동산로 179 (초지동),0,0,37.318488,1,,2018-07-31
IBK기업은행,N,0,00:00~24:00,IBK기업은행,6,0,,경기도 안산시 단원구 목내동 489-2번지,8,공중화장실,10,126.7718639,0,경기도 안산시 단원구 별망로 424 (목내동),0,0,37.3042394,0,,2018-07-31
SK동양주유소,N,0,00:00~24:00,SK네트웍스,0,0,,경기도 안산시 단원구 신길동 1743번지,0,공중화장실,0,126.7798737,0,경기도 안산시 단원구 중앙대로 351 (신길동),0,0,37.3331741,0,,2018-07-31
SK안산공원주유소,N,1,00:00~24:00,SK네트웍스,1,1,,경기도 안산시 단원구 고잔동 779-1번지,1,공중화장실,2,126.839883,0,경기도 안산시 단원구 광덕1로 268 (고잔동),0,0,37.3069243,1,,2018-07-31
SK안산충전소,N,0,00:00~24:00,SK네트웍스,1,0,,경기도 안산시 상록구 사동 1493번지,1,공중화장실,2,126.8485189,0,경기도 안산시 상록구 선진안길 83  (사동),0,0,37.2776953,0,,2018-07-31
새천년주유소,N,0,00:00~24:00,SK네트웍스,1,0,,경기도 안산시 단원구 신길동 249-20번지,1,공중화장실,1,126.7561293,0,경기도 안산시 단원구 정왕대로 424 (신길동),0,0,37.3341367,0,,2018-07-31
SK팔곡주유소,N,0,00:00~24:00,SK네트웍스팔곡주유소,2,0,,경기도 안산시 상록구 팔곡이동 445-4번지,2,공중화장실,1,126.8840987,0,경기도 안산시 상록구 해안로 1295  (팔곡이동),0,0,37.2933558,0,,2018-07-31
성포도서관,N,0,00:00~24:00,감골도서관장,6,0,,경기도 안산시 상록구 성포동 594-4번지,7,공중화장실,9,126.8503733,0,경기도 안산시 상록구 충장로 528 (성포동),0,0,37.3251786,0,,2018-07-31
본오도서관,N,4,00:00~24:00,감골도서관장,2,4,,경기도 안산시 상록구 본오동 778번지,6,공중화장실,2,126.8722919,0,경기도 안산시 상록구 각골로 49  (본오동),0,0,37.293996,2,,2018-07-31
일동도서관,N,1,00:00~24:00,감골도서관장,2,1,,경기도 안산시 상록구 일동 110-5번지,4,공중화장실,2,126.8715832,0,경기도 안산시 상록구 구룡로 71 (일동),0,0,37.3154507,1,,2018-07-31
감골도서관,N,0,00:00~24:00,감골도서관장,9,0,,경기도 안산시 상록구 사동 1342-2번지,6,공중화장실,0,126.8545112,0,경기도 안산시 상록구 감골공원안길 16-1 (사동),9,0,37.2926564,0,,2018-07-31
강희그랜드빌,N,0,00:00~24:00,강희그랜드빌번영회,9,0,,경기도 안산시 단원구 고잔동 717번지,9,공중화장실,12,126.8289852,0,경기도 안산시 단원구 광덕대로 145 (고잔동),0,0,37.3095041,0,,2018-07-31
굿모닝오피스텔,N,0,00:00~24:00,강희자산관리㈜,28,0,,경기도 안산시 상록구 이동 712번지,28,공중화장실,7,126.8479264,0,경기도 안산시 상록구 석호로 43 (이동),0,0,37.3076269,0,,2018-07-31
데코스포텔,N,1,00:00~24:00,강희자산관리㈜,6,1,,경기도 안산시 상록구 이동 714-3번지,6,공중화장실,6,126.8490732,0,경기도 안산시 상록구 광덕1로 355 (이동),0,0,37.3072752,1,,2018-07-31
수암주유소,N,0,00:00~24:00,개인,2,0,,경기도 안산시 상록구 수암동 465번지,2,공중화장실,1,126.8770074,0,경기도 안산시 상록구 원당골1길 23-14 (수암동),0,0,37.3651645,0,,2018-07-31
신반월주유소,N,0,00:00~24:00,개인,2,0,,경기도 안산시 상록구 건건동 897-28번지,1,공중화장실,0,126.9030487,0,경기도 안산시 상록구 건건1길 7  (건건동),0,0,37.3015579,0,,2018-07-31
안산IC충전소,N,0,00:00~24:00,개인,1,0,,경기도 안산시 상록구 양상동 247번지,2,공중화장실,3,126.8512213,0,경기도 안산시 상록구 가루개로 181 (양상동),0,0,37.343676,0,,2018-07-31
신원프라자,N,2,00:00~24:00,개인,10,2,,경기도 안산시 단원구 고잔동 681-3번지,10,공중화장실,13,126.8236069,0,경기도 안산시 단원구 광덕4로 102 (고잔동),0,0,37.3151979,2,,2018-07-31
디에스에이도금단지주유소,N,0,00:00~24:00,개인,2,0,,경기도 안산시 상록구 팔곡이동 70-3번지,3,공중화장실,2,126.8869547,0,경기도 안산시 상록구 용담로 75  (팔곡이동),0,0,37.2870838,0,,2018-07-31
사동셀프주유소,N,0,00:00~24:00,개인,1,0,,경기도 안산시 상록구 사동 1486번지,2,공중화장실,1,126.8475115,0,경기도 안산시 상록구 선진로 11 (사동),0,0,37.2807251,0,,2018-07-31
아이즈빌1오피스텔,N,1,00:00~24:00,개인,5,1,,경기도 안산시 단원구 고잔동 527-4번지,8,공중화장실,8,126.8319949,0,경기도 안산시 단원구 고잔로 51 (고잔동),0,0,37.3195711,1,,2018-07-31
SK반월주유소,N,0,00:00~24:00,개인,1,0,,경기도 안산시 상록구 이동 648번지,2,공중화장실,2,126.8452443,0,경기도 안산시 상록구 송호1길 33 (이동),0,0,37.3130153,0,,2018-07-31
본오주유소,N,0,00:00~24:00,개인,2,0,,경기도 안산시 상록구 본오동 782-1번지,2,공중화장실,1,126.8717153,0,경기도 안산시 상록구 석호로 369 (본오동),0,0,37.293481,0,,2018-07-31
동해주유소,N,0,00:00~24:00,개인,1,0,,경기도 안산시 상록구 사동 1496-9번지,1,공중화장실,2,126.8469825,0,경기도 안산시 상록구 선진6길 38 (사동),0,0,37.2813479,0,,2018-07-31
소망주유소,N,0,00:00~24:00,개인,1,0,,경기도 안산시 상록구 사동 1318-2번지,1,공중화장실,2,126.8528916,0,경기도 안산시 상록구 석호로 200 (사동),0,0,37.2950584,0,,2018-07-31
신양주유소,N,0,00:00~24:00,개인,2,0,,경기도 안산시 상록구 월피동 466-6번지,1,공중화장실,2,126.8527583,0,경기도 안산시 상록구 월피로 84 (월피동),0,0,37.3356299,0,,2018-07-31
참좋은휘트니스,N,0,00:00~24:00,개인,2,0,,경기도 안산시 상록구 월피동 445-10번지,2,공중화장실,2,126.8452611,0,경기도 안산시 상록구 예술광장로 11 (월피동),0,0,37.3290068,0,,2018-07-31
자연주유소,N,0,00:00~24:00,개인,2,0,,경기도 안산시 상록구 본오동 33-2번지,2,공중화장실,2,126.8722786,0,경기도 안산시 상록구 해안로 1172 (본오동),0,0,37.2885033,0,,2018-07-31
나이스헬스클럽(사이버빌딩),N,0,00:00~24:00,개인,8,0,,경기도 안산시 상록구 성포동 583-4번지,8,공중화장실,8,126.8447674,0,경기도 안산시 상록구 성포로 30  (성포동),0,0,37.3232612,0,,2018-07-31
성우주유소,N,0,00:00~24:00,개인,1,0,,경기도 안산시 상록구 월피동 481번지,1,공중화장실,1,126.8502666,0,경기도 안산시 상록구 안산천서로 277 (월피동),0,0,37.3379983,0,,2018-07-31
보은타운,N,0,00:00~24:00,개인,14,0,,경기도 안산시 상록구 이동 715-11번지,14,공중화장실,21,126.8514963,0,경기도 안산시 상록구 양지편로 38 (이동),0,0,37.3094912,0,,2018-07-31
황소주유소,N,0,00:00~24:00,개인,1,0,,경기도 안산시 상록구 사사동 611-1번지,1,공중화장실,1,126.9118664,0,경기도 안산시 상록구 서해로 2691  (사사동),0,0,37.2922012,0,,2018-07-31
스마트허브주유소,N,0,00:00~24:00,개인,3,0,,경기도 안산시 단원구 성곡동 598-5번지,3,공중화장실,1,126.7646293,0,경기도 안산시 단원구 해봉로 204  (성곡동),0,0,37.3208331,0,,2018-07-31
한창충전소,N,2,00:00~24:00,개인,2,2,,경기도 안산시 단원구 대부남동 309-30번지,2,공중화장실,1,126.5726479,0,경기도 안산시 단원구 대선로 419  (대부남동),0,0,37.2366688,1,,2018-07-31
신길IC주유소,N,0,00:00~24:00,개인,2,0,,경기도 안산시 단원구 신길동 1037-14번지,1,공중화장실,2,126.769227,0,경기도 안산시 단원구 성곡로 279  (신길동),0,0,37.3299822,0,,2018-07-31
상림주유소,N,0,00:00~24:00,개인,2,0,,경기도 안산시 상록구 건건동 435-1번지,2,공중화장실,2,126.912728,0,경기도 안산시 상록구 서해로 2921 (건건동),0,0,37.3117075,0,,2018-07-31
