화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
평원주유소,N,0,06:00~24:00,평원주유소,1,0,031-652-0557,경기도 평택시 청룡동 58-19,1,공중화장실,2,127.117536,0,경기도 평택시 만세로 1465 (청룡동),0,0,37.032811,0,,2018-07-31
공도우체국,Y,0,00:00~24:00,경기도 안성시청,0,0,031-678-2693,경기도 안성시 공도읍 승두리 60번지 56호,2,공중화장실,0,127.17068,0,,0,0,36.99858193,0,,2018-08-01
공도보건지소,Y,0,00:00~24:00,경기도 안성시청,1,0,031-678-2693,경기도 안성시 공도읍 승두리 60번지 4호,2,공중화장실,1,127.2887645,0,경기도 안성시 서운면 청룡길 140,0,0,36.91388922,0,,2018-08-01
sk형제주유소,N,0,00:00~24:00,경기도 안성시청,1,0,031-678-2693,경기도 안성시 공도읍 만정리 358번지 21호,2,공중화장실,1,127.1750111,0,,0,0,37.01195847,0,,2018-08-01
sk공도주유소,N,0,00:00~24:00,경기도 안성시청,2,0,031-678-2693,경기도 안성시 공도읍 만정리 274번지 4호,2,공중화장실,2,127.2714575,0,경기도 안성시 강변로74번길 19-7 (도기동),0,0,37.00035499,0,,2018-08-01
안성소방서 공도119안전센터,N,0,00:00~24:00,경기도 안성시청,2,0,031-678-2693,경기도 안성시 공도읍 만정리,3,공중화장실,2,127.1833535,0,,0,0,37.01033475,0,,2018-08-01
현대오일뱅크충일주유소,Y,0,00:00~24:00,경기도 안성시청,1,0,031-678-2693,경기도 안성시 공도읍 마정리 513번지 1호,1,공중화장실,1,127.2755333,0,경기도 안성시 남파로 221-8 (명륜동),0,0,37.01527827,0,,2018-08-01
sk대림주유소,Y,0,00:00~24:00,경기도 안성시청,1,0,031-678-2693,경기도 안성시 공도읍 마정리135번지 1호,1,공중화장실,1,127.4298085,0,경기도 안성시 죽산면 죽양대로 111-71,0,0,37.08946786,0,,2018-08-01
롯데마트,N,2,00:00~24:00,경기도 안성시청,11,0,031-678-2693,경기도 안성시 공도읍 양기리 306번지,17,공중화장실,10,127.1995807,0,,0,0,37.0078288,1,,2018-08-01
안성실내체육관,N,1,00:00~24:00,경기도 안성시청,4,0,031-678-2693,경기도 안성시 보개면 양복리 210번지,3,공중화장실,4,127.3280139,0,,0,0,37.01230463,1,,2018-08-01
현대주유소,N,0,00:00~24:00,경기도 안성시청,2,0,031-678-2693,경기도 안성시 보개면 상삼리 212번지 1호,4,공중화장실,3,127.3403337,0,,0,0,37.02852894,0,,2018-08-01
농업기술센터,N,2,00:00~24:00,경기도 안성시청,6,0,031-678-2693,경기도 안성시 보개면 불현리 산 5번지 1호,4,공중화장실,8,127.2839752,0,,0,0,37.02396277,2,,2018-08-01
복평보건진료소,Y,0,00:00~24:00,경기도 안성시청,0,0,031-678-2693,경기도 안성시 보개면 복평리 48번지 2호,0,공중화장실,2,127.3078396,0,,0,0,37.03830243,0,,2018-08-01
안성시향토사료관,N,0,00:00~24:00,경기도 안성시청,2,0,031-678-2693,경기도 안성시 보개면 양복리 238번지 1호,3,공중화장실,1,127.3225394,0,,0,0,37.01544818,0,,2018-08-01
시립보개도서관,N,1,00:00~24:00,경기도 안성시청,7,0,031-678-2693,경기도 안성시 보개면 양복리 238번지 1호,8,공중화장실,7,127.3225394,0,,0,0,37.01544818,3,,2018-08-01
안성국제정구장,N,1,00:00~24:00,경기도 안성시청,6,0,031-678-2693,경기도 안성시 보개면 양복리 210번지,12,공중화장실,6,127.3280139,0,,0,0,37.01230463,2,,2018-08-01
안성시축구장,N,5,00:00~24:00,경기도 안성시청,35,0,031-678-2693,경기도 안성시 보개면 양복리 210번지,50,공중화장실,60,127.3280139,0,,0,0,37.01230463,5,,2018-08-01
석남사주차장,N,0,00:00~24:00,경기도 안성시청,1,0,031-678-2693,경기도 안성시 금광면 상중리 513번지,3,공중화장실,2,127.3066298,0,,0,0,36.93859919,0,,2018-08-01
석이네가든옆,N,0,00:00~24:00,경기도 안성시청,1,0,031-678-2693,경기도 안성시 금광면 금광리 산 45-1,3,공중화장실,2,127.330352,0,,0,0,36.99176799,0,,2018-08-01
개산보건진료소,Y,0,00:00~24:00,경기도 안성시청,1,0,031-678-2693,경기도 안성시 금광면 오산리 223번지,2,공중화장실,1,127.305533,0,,0,0,36.98439154,0,,2018-08-01
금강장모텔위,N,0,00:00~24:00,경기도 안성시청,1,0,031-678-2693,경기도 안성시 금광면 금광리 산 16-2,1,공중화장실,0,127.3359324,0,,0,0,36.98659455,0,,2018-08-01
금광농협창고,N,0,00:00~24:00,경기도 안성시청,2,0,031-678-2693,경기도 안성시 금광면 금광리 94번지,2,공중화장실,3,127.3224959,0,,0,0,37.00090491,0,,2018-08-01
