화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
평촌역,Y,1,05:00~24:00,코레일,3,0,1544-7788,경기도 안양시 동안구 관양동 1608,8,공중화장실,5,126.9635141,0,경기도 안양시 동안구 부림로 123,0,0,37.394935,1,Jan-93,2017-02-28
평촌지하주차장,N,0,00:00~24:00,경기도 안양시,7,0,031-445-1605,경기도 안양시 동안구 관양동 1591-5,11,공중화장실,15,126.9580361,0,경기도 안양시 동안구 시민대로 지하238,0,0,37.3922733,0,Jan-95,2017-02-28
평촌학생체육관,N,0,00:00~24:00,경기도 안양시,6,0,031-389-5215,경기도 안양시 동안구 호계동 1233,15,공중화장실,15,126.9657448,0,경기도 안양시 동안구 흥안대로223번길 38,0,0,37.3768178,0,Jan-02,2017-02-28
학운공원1-1,Y,0,00:00~24:00,경기도 안양시,0,0,031-8045-3070,경기도 안양시 동안구 비산동 1099,0,공중화장실,3,126.9443862,0,경기도 안양시 동안구 비산동 1099,0,0,37.3972846,0,Jan-93,2017-02-28
학운공원1-2,Y,0,00:00~24:00,경기도 안양시,3,0,031-8045-3070,경기도 안양시 동안구 비산동 1099,3,공중화장실,4,126.9443862,0,경기도 안양시 동안구 비산동 1099,0,0,37.3972846,0,Jan-93,2017-02-28
한전안양지점,N,1,08:00~21:00,한전안양지점,8,1,031-8045-2256,경기도 안양시 동안구 호계동 921,9,공중화장실,11,126.9472822,0,경기도 안양시 동안구 귀인로 59,0,0,37.3838859,1,Jan-87,2017-02-28
호계1동복지회관,N,0,08:00~21:00,경기도 안양시,3,1,031-8045-4710,경기도 안양시 동안구 호계동 998-8,6,공중화장실,6,126.9599845,0,경기도 안양시 동안구 흥안대로145번길 32,0,0,37.3724659,0,Jan-98,2017-02-28
호계공원게이트볼장,Y,0,00:00~24:00,경기도 안양시,2,0,031-8045-3070,경기도 안양시 동안구 호계동 315,2,공중화장실,4,126.9512012,0,경기도 안양시 동안구 경수대로665번길 74-22,0,0,37.379123,0,Jan-00,2017-02-28
호계공원배드민턴장,Y,0,00:00~24:00,경기도 안양시,3,0,031-8045-3070,경기도 안양시 동안구 호계동 315,3,공중화장실,3,126.9512012,0,경기도 안양시 동안구 경수대로665번길 74-22,0,0,37.379123,0,Jan-04,2017-02-28
호계공원테니스장,N,0,00:00~24:00,경기도 안양시,2,0,031-8045-3070,경기도 안양시 동안구 호계동 315,2,공중화장실,4,126.9512012,0,경기도 안양시 동안구 경수대로665번길 74-22,0,0,37.379123,0,Jan-00,2017-02-28
호계도서관,N,0,08:00~23:00,경기도 안양시,8,0,031-8045-6261,경기도 안양시 동안구 호계동 923-34,10,공중화장실,10,126.9505528,0,경기도 안양시 동안구 경수대로685번길 26,0,0,37.3830548,0,Jan-98,2017-02-28
관양시장문화센터,N,0,08:00~20:00,관양시장문화센터,3,0,031-386-5577,경기도 안양시 동안구 관양동 1406-43,3,개방화장실,5,126.9600037,0,경기도 안양시 동안구 관악대로325번길 28,0,0,37.4043225,0,Jan-15,2017-02-28
날뫼빌딩,N,0,08:00~20:00,날뫼빌딩,2,0,031-8045-2256,경기도 안양시 동안구 비산동 1054-6,2,개방화장실,2,126.9496194,0,경기도 안양시 동안구 관악대로 236,0,0,37.4010856,0,Jan-15,2017-02-28
뉴타운(아)상가,N,0,08:00~20:00,뉴타운(아)상가,2,0,031-386-4855,경기도 안양시 동안구 비산동 354-10,3,개방화장실,4,126.9453854,0,경기도 안양시 동안구 동안로 283,0,0,37.402356,0,Jan-15,2017-02-28
병목안시민공원관리소,N,1,00:00~24:00,경기도 안양시,2,1,031-8045-3070,경기도 안양시 만안구 안양동 산81-1,7,공중화장실,4,126.9094974,0,경기도 안양시 만안구 안양동 산81-1,1,0,37.382998,1,Jan-06,2017-02-28
병목안자연학습장,Y,0,00:00~24:00,경기도 안양시,2,0,031-8045-3070,경기도 안양시 만안구 안양동 산79,2,공중화장실,1,126.9129697,0,경기도 안양시 만안구 안양동 산79,0,0,37.4021547,0,Jan-07,2017-02-28
씨씨안경,N,0,08:00~21:00,씨씨안경,1,0,031-446-5005,경기도 안양시 만안구 안양동 674-1,1,개방화장실,1,126.9228428,0,경기도 안양시 만안구 만안로 221,0,0,37.4002517,0,Jan-95,2017-02-28
동안타워,N,0,08:00~21:00,동안타워,2,0,031-421-3321,경기도 안양시 동안구 관양동 1117-1,2,개방화장실,1,126.9628355,0,경기도 안양시 동안구 부림로 164,0,0,37.3976681,0,Jan-95,2017-02-28
안양법조타운,N,0,08:00~21:00,안양법조타운,1,0,031-422-7014,경기도 안양시 동안구 관양동 1044-3,1,개방화장실,2,126.9630842,0,경기도 안양시 동안구 부림로 156,0,0,37.3972447,0,Jan-95,2017-02-28
청구랜드빌딩,N,0,00:00~24:00,청구랜드빌딩,1,0,031-8045-2256,경기도 안양시 동안구 호계동 1046-8,1,개방화장실,1,126.9532861,0,경기도 안양시 동안구 평촌대로223번길 43,0,0,37.3903302,1,Jan-95,2017-12-05
안양역사 1층 공중화장실,N,1,00:00~24:00,경기도 안양시,2,1,031-8045-2256,경기도 안양시 만안구 안양동 88-1,3,공중화장실,2,126.9200368,1,경기도 안양시 만안구 만안로 232,0,1,37.404944,1,Jan-17,2017-12-05
동아프라자,N,0,08:00~20:00,동아프라자,2,0,031-388-8824,경기도 안양시 동안구 관양동 1608-4,2,개방화장실,3,126.9644721,0,경기도 안양시 동안구 부림로 121,0,0,37.3941243,0,Jan-15,2017-02-28
동영벤처스텔3차,N,0,08:00~20:00,동영벤처스텔3차,3,0,031-8045-2256,경기도 안양시 동안구 안양동 202-4,3,개방화장실,3,126.9356973,0,경기도 안양시 동안구 덕천로 45,0,0,37.3851407,0,Jan-15,2017-02-28
