화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
우남타워 화장실,N,1,06:00-22:00,경기도 부천시청,0,1,032-000-0000,경기도 부천시 괴안동 113-6번지 우남타워,0,공중화장실,2,126.811633,0,경기도 부천시 경인로 509 (괴안동 우남타워) 우남타워),0,0,37.484512,1,,2018-07-31
고강본동주민센터,N,0,06:00-22:00,경기도 부천시청,2,0,032-625-7102,경기도 부천시 고강동 324-4번지 고강본동주민센터,2,공중화장실,3,126.824795,0,경기도 부천시 고리울로 79 (고강동 고강본동주민센터) 고강본동주민센터),0,0,37.527005,1,,2018-07-31
옹기박물관,N,0,06:00-22:00,경기도 부천시청,2,0,032-684-9057,경기도 부천시 여월동 318번지 부천 옹기박물관,4,공중화장실,2,126.802683,0,경기도 부천시 소사로 638 (여월동 부천 옹기박물관) 부천 옹기박물관),0,0,37.512563,0,,2018-07-31
능력프라자,N,0,06:00-22:00,경기도 부천시청,2,0,032-678-9214,경기도 부천시 원종동 374-2번지 능력프라자,2,공중화장실,2,126.804438,0,경기도 부천시 소사로 721 (원종동 능력프라자) 능력프라자),0,0,37.520314,0,,2018-07-31
메트로팰리스1 A,N,0,06:00-22:00,경기도 부천시청,1,0,032-625-0000,경기도 부천시 중동 1152-2번지 메트로팰리스,1,공중화장실,2,126.769804,0,경기도 부천시 소향로 197 (중동 메트로팰리스) 메트로팰리스),0,0,37.501339,0,,2018-07-31
원골어린이공원,N,1,06:00-22:00,경기도 부천시청,1,1,032-625-4852,경기도 부천시 약대동 203-1,2,공중화장실,1,126.770699,0,경기도 부천시 약대동 203-10,0,0,37.515415,0,,2018-07-31
둥지어린이공원,N,0,06:00-22:00,경기도 부천시청,2,0,032-625-4852,경기도 부천시 여월동 314,2,공중화장실,1,126.802441,0,경기도 부천시 여월동 3140,0,0,37.510256,0,,2018-07-31
대림아크로텔,N,0,06:00-22:00,경기도 부천시청,3,0,032-625-0000,경기도 부천시 중동 1131-1번지 중동 아크로텔,3,공중화장실,3,126.776721,0,경기도 부천시 신흥로 173 (중동 중동 아크로텔) 중동 아크로텔),0,0,37.498902,0,,2018-07-31
아이젠영재학원,N,1,06:00-22:00,경기도 부천시청,0,1,032-625-5311,경기도 부천시 원미동 94-12번지 영광빌딩,0,공중화장실,0,126.791156,0,경기도 부천시 원미로124번길 6-16 (원미동 영광빌딩) 영광빌딩),0,0,37.492982,0,,2018-07-31
어울마당어린이공원,N,1,06:00-22:00,경기도 부천시청,1,1,032-625-4852,경기도 부천시 원종동 472,2,공중화장실,1,126.804078,0,경기도 부천시 원종동 4720,0,0,37.528089,16,,2018-07-31
