화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
KT동두천지점 화장실,N,1,연중무휴,KT동두천지점,6,0,031-864-0007,경기도 동두천시 생연동 653-2,3,공중화장실,7,127.054081,0,경기도 동두천시 중앙로 260 (생연동)0,0,0,37.904689,1,,2018-06-30
SK주유소,N,0,연중무휴,SK주유소,1,0,031-000-0000,경기도 동두천시 하봉암동 142-14,1,공중화장실,0,127.067966,0,경기도 동두천시 평화로 3188 (하봉암동)0,0,0,37.970527,0,,2018-06-30
청솔프라자 화장실,N,0,연중무휴,관리소장,11,0,031-858-9503,경기도 동두천시 지행동 693-3 청솔프라자,12,공중화장실,12,127.052813,0,경기도 동두천시 지행로 49 (지행동 청솔프라자),0,0,37.892704,0,,2018-06-30
광나는주유소 화장실,N,0,연중무휴,광나는주유소,1,0,031-853-5151,경기도 동두천시 하봉암동 312-1,1,공중화장실,2,127.062762,0,경기도 동두천시 평화로 3059 (하봉암동)0,0,0,37.959962,0,,2018-06-30
금토일스포렉스 화장실,N,0,연중무휴,금토일스포렉스,6,0,031-868-7114,경기도 동두천시 상패동 137-2 스크린골프존골프샵,6,공중화장실,9,127.042595,0,경기도 동두천시 상패로 17 (상패동 스크린골프존골프샵),0,0,37.906497,0,,2018-06-30
대성주유소 화장실,N,0,연중무휴,대성주유소,1,0,031-862-3482,경기도 동두천시 생연동 493-1 대성주유소,1,공중화장실,1,127.058462,0,경기도 동두천시 평화로 2496 (생연동 대성주유소),0,0,37.910661,0,,2018-06-30
동두천우체국 화장실,N,1,(평일)09:00~18:00+(주말)이용불가+(공휴일)이용불가,동두천 우체국,7,0,031-862-2003,경기도 동두천시 생연동 508-1,5,공중화장실,10,127.058119,0,경기도 동두천시 평화로 2518 (생연동)0,0,0,37.912614,1,,2018-06-30
광암파출소 화장실,N,0,연중무휴,동두천경찰서 경무과,2,0,031-867-3603,경기도 동두천시 광암동 495 광암파출소,1,공중화장실,2,127.083132,0,경기도 동두천시 광암로 10 (광암동 광암파출소),0,0,37.894836,0,,2018-06-30
동두천경찰서 화장실,N,1,연중무휴,동두천경찰서 경무과,6,0,031-869-0321,경기도 동두천시 상패동 47-6 동두천경찰서,5,공중화장실,6,127.046081,0,경기도 동두천시 상패로 89 (상패동 동두천경찰서),0,0,37.910463,1,,2018-06-30
생연파출소 화장실,N,1,연중무휴,동두천경찰서 경무과,2,0,031-865-8112,경기도 동두천시 생연동 814-7 생연파출소,1,공중화장실,2,127.050346,0,경기도 동두천시 생연로 99 (생연동 생연파출소),0,0,37.901532,1,,2018-06-30
송내파출소 화장실,N,1,연중무휴,동두천경찰서 경무과,2,0,031-865-2112,경기도 동두천시 지행동 691-7 송내파출소,2,공중화장실,2,127.052081,0,경기도 동두천시 중앙로 157 (지행동 송내파출소),0,0,37.895681,1,,2018-06-30
중앙파출소 화장실,N,1,연중무휴,동두천경찰서 경무과,2,0,031-868-7112,경기도 동두천시 보산동 405 동두천경찰서 중앙파출소,2,공중화장실,2,127.060726,0,경기도 동두천시 중앙로 393 (보산동 동두천경찰서 중앙파출소),0,0,37.913274,1,,2018-06-30
소요파출소 화장실,N,1,연중무휴,동두천경찰서 경무과,2,0,031-865-2742,경기도 동두천시 동두천동 252-3 소요파출소,1,공중화장실,2,127.056436,0,경기도 동두천시 평화로 2695 (동두천동 소요파출소),0,0,37.928638,1,,2018-06-30
동두천고용복지플러스센터 화장실,N,1,(평일)09:00~18:00+(주말)이용불가+(공휴일)이용불가,동두천고용복지플러스센터,2,0,031-860-1795,경기도 동두천시 생연동 369-8 동두천고용복지플러스센터,4,공중화장실,1,127.059091,0,경기도 동두천시 삼육사로 984 (생연동 동두천고용복지플러스센터),0,0,37.898818,1,,2018-06-30
동두천국제센터 화장실,N,0,(평일)09:00~18:00+(주말)이용불가+(공휴일)이용불가,동두천국제센터,2,0,031-861-0965,경기도 동두천시 생연동 523-1,2,공중화장실,2,127.061171,0,경기도 동두천시 중앙로 402-6 (생연동)0,0,0,37.912395,0,,2018-06-30
동두천노인복지요양센터 화장실,N,1,연중무휴,동두천노인복지요양센터,1,0,031-866-5700,경기도 동두천시 상패동 41-3 동두천노인 복지요양센터,1,공중화장실,2,127.048052,0,경기도 동두천시 상패로 85 (상패동 동두천노인 복지요양센터),0,0,37.909289,1,,2018-06-30
노인전문동두천병원 화장실,N,1,연중무휴,동두천노인전문병원,10,0,031-860-4121,경기도 동두천시 탑동동 140-5 경기도동두천노인전문병원,24,공중화장실,17,127.136078,0,경기도 동두천시 탑신로 536 (탑동동 경기도도동두천노인전문병원),0,0,37.900876,1,,2018-06-30
동두천농협 화장실,N,1,연중무휴,동두천농협 총무과,7,0,031-861-3300,경기도 동두천시 생연동 698-11,14,공중화장실,9,127.052288,0,경기도 동두천시 중앙로 207 (생연동)0,0,0,37.899981,1,,2018-06-30
동두천성당 화장실,N,0,연중무휴,동두천성당,2,0,031-864-4300,경기도 동두천시 생연동 613,6,공중화장실,4,127.055243,0,경기도 동두천시 동광로 64 (생연동)0,0,0,37.908113,0,,2018-06-30
광암119지역대 화장실,Y,0,연중무휴,동두천소방서,1,0,031-830-5221,경기도 동두천시 광암동 183-3 광암동 119지역대,0,공중화장실,0,127.089179,0,경기도 동두천시 삼육사로1269번길 9 (광암동 광암동 119지역대),0,0,37.893126,0,,2018-06-30
동두천소방서 화장실,N,1,연중무휴,동두천소방서,9,0,031-830-5221,경기도 동두천시 지행동 717 동두천소방서,9,공중화장실,14,127.047645,0,경기도 동두천시 지행로 6 (지행동 동두천소방서),0,0,37.892266,1,,2018-06-30
소요119안전센터 화장실,Y,0,연중무휴,동두천소방서,1,0,031-830-5221,경기도 동두천시 상봉암동 13-9,0,공중화장실,0,127.065141,0,경기도 동두천시 평화로2910번길 65 (상봉암동)0,0,0,37.946403,0,,2018-06-30
소요산산림욕장 화장실,N,0,연중무휴,동두천시 공원녹지과,2,0,031-860-2342,경기도 동두천시 상봉암동 산1-1,2,공중화장실,3,127.069334,0,경기도 동두천시 평화로2910번길 140 (상봉암동)0,0,0,37.945941,0,,2018-06-30
중앙동 공영주차장 화장실,N,1,연중무휴,동두천시 교통행정과,6,0,031-860-2307,경기도 동두천시 생연동 594-1,8,공중화장실,8,127.054685,0,경기도 동두천시 중앙로 2680,1,1,37.905441,1,,2018-06-30
동두천시 노인복지회관 화장실,N,1,연중무휴,동두천시 노인복지관,10,0,031-857-9918,경기도 동두천시 생연동 643-3 동두천노인복지회관,15,공중화장실,15,127.056191,0,경기도 동두천시 동두천로 264 (생연동 동두천노인복지회관),0,0,37.905147,1,,2018-06-30
