화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
조종면사무소,N,1,09:00~21:00,조종면사무소 총무팀,2,0,,경기도 가평군 조종면 현리 567-7번지,3,공중화장실,3,127.3532591,0,경기도 가평군 조종면 조종내길 71,0,0,37.81772973,1,,2018-08-07
운악리 보건진료소,Y,0,09:00~21:00,보건소 보건행정,1,0,,경기도 가평군 조종면 운악리 449-3번지,0,공중화장실,1,127.3488446,0,경기도 가평군 조종면 현등사길 7-16,0,0,37.86467256,0,,2018-08-07
조종119안전센타,N,0,09:00~21:00,조종119안전센타,2,0,,경기도 가평군 조종면 현리 413-20번지,1,공중화장실,3,127.3496514,0,경기도 가평군 조종면 현창로 14,0,0,37.81611871,0,,2018-08-07
조종터미널화장실,N,1,09:00~21:00,가평군 환경과,3,0,,경기도 가평군 조종면 현리 410-6번지,5,공중화장실,3,127.348126,0,경기도 가평군 조종면 현창로 35,0,0,37.81778993,0,,2018-08-07
조종면 파출소,N,0,09:00~21:00,가평경찰서 경무과,1,0,,경기도 가평군 조종면 현리 267-5번지,1,공중화장실,1,127.3478688,0,경기도 가평군 조종면 현창로 43,0,0,37.81864658,0,,2018-08-07
현리주유소,Y,0,09:00~21:00,현리주유소,2,0,,경기도 가평군 조종면 현리 301-1번지,0,공중화장실,1,127.3470355,0,경기도 가평군 조종면 현창로 64,0,0,37.82018061,0,,2018-08-07
수상클럽 하우스,N,1,09:00~21:00,가평군 시설관리공단,2,0,,경기도 가평군 가평읍 대곡리 27-14번지,5,공중화장실,4,127.5208313,0,경기도 가평군 가평읍 자라섬로 60,0,0,37.82090507,1,,2018-08-07
수상클럽 하우스,N,1,09:00~21:00,가평군 시설관리공단,2,0,,경기도 가평군 가평읍 대곡리 27-14번지,2,공중화장실,2,127.5208313,0,경기도 가평군 가평읍 자라섬로 60,0,0,37.82090507,1,,2018-08-07
가평5일장 공중화장실,N,0,09:00~21:00,가평군 경제과,2,0,,경기도 가평군 가평읍 읍내리 404번지,5,개방화장실,4,127.5149725,0,경기도 가평군 가평읍 장터2길 10,0,0,37.82937244,0,,2018-08-07
가평레일바이크 화장실,N,1,09:00~21:00,가평군 도시과,4,0,,경기도 가평군 가평읍 읍내리 395-1번지,9,공중화장실,8,127.5156612,0,경기도 가평군 가평읍 장터길 14,0,0,37.82876582,1,,2018-08-07
119수난구조대,Y,0,09:00~21:00,가평소방서,2,0,,경기도 가평군 가평읍 복장리 381-2번지,0,공중화장실,1,127.5078913,0,경기도 가평군 가평읍 호반로 1580,0,0,37.73691243,0,,2018-08-07
가평군 상수도사업소,N,1,09:00~21:00,상수도사업소 수도행정,2,0,,경기도 가평군 가평읍 달전리 산55-4번지,2,공중화장실,2,127.5121922,0,경기도 가평군 가평읍 호반로 2463-41,0,0,37.80659984,0,,2018-08-07
성락기도원앞 화장실,N,0,09:00~21:00,가평군 환경과,2,0,,경기도 가평군 북면 도대리 63-4번지,2,공중화장실,4,127.4958882,0,경기도 가평군 북면 가화로 1858-13,0,0,37.91952857,0,,2018-08-07
도대리 보건진료소,Y,0,09:00~21:00,가평군보건소 보건행정,1,0,,경기도 가평군 북면 도대리 311-14번지,0,공중화장실,1,127.4779655,0,경기도 가평군 북면 가화로 2370-14,0,0,37.95318852,0,,2018-08-07
북면주유소,N,0,00:00~24:00,북면주유소,1,0,,경기도 가평군 북면 목동리 823-2번지,2,개방화장실,2,127.5489892,0,경기도 가평군 북면 가화로 996,0,0,37.88444653,0,,2018-08-07
강씨봉 자연휴양림,N,1,09:00~21:00,경기도 산림환경연구소,3,0,,경기도 가평군 북면 적목리 산92번지,7,공중화장실,4,127.4070579,0,경기도 가평군 북면 논남기길 520,0,0,37.96340859,1,,2018-08-07
강씨봉 자연휴양림,N,0,09:00~21:00,경기도 산림환경연구소,2,0,,경기도 가평군 북면 적목리 산92번지,2,공중화장실,2,127.4070579,0,경기도 가평군 북면 논남기길 520,0,0,37.96340859,0,,2018-08-07
북면 복지회관,N,1,09:00~21:00,북면사무소 총무팀,5,0,,경기도 가평군 북면 목동리 866-2번지,5,공중화장실,3,127.5513458,0,경기도 가평군 북면 목동복지로 36-12,0,0,37.88645364,1,,2018-08-07
백둔리 보건진료소,Y,0,09:00~21:00,가평군보건소 보건행정,1,0,,경기도 가평군 북면 백둔리 348-1번지,0,공중화장실,1,127.4628632,0,경기도 가평군 북면 백둔로 417-9,0,0,37.90144561,0,,2018-08-07
산촌마을 공중화장실,N,1,09:00~21:00,가평군 환경과,4,0,,경기도 가평군 북면 백둔리 348-1번지,8,개방화장실,4,127.4628632,0,경기도 가평군 북면 백둔로 417-9,0,0,37.90144561,0,,2018-08-07
북면사무소,N,0,09:00~21:00,북면사무소 총무팀,1,0,,경기도 가평군 북면 목동리 848번지,1,공중화장실,1,127.5499072,0,경기도 가평군 북면 화악산로 2,0,0,37.88561347,0,,2018-08-07
북면 보건지소,N,1,09:00~21:00,가평군보건소 보건행정,1,0,,경기도 가평군 북면 목동리 883-13번지,2,공중화장실,1,127.5502381,0,경기도 가평군 북면 화악산로 23,0,0,37.88731467,0,,2018-08-07
