화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
대명항-대명항화장실,N,3,09:00~22:00,김포도시공사,3,0,070-4912-1844,경기도 김포시 김포시 대곶면 대명항1로 109,10,공중화장실,6,126.5416901,1,경기도 김포시 김포시 대곶면 대명항1로 109,0,0,37.639354,1,Jan-08,2018-02-23
시민회관,N,3,09:00~22:00,김포도시공사,2,0,031-983-9942,경기도 김포시 경기도 김포시 사우중로 26,5,공중화장실,5,126.717957,0,경기도 김포시 사우동 259-4,0,0,37.617161,0,Jan-05,2018-02-23
사우문화체육광장,N,2,09:00~22:00,김포도시공사,2,0,031-983-9942,경기도 김포시 경기도 김포시 사우중로 26,6,공중화장실,4,126.717957,0,경기도 김포시 사우동 259-4,0,0,37.617161,0,Jan-05,2018-02-23
계양천 산책로,N,1,09:00~22:00,경기도 김포시청 공원녹지과,1,1,031-980-2365,경기도 김포시 사우동 34-3,2,공중화장실,2,126.730257,0,경기도 김포시 사우동 34-3,0,0,37.621334,0,Jan-08,2018-02-23
금정산 산책로,N,0,09:00~22:00,경기도 김포시청 공원녹지과,1,0,031-980-2365,경기도 김포시 풍무동 산141-3,1,공중화장실,2,126.705899,0,경기도 김포시 풍무동 산141-3,0,0,37.611681,0,Jan-12,2018-02-23
풍년근린공원 화장실,N,1,09:00~22:00,경기도 김포시청 공원관리사업소,3,0,031-980-5634,경기도 김포시 북변동 831번지,5,공중화장실,3,126.719839,0,경기도 김포시 북변동 831번지,0,0,37.624214,1,Jan-02,2018-02-23
골드밸리 제2근린공원 화장실,N,0,09:00~22:00,경기도 김포시청 공원관리사업소,2,0,031-980-5634,경기도 김포시 학운리 2763번지,3,공중화장실,2,126.604448,0,경기도 김포시 학운리 2763번지,0,0,37.613159,0,Jan-12,2018-02-23
솔내공원 화장실,N,2,09:00~22:00,경기도 김포시청 공원관리사업소,2,0,031-980-5634,경기도 김포시 장기동 1641번지,8,공중화장실,3,126.666214,0,경기도 김포시 김포한강1로 29,0,0,37.641567,0,Jan-08,2018-02-23
풍경공원 화장실,N,2,09:00~22:00,경기도 김포시청 공원관리사업소,2,0,031-980-5634,경기도 김포시 장기동 1653번지,5,공중화장실,3,126.669828,0,경기도 김포시 장기동 1653번지,0,0,37.640019,0,Jan-08,2018-02-23
마리미공원 화장실,N,2,09:00~22:00,경기도 김포시청 공원관리사업소,2,0,031-980-5634,경기도 김포시 마산동 634-4번지,5,공중화장실,3,126.639899,0,경기도 김포시 마산동 634-4번지,0,0,37.6407501,0,Jan-15,2018-02-23
호수공원 화장실-1,N,2,09:00~22:00,경기도 김포시청 공원관리사업소,4,0,031-980-5634,경기도 김포시 마산동 617-2번지,7,공중화장실,3,126.635575,0,경기도 김포시 마산동 617-2번지,0,0,37.6468701,0,Jan-15,2018-02-23
