화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
백석레저타운,N,0,09:00~18:00,경기도 고양시 일산동구청,10,0,,경기도 고양시 일산동구 백석동 1308,10,공중화장실,15,126.787902,0,경기도 고양시 일산동구 일산로 46,0,0,37.6423564,0,,2018-02-28
백석동 대우 IAAN,N,0,09:00~18:00,경기도 고양시 일산동구청,2,0,,경기도 고양시 일산동구 백석동 1288,2,공중화장실,3,126.7854035,0,경기도 고양시 일산동구 강석로 33  (백석동),0,0,37.6459739,0,,2018-02-28
백석도서관,N,0,09:00~18:00,경기도 고양시 일산동구청,10,0,,경기도 고양시 일산동구 백석동 1231,10,공중화장실,10,126.7936579,1,경기도 고양시 일산동구 일산로 118  (백석동),1,0,37.6472752,0,,2018-02-28
백석배드민턴장,N,0,09:00~18:00,경기도 고양시 일산동구청,2,0,,경기도 고양시 일산동구 백석동 1233,3,공중화장실,3,126.7948819,0,경기도 고양시 일산동구일산로 136,0,0,37.6455402,0,,2018-02-28
백석교통공원,Y,0,09:00~18:00,경기도 고양시 일산동구청,0,0,,경기도 고양시 일산동구 백석동 1233,0,공중화장실,0,126.7948819,0,경기도 고양시 일산동구일산로 136,0,0,37.6455402,0,,2018-02-28
보림빌딩,N,0,09:00~18:00,경기도 고양시 일산동구청,16,0,,경기도 고양시 일산동구 장항동 891-4,16,공중화장실,8,126.7762137,0,경기도 고양시 일산동구 장백로 204  (장항동),0,0,37.6528619,0,,2018-02-28
벽제초등학교,N,1,09:00~18:00,경기도 고양시 일산동구청,8,1,,경기도 고양시 일산동구 사리현동 122-2,25,공중화장실,20,126.8433907,0,경기도 고양시 일산동구 공릉천로 23,0,0,37.6958136,1,,2018-02-28
벗나무공원,N,0,09:00~18:00,경기도 고양시 일산동구청,1,0,,경기도 고양시 일산동구 풍동 1269,1,공중화장실,1,126.7973275,0,경기도 고양시 일산동구 숲속마을로 50-88 일원,0,0,37.6679212,1,,2018-02-28
범진빌딩,N,0,09:00~18:00,경기도 고양시 일산동구청,15,0,,경기도 고양시 일산동구 장항동 775,20,공중화장실,10,126.7701348,0,경기도 고양시 일산동구 무궁화로 42-38  (장항동),0,0,37.6618132,0,,2018-02-28
백신초등학교,N,0,09:00~18:00,경기도 고양시 일산동구청,20,0,,경기도 고양시 일산동구 백석동 1428,46,공중화장실,27,126.7814841,0,경기도 고양시 일산동구 강촌로26번길 66  (백석동),7,0,37.6440386,0,,2018-02-28
백신고등학교,N,0,09:00~18:00,경기도 고양시 일산동구청,25,0,,경기도 고양시 일산동구 백석동 1347,70,공중화장실,0,126.7816476,0,경기도 고양시 일산동구 백석로 8  (백석동),0,0,37.6423667,0,,2018-02-28
백송화장실,N,1,09:00~18:00,경기도 고양시 일산동구청,3,0,,경기도 고양시 일산동구 장항동 906,3,공중화장실,5,126.7635194,0,경기도 고양시 일산동구 호수로 731,0,0,37.6578899,0,,2018-02-28
백석중학교,N,0,09:00~18:00,경기도 고양시 일산동구청,25,0,,경기도 고양시 일산동구 백석동 1346,46,공중화장실,34,126.7824743,0,경기도 고양시 일산동구 호수로 404  (백석동),0,0,37.6417447,0,,2018-02-28
백석역,N,0,09:00~18:00,경기도 고양시 일산동구청,4,0,,경기도 고양시 일산동구 백석동 629-1,9,공중화장실,5,126.7880314,1,경기도 고양시 일산동구 중앙로 1042,1,0,37.6430919,0,,2018-02-28
백석고등학교(체육관),N,0,09:00~18:00,경기도 고양시 일산동구청,1,0,,경기도 고양시 일산동구 마두동 784,2,공중화장실,2,126.7870027,0,경기도 고양시 일산동구 강촌로 115  (마두동(예지관)),0,0,37.6525756,0,,2018-02-28
백석고등학교,N,0,09:00~18:00,경기도 고양시 일산동구청,17,0,,경기도 고양시 일산동구 마두동 784,31,공중화장실,31,126.7870027,0,경기도 고양시 일산동구 강촌로 115  (마두동),0,0,37.6525756,0,,2018-02-28
백석1동,N,0,09:00~18:00,경기도 고양시 일산동구청,1,0,,경기도 고양시 일산동구 백석동 1147,2,공중화장실,2,126.7924909,0,경기도 고양시 일산동구 일산로 145  (백석동),0,0,37.6496734,0,,2018-02-28
백석 위브센티움,N,0,09:00~18:00,경기도 고양시 일산동구청,4,0,,경기도 고양시 일산동구 백석동 1241-2,3,공중화장실,4,126.7904521,0,경기도 고양시 일산동구 일산로 78  (백석동),0,0,37.6445378,0,,2018-02-28
백석 우림보보카운티,N,0,09:00~18:00,경기도 고양시 일산동구청,11,0,,경기도 고양시 일산동구 백석동 1309,11,공중화장실,11,126.7872735,0,경기도 고양시 일산동구 일산로 38  (백석동),0,0,37.641858,0,,2018-02-28
백마초등학교,N,0,09:00~18:00,경기도 고양시 일산동구청,21,0,,경기도 고양시 일산동구 마두동 718,44,공중화장실,35,126.7910408,0,경기도 고양시 일산동구 일산로 230  (마두동),0,0,37.6576391,0,,2018-02-28
백마주유소,N,0,09:00~18:00,경기도 고양시 일산동구청,1,0,,경기도 고양시 일산동구 백석동 1236,1,공중화장실,1,126.7926036,0,경기도 고양시 일산동구 중앙로 990  (백석동),0,0,37.6401232,0,,2018-02-28
백마역,N,0,09:00~18:00,경기도 고양시 일산동구청,8,0,,경기도 고양시 일산동구 백석동 92,8,공중화장실,8,126.7940713,0,경기도 고양시 경의로 318,0,0,37.6584301,1,,2018-02-28
백마공원,N,0,09:00~18:00,경기도 고양시 일산동구청,1,0,,경기도 고양시 일산동구 마두동 725,1,공중화장실,1,126.791378,0,경기도 고양시 일산동구 마두동 725,0,0,37.6570198,0,,2018-02-28
백마고등학교,N,1,09:00~18:00,경기도 고양시 일산동구청,35,0,,경기도 고양시 일산동구 백석동 1138,38,공중화장실,38,126.7943256,0,경기도 고양시 일산동구 백석로 155  (백석동),0,0,37.6516984,1,,2018-02-28
밤가시공원,Y,0,09:00~18:00,경기도 고양시 일산동구청,0,0,,경기도 고양시 일산동구 정발산동 1299,0,공중화장실,2,126.7827437,0,경기도 고양시 일산동구 일산로 372번길 16 일원,0,0,37.6690413,0,,2018-02-28
밀레니엄리젠시,N,0,09:00~18:00,경기도 고양시 일산동구청,2,0,,경기도 고양시 일산동구 백석동 1329,2,공중화장실,3,126.7868534,0,경기도 고양시 일산동구 호수로 340-11  (백석동),0,0,37.638211,0,,2018-02-28
문봉주유소,N,0,09:00~18:00,경기도 고양시 일산동구청,1,0,,경기도 고양시 일산동구 문봉동 222-1,1,공중화장실,1,126.8166122,0,경기도 고양시 일산동구 문봉길 66  (문봉동),0,0,37.7055055,0,,2018-02-28
문명철헬스짐,N,0,09:00~18:00,경기도 고양시 일산동구청,2,0,,경기도 고양시 일산동구 풍동 1275,2,공중화장실,2,126.8004153,0,경기도 고양시 숲속마을1로 76,0,0,37.6678112,0,,2018-02-28
모당초등학교,N,0,09:00~18:00,경기도 고양시 일산동구청,32,0,,경기도 고양시 일산동구 중산동 1684,64,공중화장실,40,126.7809178,0,경기도 고양시 일산동구 하늘마을로 144  (중산동),0,0,37.6794244,0,,2018-02-28
