화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
시민체육광장(매점화장실),N,1,00:00~24:00,군포시시설관리공단,4,1,031-390-7677,경기도 군포시 금정동 871,6,공중화장실,5,126.9364538,0,경기도 군포시 산본로 267 (금정동),0,0,37.35436662,0,,2017-11-09
시민체육광장(야외화장실),N,1,00:00~24:00,군포시시설관리공단,3,0,031-390-7677,경기도 군포시 금정동 871,7,공중화장실,4,126.9364538,0,경기도 군포시 산본로 267 (금정동),0,0,37.35436662,0,,2017-11-09
복합생활스포츠타운,N,1,00:00~24:00,군포시시설관리공단,2,0,031-390-7644,경기도 군포시 부곡동 1226,4,공중화장실,3,126.936104,0,경기도 군포시 군포2동 633-3,0,0,37.341587,1,,2017-11-09
복합생활스포츠타운,N,1,00:00~24:00,군포시시설관리공단,1,1,031-390-7644,경기도 군포시 부곡동 1226,1,공중화장실,2,126.936191,0,경기도 군포시 부곡동 888-21,0,0,37.338906,0,,2017-11-09
한얼근린공원,N,1,00:00~24:00,군포시시설관리공단,0,1,031-390-7644,경기도 군포시 산본동 212-1,1,공중화장실,0,126.934731,0,경기도 군포시 산본천로 136,0,0,37.365313,1,,2017-11-09
군포시립어린이도서관,N,2,9,군포시립어린이도서관,8,0,031-390-8680,경기도 군포시 산본동 1065,16,공중화장실,9,126.9313272,2,경기도 군포시 고산로677번길 17 (산본동),2,0,37.37164545,0,,2018-01-01
군포시립산본도서관,N,1,9,군포시립산본도서관,9,1,031-395-4316,경기도 군포시 산본동 1122,25,공중화장실,7,126.9298777,1,경기도 군포시 산본로 367 (산본동),1,1,37.36181981,1,,2018-01-01
군포시립중앙도서관,N,6,9,군포시립중앙도서관,33,1,031-390-8866,경기도 군포시 산본동 1152,66,공중화장실,41,126.9157791,0,경기도 군포시 수리산로 79 (산본동),1,0,37.35551063,0,,2018-01-01
군포문화센터(군포2동주민센터),N,2,9,군포시문화재단,17,0,031-392-3526,경기도 군포시 당동 871-1,15,공중화장실,12,126.9430831,0,경기도 군포시 고산로 263 (당동),0,0,37.34635084,0,,2018-01-01
군포문화원사,N,0,9,군포문화원,10,0,031-477-8151,경기도 군포시 당정동 969-2,15,공중화장실,10,126.9548334,0,경기도 군포시 한세로56번길 12 (당정동),0,0,37.34723171,0,,2018-01-01
군포시문화예술회관,N,3,9,군포시문화재단,50,0,031-390-3500,경기도 군포시 산본동 1101,66,공중화장실,46,126.9272997,0,경기도 군포시 고산로 599 (산본동),0,0,37.36628014,0,,2018-01-01
군포시장애인종합복지관,N,7,9,군포시장애인종합복지관,4,14,031-396-3108,경기도 군포시 금정동 844-1,4,공중화장실,0,126.9341707,0,경기도 군포시 청백리길 18 (금정동),0,0,37.36308371,11,,2018-01-01
군포시청소년수련관,N,5,9,군포시청소년수련관,10,0,031-390-1400,경기도 군포시 금정동 847-3,14,공중화장실,14,126.9346702,0,경기도 군포시 산본로 322 (금정동),0,0,37.35978263,0,,2018-01-01
군포시노인복지관,N,6,9,군포시노인복지관,12,0,031-399-2270,경기도 군포시 군포시 당동 887,15,공중화장실,12,126.9474582,0,경기도 군포시 고산로 223 (당동),0,0,37.34537975,0,,2018-01-01
군포시립근로자종합복지관,N,3,9,군포시립근로자종합복지관,6,0,031-394-7072,경기도 군포시 군포시 당동 981,11,공중화장실,10,126.9363532,3,경기도 군포시 용호1로21번길 14 (당동),0,0,37.34509318,0,,2018-01-01
