화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
구리시 주민편익시설,Y,1,(평일)06:00~24:00+(주말)06:00~24:00+(공휴일)06:00~24:00,경기도 구리시청 자원행정과,10,1,031-550-2259,경기도 구리시 토평동 9-1,13,개방화장실,15,127.160692,0,경기도 구리시 왕숙천로 49,0,0,37.588839,2,Jan-07,2018-08-01
남일주유소,Y,0,연중무휴,남일주유소,1,0,031-563-2105,경기도 구리시 교문동 335-7,1,개방화장실,2,127.118288,0,경기도 구리시 경춘로 30 (교문동),0,0,37.600783,0,Jan-87,2018-08-01
갈매동주민센타,Y,0,(평일)09:00~18:00,경기도 구리시 갈매동,2,0,031-550-2601,경기도 구리시 갈매동 256-14,2,공중화장실,2,127.116307,0,경기도 구리시 담터길 9 (갈매동),0,0,37.634801,0,Jan-16,2018-08-01
토평정수장,Y,1,(평일)09:00~18:00,경기도 구리시청 수도과,2,0,031-550-8559,경기도 구리시 교문동 산90,2,공중화장실,3,127.126208,0,경기도 구리시 벌말로 40(토평동),0,0,37.595494,0,Jan-02,2018-08-01
SK토평주유소,Y,1,연중무휴,SK토평주유소,0,1,031-565-8919,경기도 구리시 토평동 989,0,개방화장실,1,127.152017,0,경기도 구리시 벌말로 136 (토평동),0,0,37.592682,1,Jan-03,2018-08-01
SK인창주유소,Y,0,연중무휴,SK인창주유소,2,0,031-566-8250,경기도 구리시 인창동 344-6,2,개방화장실,2,127.139279,0,경기도 구리시 건원대로 53 (인창동),0,0,37.605634,0,Jan-97,2018-08-01
구리한강시민공원(7개소),Y,2,연중무휴,경기도 구리시청 공원녹지과,9,0,031-550-2474,경기도 구리시 토평동 883-1,19,공중화장실,14,127.132967,0,경기도 구리시 토평동 883-1 외,0,0,37.574468,2,Jan-10,2018-08-01
아름마을공원,Y,0,연중무휴,경기도 구리시청  공원녹지과,1,0,031-550-2418,경기도 구리시 인창동 651-36,2,공중화장실,1,127.129854,0,경기도 구리시 인창동 651-36,0,0,37.609612,0,Jan-14,2018-08-01
롯데마트,Y,2,(평일)10:00~24:00+(주말)10:00~24:00+(공휴일)10:00~24:00,경기도 구리시 롯데마트,16,0,031-569-2500,경기도 구리시 인창동 430,33,개방화장실,20,127.141481,5,경기도 구리시 동구릉로136번길 57  (인창동),5,5,37.611949,1,Jan-00,2018-08-01
롯데백화점,Y,4,(평일)10:30~20:00+(주말)10:30~20:00+(공휴일)10:30~20:00,경기도 구리시 롯데백화점,30,0,031-550-7114,경기도 구리시 인창동 677,58,개방화장실,39,127.136611,8,경기도 구리시 경춘로 261 (인창동),8,8,37.601384,4,Jan-13,2018-08-01
교문주유소,Y,0,연중무휴,교문주유소,3,0,031-566-3477,경기도 구리시 교문동 754-8,3,개방화장실,2,127.125585,0,경기도 구리시 아차산로 436 (교문동),0,0,37.584071,0,Jan-86,2018-08-01
담터주유소,Y,0,연중무휴,담터주유소,1,0,031-572-0707,경기도 구리시 갈매동128-9,2,개방화장실,2,127.113226,0,경기도 구리시 경춘북로 344 (갈매동),0,0,37.629819,0,Jan-95,2018-08-01
명당주유소,Y,0,연중무휴,명당주유소,3,0,031-557-5151,경기도 구리시 교문동 634-13,2,개방화장실,2,127.125585,0,경기도 구리시 아차산로 274 (교문동),0,0,37.584071,0,Jan-95,2018-08-01
성신주유소,Y,0,연중무휴,성신주유소,1,0,031-557-0651,경기도 구리시 인창동 17-3,2,개방화장실,2,127.134981,0,경기도 구리시 동구릉로 260 (인창동),0,0,37.604283,0,Jan-00,2018-08-01
인창주유소,Y,0,연중무휴,인창주유소,2,0,031-553-5644,경기도 구리시 인창동 517-1,0,개방화장실,2,127.134574,0,경기도 구리시 동구릉로 78,0,0,37.606995,0,Jan-92,2018-08-01
해동주유소,Y,0,연중무휴,해동주유소,1,0,031-569-5189,경기도 구리시 교문동 304,1,개방화장실,2,127.132371,0,경기도 구리시 경춘로 69 (교문동),0,0,37.601201,0,Jan-98,2018-08-01
푸른주유소,Y,0,연중무휴,푸른주유소,1,0,031-566-0051,경기도 구리시 토평동 269-17,2,개방화장실,2,127.149395,0,경기도 구리시 벌말로 117 (토평동),0,0,37.590101,0,Jan-06,2018-08-01
두바이주유소,Y,0,연중무휴,두바이주유소,1,0,031-569-1080,경기도 구리시 토평동 537,2,개방화장실,1,127.154257,0,경기도 구리시 벌말로 61 (토평동),0,0,37.587481,0,Jan-06,2018-08-01
믿음주유소,Y,0,연중무휴,믿음주유소,1,0,031-554-5189,경기도 구리시 토평동 567-1,2,개방화장실,1,127.146092,0,경기도 구리시 벌말로 90 (토평동),0,0,37.578092,0,Jan-08,2018-08-01
오성주유소,Y,0,연중무휴,오성주유소,2,0,031-574-7887,경기도 구리시 사노동 340-23,2,개방화장실,2,127.137804,0,경기도 구리시 동구릉로 426 (사노동),0,0,37.623948,0,Jan-07,2018-08-01
경춘충전소,Y,0,연중무휴,경춘충전소,1,0,031-563-4973,경기도 구리시 인창동 280-3,2,개방화장실,3,127.136611,0,경기도 구리시 경춘로 217 (인창동),0,0,37.601384,0,Jan-07,2018-08-01
아천에너지,Y,0,연중무휴,아천에너지,2,0,031-569-5151,경기도 구리시 아천동 97-4,2,개방화장실,2,127.116641,0,경기도 구리시 아차산로 196 (아천동),0,0,37.569941,0,Jan-94,2018-08-01
갈매신내주유소,Y,0,연중무휴,경기도 구리시 갈매신내주유소,1,0,031-528-7112,경기도 구리시 갈매동437-11,2,개방화장실,1,127.106707,0,경기도 구리시 경춘북로 75,0,0,37.621258,0,Jan-09,2018-08-01
부양공원,Y,0,연중무휴,경기도 구리시청  공원녹지과,1,0,031-550-2418,경기도 구리시 수택동 854-1,1,공중화장실,1,127.140924,0,경기도 구리시 수택동 854-1,0,0,37.590414,0,Jan-99,2018-08-01
교문2동주민센타,Y,0,(평일)09:00~18:00,경기도 구리시 교문2동,7,0,031-550-2605,경기도 구리시 교문동 821,7,공중화장실,7,127.135398,0,경기도 구리시 장자대로 34 (교문동),0,0,37.586646,0,Jan-15,2018-08-01
구리시청,Y,1,(평일)09:00~18:00,경기도 구리시청 회계과,18,0,031-550-2176,경기도 구리시 교문동 390-1,19,공중화장실,22,127.129744,0,경기도 구리시 아차산로 439,0,0,37.594459,2,Jan-15,2018-08-01
남양주세무서,Y,1,(평일)09:00~18:00,경기도 남양주세무서,13,0,031-550-3200,경기도 구리시 교문동 736-2,21,공중화장실,12,127.134926,0,경기도 구리시 안골로 36 (교문동),0,0,37.596728,1,Jan-15,2018-08-01
수택1동주민센타,Y,1,(평일)09:00~18:00,경기도 구리시 수택1동,4,0,031-550-8497,경기도 구리시 수택동 495-8,8,공중화장실,9,127.149146,0,경기도 구리시 검배로93번길 35 (수택동),0,0,37.596423,1,Jan-15,2018-08-01
수택2동주민센타,Y,1,(평일)09:00~18:00,경기도 구리시 수택2동,1,0,031-550-2607,경기도 구리시 수택동 445-28,1,공중화장실,4,127.140077,0,경기도 구리시 원수택로12번길 16 (수택동),0,0,37.593155,1,Jan-15,2018-08-01
수택우체국,Y,1,(평일)09:00~18:00,경기도 구리시 수택우체국,1,0,031-554-0004,경기도 구리시 수택동 851-2,1,공중화장실,1,127.140958,0,경기도 구리시 체육관로74번길 51 (수택동),0,0,37.591297,0,Jan-15,2018-08-01
인창동주민센타,Y,0,(평일)09:00~18:00,경기도 구리시 인창동,2,0,031-550-2603,경기도 구리시 인창동 576-6,2,공중화장실,5,127.134966,0,경기도 구리시 응달말로 46 (인창동),0,0,37.604436,0,Jan-15,2018-08-01
교문도서관,Y,1,(평일)09:00~22:00+(주말)09:00~22:00,경기도 구리시 교문도서관,6,0,031-550-2593,경기도 구리시 교문동 747-2,14,공중화장실,12,127.134551,2,경기도 구리시 안골로30번길 45 (교문동),2,0,37.595151,1,Jan-94,2018-08-01
인창도서관,Y,1,(평일)09:00~22:00+(주말)09:00~22:00,경기도 구리시 인창도서관,12,0,031-550-2936,경기도 구리시 인창동 674-4,12,공중화장실,12,127.145611,2,경기도 구리시 건원대로34번길 90  (인창동),2,0,37.605072,1,Jan-03,2018-08-01
구리보건소,Y,2,(평일)09:00~18:00,경기도 구리시청 보건소,14,0,031-550-8681,경기도 구리시 인창동 674-3,12,공중화장실,13,127.145057,0,경기도 구리시 건원대로 34번길 84,0,0,37.604557,1,Jan-00,2018-08-01
구리우체국,Y,1,(평일)09:00~18:00,경기도 구리우체국,12,0,031-560-0000,경기도 구리시 인창동 674-1,18,공중화장실,16,127.142668,0,경기도 구리시 건원대로34번길 34  (인창동),0,0,37.604211,0,Jan-00,2018-08-01
구리경찰서,Y,2,연중무휴,경기도 구리경찰서,26,0,031-560-9227,경기도 구리시 교문동 462-3,15,공중화장실,26,127.128964,0,경기도 구리시 아차산로 359 (교문동),0,0,37.587284,1,Jan-03,2018-08-01
구리실내체육관,Y,2,(평일)10:00~22:00+(주말)10:00~22:00+(공휴일)10:00~22:00,경기도 구리시청 평생학습과,9,0,031-550-2591,경기도 구리시 교문동 3-2,16,공중화장실,10,127.136447,0,경기도 구리시 체육관로 131(교문동),0,0,37.596004,2,Jan-13,2018-08-01
구리시종합사회복지관,Y,3,(평일)09:00~18:00,경기도 구리시청 주민생활지원과,15,0,031-550-8377,경기도 구리시 토평동 984,15,공중화장실,15,127.146365,0,경기도 구리시 벌말로129번길 50,0,0,37.589147,2,Jan-03,2018-08-01
구리시여성노인회관,Y,1,(평일)09:00~18:00,경기도 구리시청 사회복지과,12,0,031-550-2951,경기도 구리시 인창동 673-5,39,공중화장실,17,127.141845,0,경기도 구리시 건원대로34번길 32-20 (인창동),0,0,37.603387,0,Jan-03,2018-08-01
구리시청소년수련관,Y,2,(평일)10:00~22:00+(주말)10:00~22:00+(공휴일)10:00~22:00,경기도 구리시청 평생학습과,16,0,031-553-7101,경기도 구리시 인창동 673-4,18,공중화장실,16,127.141784,0,경기도 구리시 건원대로34번길 32-1,0,0,37.603757,2,Jan-03,2018-08-01
고구려대장간마을,Y,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,경기도 구리시청 문화예술과,3,0,031-550-2363,경기도 구리시 아천동 산45-1,8,공중화장실,5,127.110119,0,경기도 구리시 아천동 산45-1,0,0,37.560176,0,Jan-08,2018-08-01
인창중앙공원(2개소),Y,2,연중무휴,경기도 구리시청 공원녹지과,6,0,031-550-2418,경기도 구리시 인창동 309-43,9,공중화장실,5,127.136441,0,경기도 구리시 인창동 309-43,0,0,37.605831,2,Jan-06,2018-08-01
왕숙천둔치공원(8개소),Y,1,연중무휴,경기도 구리시청 공원녹지과,13,0,031-550-2472,경기도 구리시 수택동 363-3외,22,공중화장실,10,127.150081,0,경기도 구리시 수택동 363-3외,0,0,37.600731,1,Jan-09,2018-08-01
행정복지센터,Y,2,(평일)09:00~18:00,경기도 구리시 수택3동,15,0,031-550-2608,경기도 구리시 수택동 848,29,공중화장실,14,127.138606,0,경기도 구리시 체육관로 74,0,0,37.591489,0,Jan-12,2018-08-01
구리휴게소,Y,1,연중무휴,한국도로공사,5,0,031-529-3564,경기도 구리시 사노동 170-13,15,공중화장실,7,127.139535,0,경기도 구리시 서울외곽순환고속도로 32 (사노동),0,0,37.627975,1,Jan-14,2018-08-01
구리국민체육센터,Y,0,(평일)10:00~22:00+(주말)10:00~22:00+(공휴일)10:00~22:00,경기도 구리시청 평생학습과,6,0,031-550-2965,경기도 구리시 인창동 622-28,6,공중화장실,6,127.129612,0,경기도 구리시 인창2로27번길 11,0,0,37.605165,0,Jan-13,2018-08-01
형제약수터,Y,0,연중무휴,경기도 구리시청 수도과,1,0,031-550-8554,경기도 구리시 교문동 산90,2,공중화장실,2,127.126208,0,경기도 구리시 아차산로487번길 70,0,0,37.595494,0,Jan-07,2018-08-01
멀티스포츠센타,Y,1,(평일)09:00~23:00+(주말)09:00~23:00+(공휴일)09:00~23:00,경기도 구리시청 평생학습과,11,0,031-550-8902,경기도 구리시 교문동 153-1,13,공중화장실,11,127.135168,0,경기도 구리시 체육관로 137-25,0,0,37.595921,0,Jan-12,2018-08-01
동구충전소,Y,1,연중무휴,동구충전소,2,1,031-557-9300,경기도 구리시 인창동 74,1,개방화장실,2,127.136064,0,경기도 구리시 동구릉로 188 (인창동),0,0,37.612061,1,Jan-07,2018-08-01
동구동주민센타,Y,1,(평일)09:00~18:00,경기도 구리시 동구동,9,0,031-550-2602,경기도 구리시 인창동 699-1,11,공중화장실,12,127.139358,0,경기도 구리시 동구릉로148번길 25 (인창동),0,0,37.611735,0,Jan-16,2018-08-01
롯데아울렛,Y,4,(평일)11:00~21:00+(주말)11:00~21:00+(공휴일)11:00~21:00,경기도 구리시 롯데아울렛,15,0,031-8034-2500,경기도 구리시 인창동 419-7,30,개방화장실,20,127.140551,8,경기도 구리시 동구릉로136번길 47 (인창동),4,4,37.611849,4,Jan-13,2018-08-01
구리하수처리장,Y,1,(평일)09:00~18:00,경기도 구리시청 하수과,5,0,031-550-2582,경기도 구리시 수택동 89,5,공중화장실,6,127.161282,0,경기도 구리시 검배로 200 (수택동),0,0,37.591933,0,Jan-99,2018-08-01
강변주유소,Y,0,연중무휴,강변주유소,3,0,031-563-8788,경기도 구리시 교문동 102-5 8,2,개방화장실,2,127.125585,0,경기도 구리시 아차산로 395 (교문동),0,0,37.584071,0,Jan-94,2018-08-01
장자못공원(3개소),Y,1,연중무휴,경기도 구리시청 공원녹지과,7,0,031-550-2472,경기도 구리시 수택동 878,11,공중화장실,10,127.141059,0,경기도 구리시 장자호수길 105 외 (수택동),0,0,37.586019,1,Jan-11,2018-08-01
SK보금자리주유소,Y,0,연중무휴,SK보금자리주유소,1,0,031-574-5200,경기도 구리시 갈매동 437-22,1,공중화장실,2,127.107351,0,경기도 구리시 경춘북로 74,0,0,37.620564,0,Jan-10,2018-08-01
SK농수산주유소,Y,0,연중무휴,SK농수산주유소,2,0,031-568-5151,경기도 구리시 인창동 127,1,개방화장실,3,127.144435,0,경기도 구리시 동구릉로136번길 90 (인창동),0,0,37.613124,0,Jan-97,2018-08-01
동원파크빌딩,Y,2,(평일)06:00~24:00+(주말)06:00~24:00+(공휴일)06:00~24:00,동원파크빌딩,19,1,031-569-8627,경기도 구리시 인창동 676-6,20,개방화장실,19,127.142685,0,경기도 구리시 경춘로 249,0,0,37.602073,1,Jan-10,2018-08-01
교문우체국,Y,1,(평일)09:00~18:00,경기도 구리시 교문우체국,1,0,031-555-0004,경기도 구리시 교문동 736-1,1,공중화장실,1,127.133037,0,경기도 구리시 안골로 32 (교문동),0,0,37.595698,0,Jan-15,2018-08-01
교문1동주민센타,Y,1,(평일)09:00~18:00,경기도 구리시 교문1동,2,0,031-550-2604,경기도 구리시 교문동 262-4,2,공중화장실,2,127.127657,0,경기도 구리시 경춘로 111 (교문동),0,0,37.601191,1,Jan-16,2018-08-01
성림에너지,Y,0,연중무휴,성림에너지,1,0,031-575-3365,경기도 구리시 사노동 29,1,공중화장실,2,127.147735,0,경기도 구리시 금강로 331-15,0,0,37.639887,0,Jan-09,2018-08-01
구리LPG충전소,Y,1,연중무휴,구리LPG충전소,0,0,031-552-0245,경기도 구리시 갈매동 128-13,0,개방화장실,2,127.124442,0,경기도 구리시 갈매동 128-13,0,0,37.639897,1,Jan-07,2018-08-01
늘푸른공원,Y,0,연중무휴,경기도 구리시청  공원녹지과,1,0,031-550-2418,경기도 구리시 인창동 674-2,2,공중화장실,1,127.143838,0,경기도 구리시 인창동 674-2,0,0,37.604491,0,Jan-99,2018-08-01
아천주유소,Y,0,연중무휴,아천주유소,1,0,02-2201-4545,경기도 구리시 아천동 302-22,1,개방화장실,2,127.114657,0,경기도 구리시 아차산로 59 (아천동),0,0,37.563231,0,Jan-94,2018-08-01
시장공영주차장,Y,0,연중무휴,경기도 구리시청 산업경제과,3,0,031-550-2275,경기도 구리시 수택동 417,8,공중화장실,5,127.139777,0,경기도 구리시 검배로6번길 31,0,0,37.599659,0,Jan-12,2018-08-01
동구하늘공원,Y,0,연중무휴,경기도 구리시청  공원녹지과,1,0,031-550-2418,경기도 구리시 인창동 669-1,1,공중화장실,1,127.145871,0,경기도 구리시 인창동 669-1,0,0,37.607143,0,Jan-99,2018-08-01
토평도서관,Y,2,(평일)08:00~24:00+(주말)08:00~24:00+(공휴일)08:00~24:00,경기도 구리시 토평도서관,12,0,031-550-8325,경기도 구리시 토평동 956외1필지,21,공중화장실,12,127.145773,2,경기도 구리시 장자대로 140 (토평동),2,0,37.586064,2,Jan-10,2018-08-01
구리왕숙천체육센터,Y,1,(평일)10:00~22:00+(주말)10:00~22:00+(공휴일)10:00~22:00,경기도 구리시청 평생학습과,6,0,031-528-2964,경기도 구리시 사노동 39-6,8,공중화장실,12,127.146906,0,경기도 구리시 왕숙천로 701,0,0,37.635273,0,Jan-13,2018-08-01
구리역,Y,1,(평일)05:00~24:00+(주말)05:00~24:00+(공휴일)05:00~24:00,경기도 구리시 구리역,6,0,031-552-7784,경기도 구리시 인창동 244-2,14,공중화장실,7,127.146369,0,경기도 구리시 건원대로34번길 32-29 (인창동),0,0,37.606477,0,Jan-13,2018-08-01
구리아트홀,Y,1,(평일)10:00~22:00+(주말)10:00~22:00+(공휴일)10:00~22:00,경기도 구리아트홀,24,0,031-550-8808,경기도 구리시 교문동 390,48,공중화장실,30,127.130335,3,경기도 구리시 아차산로 453,3,0,37.594969,1,Jan-14,2018-08-01
토평IC주유소,Y,0,연중무휴,토평IC주유소,1,0,031-565-5185,경기도 구리시 토평동 471-8,1,개방화장실,2,127.136204,0,경기도 구리시 코스모스길 228 (토평동),0,0,37.574648,0,Jan-01,2018-08-01
토평고려LPG충전소,Y,0,연중무휴,토평고려LPG충전소,1,0,031-567-2124,경기도 구리시 토평동 465-92,0,개방화장실,2,127.147475,0,경기도 구리시 벌말로 8 (토평동),0,0,37.588595,1,Jan-94,2018-08-01
토평공원,Y,0,연중무휴,경기도 구리시청  공원녹지과,1,0,031-550-2418,경기도 구리시 토평동 990-1,1,공중화장실,1,127.149815,0,경기도 구리시 토평동 990-1,0,0,37.589627,0,Jan-13,2018-08-01
갈매역,Y,1,(평일)08:00~24:00+(주말)08:00~24:00+(공휴일)08:00~24:00,경기도 구리시 갈매역,5,0,031-572-8827,경기도 구리시 갈매동 502-18,10,공중화장실,5,127.114538,0,경기도 구리시 경춘북로 229,0,0,37.633413,1,Jan-13,2018-08-01
동창베스트주유소,Y,0,연중무휴,동창베스트주유소,1,0,031-555-4657,경기도 구리시 인창동 7-6,1,개방화장실,2,127.134981,0,경기도 구리시 동구릉로 290 (인창동),0,0,37.604283,0,Jan-95,2018-08-01
구리시장애인종합복지관,Y,5,(평일)09:00~18:00,경기도 구리시청 주민생활지원과,3,0,031-550-8383,경기도 구리시 수택동 851-1,3,공중화장실,2,127.141046,0,경기도 구리시 이문안로 86-1 (수택동),0,0,37.591515,5,Jan-03,2018-08-01
향기의원,Y,0,(평일)09:00~17:00,향기의원,1,0,031-553-9111,경기도 구리시 교문동 754-7,1,개방화장실,1,127.131841,0,경기도 구리시 아차산로432번길 7,0,0,37.593644,0,Jan-18,2018-08-01
농수산물도매시장,Y,7,연중무휴,구리농수산물공사,119,0,031-560-5146,경기도 구리시 인창동 127,109,개방화장실,148,127.144701,0,경기도 구리시 동구릉로136번길90,0,0,37.613237,7,Jan-00,2018-08-01
