화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
곤지암스타 주유소,N,0,09:00~18:00,곤지암스타,1,0,031-760-2737,경기도 광주시 곤지암읍 삼리 6-7 곤지암스타,2,공중화장실,2,127.332114,0,경기도 광주시 곤지암읍 경충대로 698 곤지암스타,0,0,37.353153,0,,2018-05-16
하이웨이주유소,N,0,09:00~18:00,하이웨이,2,0,031-760-2737,경기도 광주시 곤지암읍 신촌리 135-4 하이웨이,2,공중화장실,2,127.394941,0,경기도 광주시 곤지암읍 경충대로59번길 19 하이웨이,0,0,37.328092,0,,2018-05-16
곤지암터미널,N,0,09:00~18:00,곤지암터미널,1,0,031-760-2737,경기도 광주시 곤지암읍 곤지암리 435-19 곤지암터미널,1,공중화장실,3,127.341964,0,경기도 광주시 곤지암읍 곤지암로 44 곤지암터미널,0,0,37.349921,0,,2018-05-16
곤지암금메달주유소,N,0,09:00~18:00,곤지암금메달주유소,1,0,031-760-2737,경기도 광주시 곤지암읍 열미리 469-1 곤지암금메달주유소,2,공중화장실,1,127.367269,0,경기도 광주시 곤지암읍 광여로 233 곤지암금메달주유소,0,0,37.354632,0,,2018-05-16
곤지암읍민원실,N,0,09:00~18:00,경기도 광주시청,2,0,031-760-2737,경기도 광주시 곤지암읍 곤지암리 343-6 곤지암읍민원실,2,공중화장실,3,127.344081,0,경기도 광주시 곤지암읍 광여로 59,0,0,37.348809,0,,2018-05-16
만선주유소,N,0,09:00~18:00,만선주유소,1,0,031-760-2737,경기도 광주시 곤지암읍 만선리 255-52 만선주유소,1,공중화장실,1,127.403448,0,경기도 광주시 곤지암읍 광여로 628 만선주유소,0,0,37.368588,0,,2018-05-16
평래주유소,N,0,09:00~18:00,평래주유소,1,0,031-760-2737,경기도 광주시 곤지암읍 건업리 549-2 평래주유소,2,공중화장실,2,127.404837,0,경기도 광주시 곤지암읍 광여로 712 평래주유소,0,0,37.375838,0,,2018-05-16
대호가스,N,0,09:00~18:00,대호가스,1,0,031-760-2737,경기도 광주시 곤지암읍 삼리 612-8 대호가스,1,공중화장실,2,127.333891,0,경기도 광주시 곤지암읍 평촌길11번길 72 대호가스,0,0,37.353599,0,,2018-05-16
광주하남교육청,N,0,09:00~18:00,광주하남교육청,12,0,031-760-2737,경기도 광주시 송정동 240-1 광주하남교육청,24,개방화장실,17,127.259038,0,경기도 광주시 광주대로 178 (송정동) 광주하남교육청,0,0,37.422527,0,,2018-05-16
남종면사무소,N,0,09:00~18:00,경기도 광주시청,1,0,031-760-2737,경기도 광주시 남종면 분원리 132 남종면사무소,2,개방화장실,3,127.301841,0,경기도 광주시 남종면 분원길 9 남종면사무소,0,0,37.494265,0,,2018-05-16
남한산성면사무소,N,0,09:00~18:00,경기도 광주시청,1,0,031-760-2737,경기도 광주시 남한산성면 광지원리 112 남한산성면사무소,2,공중화장실,3,127.244593,0,경기도 광주시 남한산성면 남한산성로 2,0,0,37.463496,0,,2018-05-16
성동주유소,N,0,09:00~18:00,성동주유소,1,0,031-760-2737,경기도 광주시 목현동 659-2 성동주유소,1,공중화장실,2,127.204765,0,경기도 광주시 이배재로 506 (목현동) 성동주유소,0,0,37.432041,0,,2018-05-16
참좋은주유소,N,0,09:00~18:00,참좋은주유소,1,0,031-760-2737,경기도 광주시 탄벌동 246 참좋은주유소,1,공중화장실,2,127.243502,0,경기도 광주시 이배재로 79 (탄벌동),0,0,37.423944,0,,2018-05-16
우체국,N,0,09:00~18:00,우체국,3,0,031-760-2737,경기도 광주시 경안동 53-7 우체국,2,개방화장실,3,127.257605,0,경기도 광주시 중앙로 123 우체국,0,0,37.410496,0,,2018-05-16
경안동주차장,N,0,09:00~18:00,경기도 광주시청,2,0,031-760-2737,경기도 광주시 경안동 53-2 경안동주차장,4,공중화장실,4,127.257321,0,경기도 광주시 중앙로 125,0,0,37.410801,0,,2018-05-16
등기소,N,0,09:00~18:00,등기소,2,0,031-760-2737,경기도 광주시 경안동 63-1 등기소,1,개방화장실,2,127.257751,0,경기도 광주시 중앙로 136 등기소,0,0,37.411916,0,,2018-05-16
상하수도사업소(구시청),N,1,09:00~18:00,경기도 광주시청,22,0,031-760-2737,경기도 광주시 송정동 120-8 구시청(상하수도사업소),17,개방화장실,23,127.256214,0,경기도 광주시 중앙로 197 (송정동) 구시청(상하수도사업소),0,0,37.417211,1,,2018-05-16
송정주유소,N,0,09:00~18:00,송정주유소,2,0,031-760-2737,경기도 광주시 송정동 328-1 송정주유소,1,공중화장실,2,127.256977,0,경기도 광주시 중앙로 280 (송정동) 송정주유소,0,0,37.425195,0,,2018-05-16
광주시자원봉사센터,N,0,09:00~18:00,경기도 광주시청,1,0,031-760-2737,경기도 광주시 송정동 113-14 광주시자원봉사센터,1,개방화장실,2,127.255731,0,경기도 광주시 중앙로175번길 12 (송정동) 광주시자원봉사센터,0,0,37.415813,0,,2018-05-16
영은미술관,N,0,09:00~18:00,대유문화재단,4,0,031-760-2737,경기도 광주시 쌍령동 8-1 영은미술관,4,공중화장실,5,127.268685,0,경기도 광주시 청석로 300 (쌍령동),0,0,37.413601,0,,2018-05-16
초월읍사무소,N,0,09:00~18:00,경기도 광주시청,2,0,031-760-2737,경기도 광주시 초월읍 대쌍령리 211-2 초월읍사무소,2,개방화장실,3,127.288576,0,경기도 광주시 초월읍 경충대로 1241,0,0,37.385582,0,,2018-05-16
주유소,N,0,09:00~18:00,초월주유소,1,0,031-760-2737,경기도 광주시 초월읍 산이리 12-5,2,공중화장실,2,127.315194,0,경기도 광주시 초월읍 경충대로 882,0,0,37.362113,0,,2018-05-16
대기주유소,N,0,09:00~18:00,대기주유소,2,0,031-760-2737,경기도 광주시 초월읍 산이리 79-2 대기,2,공중화장실,2,127.313976,0,경기도 광주시 초월읍 경충대로 898,0,0,37.363291,0,,2018-05-16
약수터주유소,N,0,09:00~18:00,약수터주유소,1,0,031-760-2737,경기도 광주시 목현동 108-2 약수터주유소,1,공중화장실,2,127.229036,0,경기도 광주시 이배재로 276 (목현동) 약수터주유소,0,0,37.435484,0,,2018-05-16
신월주유소,N,0,09:00~18:00,신월주유소,1,0,031-760-2737,경기도 광주시 초월읍 선동리 411 신월주유소,2,공중화장실,1,127.315705,0,경기도 광주시 초월읍 산수로 308,0,0,37.389084,0,,2018-05-16
선동1리 마을회관앞 공중화장실,N,1,09:00~18:00,경기도 광주시 초월읍사무소,2,1,031-760-2737,경기도 광주시 초월읍 선동리 456-22,3,공중화장실,3,127.322734,0,경기도 광주시 초월읍 선동길 62,0,0,37.377774,1,,2018-05-16
서하리 토마루판매장 공중화장실,N,1,09:00~18:00,경기도 광주시 초월읍사무소,2,1,031-760-2737,경기도 광주시 초월읍 서하리 243-2,3,공중화장실,3,127.308222,0,경기도 광주시 초월읍 해공로 551,0,0,37.435791,1,,2018-05-16
도평리 친수공간 공중화장실,N,1,09:00~18:00,경기도 광주시 초월읍사무소,2,1,031-760-2737,경기도 광주시 초월읍 도평리 13-11,3,공중화장실,3,127.293629,0,경기도 광주시 초월읍 현산로 130-24,0,0,37.399114,1,,2018-05-16
송정동민원실,N,0,09:00~18:00,경기도 광주시청,2,0,031-760-2737,경기도 광주시 탄벌동 717-5 송정동민원실,2,개방화장실,2,127.246461,0,경기도 광주시 탄벌길 6 (탄벌동),0,0,37.419301,0,,2018-05-16
목현천변산책로,N,1,09:00~18:00,경기도 광주시청,1,1,031-760-2737,경기도 광주시 탄벌동 711-3 목현천변산책로화장실,2,개방화장실,1,127.246431,0,,0,0,37.421419,1,,2018-05-16
광남동민원실,N,0,09:00~18:00,경기도 광주시청,2,0,031-760-2737,경기도 광주시 태전동 249-2 광남동민원실,2,개방화장실,2,127.229816,0,경기도 광주시 태봉로 45 (태전동),0,0,37.389117,0,,2018-05-16
건강가정지원센터,N,0,09:00~18:00,경기도 광주시청,2,0,031-760-2737,경기도 광주시 송정동 115-4 건강가정지원센터,2,개방화장실,3,127.255363,0,경기도 광주시 통미로52번길 19 (송정동) 건강가정지원센터,0,0,37.416805,0,,2018-05-16
호박골,N,0,09:00~18:00,경기도 광주시청,1,0,031-760-2737,경기도 광주시 퇴촌면 관음2리 놀이터부지 행락지내 공중화장실(호박골),3,공중화장실,1,127.361502,0,,0,0,37.458746,0,,2018-05-16
퇴촌면공설운동장,N,0,연중무휴,광주시 퇴촌면사무소,1,0,031-760-2737,경기도 광주시 퇴촌면 광동리 530 일원,4,개방화장실,3,127.301006,0,,0,0,37.472506,0,,2018-05-16
광동리하수처리장,N,2,연중무휴,광주시 퇴촌면사무소,2,0,031-760-2737,경기도 광주시 퇴촌면 광동리 211-1,2,개방화장실,2,127.306223,0,경기도 광주시 퇴촌면 산수로 1321,0,0,37.472183,0,,2018-05-16
퇴촌주유소,N,0,09:00~18:00,퇴촌주유소,2,0,031-760-2737,경기도 광주시 퇴촌면 도수리 266-9 퇴촌주유소,2,공중화장실,2,127.332027,0,경기도 광주시 퇴촌면 정영로 378,0,0,37.468415,0,,2018-05-16
탑선주유소,N,0,09:00~18:00,탑선주유소,2,0,031-760-2737,경기도 광주시 퇴촌면 도수리 122-3 탑선주유소,6,공중화장실,1,127.344501,0,경기도 광주시 퇴촌면 정영로 518,0,0,37.474946,0,,2018-05-16
영동주유소,N,0,09:00~18:00,영동주유소,0,0,031-760-2737,경기도 광주시 퇴촌면 영동리 238-7 영동주유소,1,공중화장실,2,127.379311,0,경기도 광주시 퇴촌면 정영로 896,0,0,37.475821,0,,2018-05-16
용천주유소,N,0,09:00~18:00,용천주유소,1,0,031-760-2737,경기도 광주시 퇴촌면 도수리 343-2 용천주유소,1,공중화장실,1,127.316161,0,경기도 광주시 퇴촌면 천진암로 412,0,0,37.469541,0,,2018-05-16
퇴촌면사무소,N,0,09:00~18:00,경기도 광주시청,1,0,031-760-2737,경기도 광주시 퇴촌면 광동리 327-1 퇴촌면사무소,2,개방화장실,3,127.306934,0,경기도 광주시 퇴촌면 탑골길 6,0,0,37.466771,0,,2018-05-16
남문가든밑,N,1,09:00~18:00,경기도청,3,1,031-760-2737,경기도 광주시 남한산성면 남한산성로 784-29 남문가든밑,4,공중화장실,3,127.181327,0,경기도 광주시 남한산성면 남한산성로 784-29 남문가든밑,0,0,37.479248,1,,2018-05-16
