화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
안양시환경사업소,N,1,00:00~24:00,경기도 안양시,7,0,031-8045-2451,경기도 안양시 만안구 박달동 산140,5,공중화장실,8,126.8891778,0,경기도 안양시 만안구 석천로 1,0,0,37.4134677,1,03-Jan,2017-02-28
광명나들목주유소,N,0,09:00~18:00,정세희,2,0,02-2684-0218,경기도 광명시 노온사동572-3,2,공중화장실,2,126.8449835,0,경기도 광명시 시청로 127(철산동),0,0,37.4379075,0,,2018-08-27
코스트코코리아(광명점),N,2,09:00~18:00,코스트코,2,0,1899-9900,경기도 광명시 일직동163-3,14,공중화장실,9,126.8864001,0,경기도 광명시 오리로348번길 62(소하동),0,0,37.4206653,2,,2018-08-27
하안3동 주민센터,N,0,09:00~18:00,하안3동 주민센터,0,0,1688-3399,경기도 광명시 하안3동260-1,3,공중화장실,4,126.8815715,0,경기도 광명시 덕단이로 29(광명동),0,0,37.4586557,0,,2018-08-27
헵시바충전소,N,0,09:00~18:00,남석우,0,0,02-2615-5151,경기도 광명시 광명5동162-2,2,공중화장실,1,126.8477409,0,경기도 광명시 오리로 857(철산동),0,0,37.4815104,0,,2018-08-27
장미셀프주유소,N,0,09:00~18:00,정희자,0,0,02-2617-5260,경기도 광명시 노온사동942,2,공중화장실,1,126.8451806,0,경기도 광명시 철산로 43(철산동),0,0,37.4247171,0,,2018-08-27
충현초등학교,N,0,09:00~18:00,학교장,40,0,02-898-4100,경기도 광명시 소하동1375,77,공중화장실,47,126.8862338,0,경기도 광명시 광명로 877(광명동),0,0,37.433162,0,,2018-08-27
홈플러스익스프레스(광명하안점),N,0,09:00~18:00,홈플러스,1,0,02-897-8557,경기도 광명시 하안동 864,3,공중화장실,2,126.8672107,0,경기도 광명시 구름산로 50(하안동),0,0,37.468542,0,,2018-08-27
철산1동 주민센터,N,0,09:00~18:00,철산1동 주민센터,1,0,1688-3399,경기도 광명시 철산1동9-141,3,공중화장실,2,126.8678489,0,경기도 광명시 광명로832번길 27-4(광명동),0,0,37.4907883,0,,2018-08-27
철산13단지바상가,N,0,09:00~18:00,상가조합,2,0,02-2060-0086,경기도 광명시 철산3동241-2,2,개방화장실,2,126.8704849,0,경기도 광명시 자경로 153,0,0,37.4771863,0,,2018-08-27
가림빌딩,N,0,09:00~18:00,정연욱 외 1명,2,0,02-2613-9868,경기도 광명시 철산3동425,2,개방화장실,3,126.8693149,0,경기도 광명시 하안1동 산141-7,0,0,37.4739324,0,,2018-08-27
오리주유소,N,0,09:00~18:00,박돈영,2,0,02-898-0688,경기도 광명시 소하2동1077,2,공중화장실,2,126.8791242,0,경기도 광명시 철산2동 610,0,0,37.4347946,0,,2018-08-27
골든힐빌딩,N,0,09:00~18:00,이오규,2,0,02-894-1702,경기도 광명시 하안3동53-1,3,개방화장실,3,126.8802091,0,경기도 광명시 광명로 417,0,0,37.4623484,0,,2018-08-27
도덕산,N,0,09:00~18:00,공원녹지과,0,0,1688-3399,경기도 광명시 하안1동산50,1,공중화장실,1,126.8586252,0,경기도 광명시 서원로 42(소하동),0,0,37.4635965,0,,2018-08-27
장기촌경로당,N,0,09:00~18:00,장기촌경로당,2,0,1688-3399,경기도 광명시 가학동1028,2,공중화장실,2,126.8647073,0,경기도 광명시 금오로 846,0,0,37.403721,0,,2018-08-27
도덕산 등산로변,N,0,09:00~18:00,공원녹지과,1,0,1688-3399,경기도 광명시 하안1동424-1,1,공중화장실,1,126.8588249,0,경기도 광명시 광명로 856(광명동),0,0,37.4499085,0,,2018-08-27
소하근린공원,N,0,09:00~18:00,공원녹지과,1,0,1688-3399,경기도 광명시 소하동산 95-5,3,공중화장실,2,126.875717,0,경기도 광명시 오리로 883(철산동),0,0,37.4357203,0,,2018-08-27
광명2동경로당,N,0,09:00~18:00,광명2동경로당,2,0,1688-3399,경기도 광명시 광명2동62-19,3,공중화장실,2,126.8588724,0,경기도 광명시 범안로 984(하안동),0,0,37.4840383,0,,2018-08-27
