화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
덕풍어린이공원,N,0,00:00~24:00,경기도 하남시청,3,0,031-790-6415,경기도 하남시 덕풍동 361-2,3,공중화장실,3,127.197347,0,경기도 하남시 덕풍공원로 40-1,0,0,37.5399611,0,,2018-08-09
스타필드하남 화장실(1층 동측),N,1,10:00~23:00,스타필드하남,5,0,031-1833-9001,경기도 하남시 신장동 616번지,14,공중화장실,6,127.2235596,2,경기도 하남시 미사대로 750,0,0,37.5453764,1,,2018-08-09
하남시평생학습관 화장실(3층),N,1,09:00~18:00,평생학습관,1,0,031-790-6308,경기도 하남시 신장동 533번지,4,공중화장실,1,127.2142226,0,경기도 하남시 하남대로 732,0,0,37.5367891,1,,2018-08-09
조정경기장 화장실(관리동),N,1,09:00~18:00,㈜한국체육산업개발,6,0,031-790-8831,경기도 하남시 신장동 281번지,5,공중화장실,7,127.2153398,0,경기도 하남시 미사대로 505,0,0,37.5517344,1,,2018-08-09
백남빌딩,N,1,00:00~24:00,백남빌딩,1,0,031-791-6203,경기도 하남시 덕풍동 319,1,개방화장실,2,127.2055035,0,경기도 하남시 하남대로 834,0,0,37.5425437,1,,2018-08-09
춘궁동 주민센터 화장실,N,1,09:00~18:00,춘궁동 주민센터,1,0,031-790-5494,경기도 하남시 춘궁동 333-2번지,1,공중화장실,2,127.194091,0,경기도 하남시 서하남로 490,0,0,37.5221553,1,,2018-08-09
스타필드하남 메가박스 화장실(MX),N,0,10:00~23:00,스타필드하남 메가박스 (MX),1,0,031-1833-9001,경기도 하남시 신장동 616번지,2,공중화장실,2,127.2235596,0,경기도 하남시 미사대로 750,0,0,37.5453764,0,,2018-08-09
스타필드하남 화장실(1층 서측),N,1,10:00~23:00,스타필드하남,5,0,031-1833-9001,경기도 하남시 신장동 616번지,5,공중화장실,6,127.2235596,2,경기도 하남시 미사대로 750,0,0,37.5453764,1,,2018-08-09
풍산지구1호공원,N,0,00:00~24:00,경기도 하남시청,2,0,031-790-6415,경기도 하남시 덕풍동732,6,공중화장실,3,127.2024399,0,경기도 하남시 덕풍동732,0,0,37.553781,0,,2018-08-09
스타필드하남 화장실(지하2층 동측),N,0,10:00~23:00,스타필드하남 (지하2층 동측),1,0,031-1833-9001,경기도 하남시 신장동 616번지,2,공중화장실,1,127.2235596,0,경기도 하남시 미사대로 750,0,0,37.5453764,0,,2018-08-09
신장시장번영회,Y,0,00:00~24:00,신장시장번영회,1,0,031-792-2651,경기도 하남시 신장동 427-159번지,3,개방화장실,1,127.2052311,0,경기도 하남시 신장1로3번길 69,0,0,37.5380392,0,,2018-08-09
신장전통시장상인회 주차장,N,0,06:00~23:00,신장전통시장상인회,3,0,031-792-2651,경기도 하남시 신장동 429-1,3,개방화장실,2,127.2069728,0,경기도 하남시 신장1로3번길 42,0,0,37.5377659,0,,2018-08-09
미사1동 주민센터 화장실,N,1,09:00~18:00,미사1동 주민센터,2,0,031-790-5058,경기도 하남시 망월동 1071번지,4,공중화장실,2,127.1885632,0,경기도 하남시 미사강변남로 59,0,0,37.5602308,1,,2018-08-09
조정경기장 화장실(관람동),N,1,09:00~18:00,㈜한국체육산업개발,15,0,031-790-8831,경기도 하남시 신장동 281번지,19,공중화장실,50,127.2153398,0,경기도 하남시 미사대로 505,0,0,37.5517344,1,,2018-08-09
하남문화예술회관 화장실(대극장 1층 좌측),N,1,09:00~18:00,경영안전(방재실),5,0,031-790-7997,경기도 하남시 덕풍동 694번지,13,공중화장실,6,127.2070586,0,경기도 하남시 신평로 125,0,0,37.544371,1,,2018-08-09
하남문화예술회관 화장실(대극장 2층),N,0,09:00~18:00,경영안전(방재실),5,0,031-790-7997,경기도 하남시 덕풍동 694번지,5,공중화장실,6,127.2070586,0,경기도 하남시 신평로 125,0,0,37.544371,0,,2018-08-09
선법사화장실,N,0,00:00~24:00,경기도 하남시청,1,0,031-790-6415,경기도 하남시 교산동 52-3,3,공중화장실,2,127.2082398,0,경기도 하남시 서하남로588번길 114,0,0,37.518341,0,,2018-08-09
한솔리치빌공원,N,0,00:00~24:00,경기도 하남시청,0,0,031-790-6415,경기도 하남시 덕풍동 680,2,공중화장실,3,127.1973771,0,경기도 하남시 덕산로 39,0,0,37.5324935,0,,2018-08-09
신평어린이공원화장실,N,1,00:00~24:00,경기도 하남시청,2,0,031-790-6415,경기도 하남시 신장동 266-4,5,공중화장실,3,127.2146995,1,경기도 하남시 신장동 266-4,1,1,37.549402,1,,2018-08-09
풍산지구2호공원,N,0,00:00~24:00,경기도 하남시청,2,0,031-790-6415,경기도 하남시 덕풍동 776,6,공중화장실,3,127.201227,0,경기도 하남시 덕풍서로 21,0,0,37.5505286,0,,2018-08-09
조정경기장 화장실(매점1동),N,1,09:00~18:00,㈜한국체육산업개발,6,0,031-790-8831,경기도 하남시 신장동 281번지,14,공중화장실,8,127.2153398,1,경기도 하남시 미사대로 505,1,0,37.5517344,1,,2018-08-09
스타필드하남 화장실(지하3층 서측1홀),N,1,10:00~23:00,스타필드하남 (지하3층 서측1홀),3,0,031-1833-9001,경기도 하남시 신장동 616번지,5,공중화장실,4,127.2235596,0,경기도 하남시 미사대로 750,0,0,37.5453764,1,,2018-08-09
스타필드하남 화장실(지하3층 서측2홀),N,1,10:00~23:00,스타필드하남 (지하3층 서측2홀),2,0,031-1833-9001,경기도 하남시 신장동 616번지,3,공중화장실,1,127.2235596,0,경기도 하남시 미사대로 750,0,0,37.5453764,1,,2018-08-09
나룰도서관 화장실 유아화장실,N,0,09:00~18:00,하남시립도서관,0,0,031-790-6887,경기도 하남시 덕풍동 739번지,0,공중화장실,0,127.2071151,2,경기도 하남시 덕풍북로 180,2,1,37.5526319,0,,2018-08-09
보건소 화장실(1층),N,1,09:00~18:00,보건소,2,0,031-790-5432,경기도 하남시 신장동 520번지,2,공중화장실,3,127.2146136,0,경기도 하남시 대청로 10,0,0,37.5390409,1,,2018-08-09
덕풍1동 주민센터 화장실(2층),N,1,09:00~18:00,덕풍1동 주민센터,1,0,031-790-6604,경기도 하남시 덕풍동 435-205번지,2,공중화장실,2,127.1984796,0,경기도 하남시 덕풍공원로 110,0,0,37.5349872,1,,2018-08-09
덕풍2동 주민센터 화장실(1층),N,1,09:00~18:00,덕풍2동 주민센터,2,0,031-790-5712,경기도 하남시 덕풍동 693번지,4,공중화장실,2,127.1980346,0,경기도 하남시 덕풍공원로 12,0,0,37.5422049,1,,2018-08-09
덕풍1동 주민센터 화장실(1층),N,1,09:00~18:00,덕풍1동 주민센터,3,0,031-790-6604,경기도 하남시 덕풍동 435-205번지,4,공중화장실,3,127.1984796,0,경기도 하남시 덕풍공원로 110,0,0,37.5349872,1,,2018-08-09
덕풍2동 주민센터 화장실(2층),N,0,09:00~18:00,덕풍2동 주민센터,1,0,031-790-5712,경기도 하남시 덕풍동 693번지,3,공중화장실,2,127.1980346,0,경기도 하남시 덕풍공원로 12,0,0,37.5422049,0,,2018-08-09
보건소 화장실(2층),N,0,09:00~18:00,보건소,2,0,031-790-5432,경기도 하남시 신장동 520번지,2,공중화장실,3,127.2146136,0,경기도 하남시 대청로 10,0,0,37.5390409,0,,2018-08-09
보건소 화장실(지하),N,0,09:00~18:00,보건소,2,0,031-790-5432,경기도 하남시 신장동 520번지,2,공중화장실,3,127.2146136,0,경기도 하남시 대청로 10,0,0,37.5390409,0,,2018-08-09
조정경기장 화장실(보트동),N,0,09:00~18:00,㈜한국체육산업개발,10,0,031-790-8831,경기도 하남시 신장동 281번지,2,공중화장실,12,127.2153398,0,경기도 하남시 미사대로 505,0,0,37.5517344,0,,2018-08-09
하남공업사,Y,0,09:00~18:00,하남공업사,1,0,031-791-5778,경기도 하남시 신장동 413-2,1,개방화장실,0,127.2081688,0,경기도 하남시 하남대로 801,0,0,37.540683,0,,2018-08-09
산곡주유소,N,0,00:00~24:00,산곡주유소,1,0,031-793-5184,경기도 하남시 상산곡동 70-7,2,개방화장실,2,127.2317036,0,경기도 하남시 하남대로 273,0,0,37.4998791,0,,2018-08-09
청정하남주유소,Y,0,00:00~24:00,청정하남주유소,2,0,031-793-4088,경기도 하남시 상산곡동 137-5,2,개방화장실,1,127.2324509,0,경기도 하남시 하남대로 236,0,0,37.4964629,0,,2018-08-09
풍산주유소,N,0,00:00~24:00,풍산주유소,2,0,031-795-2100,경기도 하남시 풍산동 318-2,2,개방화장실,2,127.1930344,0,경기도 하남시 하남대로 956,0,0,37.5471234,0,,2018-08-09
리버 카페,N,0,12:00~23:00,리버 카페,1,0,031-791-2991,경기도 하남시 미사동 395-3,1,개방화장실,1,127.2051397,0,경기도 하남시 미사동로 102-23,0,0,37.5754302,0,,2018-08-09
춘궁동 노인복지회관 화장실,N,1,09:00~18:00,춘궁동 노인복지회관,2,0,031-790-5410,경기도 하남시 춘궁동 334-1번지,3,공중화장실,4,127.1939207,0,경기도 하남시 서하남로 488,0,0,37.5219304,1,,2018-08-09
하남경찰서 본관 화장실,N,1,09:00~18:00,하남경찰서,3,0,031-790-0322,경기도 하남시 하산곡동 594번지,6,공중화장실,3,127.2246465,0,경기도 하남시 검단로 27,0,0,37.5226695,1,,2018-08-09
하남경찰서 종합민원실 화장실,N,1,09:00~18:00,하남경찰서,1,0,031-790-0322,경기도 하남시 하산곡동 594번지,3,공중화장실,2,127.2246465,0,경기도 하남시 검단로 27,0,0,37.5226695,1,,2018-08-09
미사2동 주민센터 화장실,N,1,09:00~18:00,미사2동 주민센터,2,0,031-790-5591,경기도 하남시 망월동 981번지,4,공중화장실,2,127.185954,0,경기도 하남시 아리수로 531,0,0,37.5669832,1,,2018-08-09
하남소방서 화장실(2층),N,1,09:00~18:00,하남소방서,3,0,031-799-4123,경기도 하남시 신장동 528-1번지,2,공중화장실,6,127.2202504,0,경기도 하남시 대청로 76,0,0,37.5397604,1,,2018-08-09
신장도서관 화장실(2층),N,0,09:00~18:00,하남시립도서관,3,0,031-795-0694,경기도 하남시 신장동 520-2번지,2,공중화장실,3,127.2136948,0,경기도 하남시 하남대로 740,0,0,37.5382046,0,,2018-08-09
신장도서관 화장실(3층),N,0,09:00~18:00,하남시립도서관,2,0,031-795-0694,경기도 하남시 신장동 520-2번지,3,공중화장실,3,127.2136948,0,경기도 하남시 하남대로 740,0,0,37.5382046,0,,2018-08-09
하남시청 종합민원실 화장실(2층),N,0,09:00~18:00,하남시청,3,0,031-790-6173,경기도 하남시 신장동 520번지,3,공중화장실,3,127.2146136,0,경기도 하남시 대청로 10,0,0,37.5390409,0,,2018-08-09
하남시청 화장실(지하),N,0,09:00~18:00,하남시청,5,0,031-790-6173,경기도 하남시 신장동 520번지,4,공중화장실,5,127.2146136,0,경기도 하남시 대청로 10,0,0,37.5390409,0,,2018-08-09
하남시청 화장실(4층),N,0,09:00~18:00,하남시청,4,0,031-790-6173,경기도 하남시 신장동 520번지,5,공중화장실,5,127.2146136,0,경기도 하남시 대청로 10,0,0,37.5390409,0,,2018-08-09
