화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
큰재봉원공원,N,0,연중무휴,화성시청 공원과,3,0,031-369-6128,경기도 화성시 석우동 45,3,공중화장실,2,127.0824985,0,경기도 화성시 석우동 45,0,0,37.2139656,0,,2017-11-17
구봉산 근린공원,N,0,연중무휴,화성시청 공원과,2,0,031-369-6128,경기도 화성시 병점동 865,3,공중화장실,2,127.0469154,0,경기도 화성시 병점동 865,0,0,37.2049918,0,,2017-11-17
초록산 산림욕장 2,N,0,(평일)08:00~24:00+(주말)09:00~18:00,화성도시공사,1,0,031-369-6782,경기도 화성시 양감면 사창리 810-9,1,공중화장실,1,126.9549885,0,경기도 화성시 양감면 사창리 810-9,0,0,37.0918999,0,,2017-11-17
노작공원(홍사용),N,0,연중무휴,화성시청 공원과,3,0,031-369-6128,경기도 화성시 반송동 108번지,6,공중화장실,4,127.0773926,0,경기도 화성시 노작로 158,0,0,37.1999938,0,,2017-11-17
개나리공원,N,0,연중무휴,화성시청 공원과,3,0,031-369-6128,경기도 화성시 반송동 12번지,6,공중화장실,3,127.0661937,0,경기도 화성시 동탄반송3길 51 (반송동),0,0,37.2103803,0,,2017-11-17
노작공원(노인공원),N,0,연중무휴,화성시청 공원과,1,0,031-369-6128,경기도 화성시 반송동 108,2,공중화장실,1,127.0773926,0,경기도 화성시 반송동 108,0,0,37.1999938,0,,2017-11-17
솔빛공원,N,0,연중무휴,화성시청 공원과,3,0,031-369-6128,경기도 화성시 반송동 138,6,공중화장실,3,127.0714197,0,경기도 화성시 반송동 138,0,0,37.1966906,0,,2017-11-17
탄요유적공원,N,0,연중무휴,화성시청 공원과,1,0,031-369-6128,경기도 화성시 반송동 198-1,2,공중화장실,2,127.0703661,0,경기도 화성시 반송동 198-1,0,0,37.1898072,0,,2017-11-17
센트럴파크(음악분수),N,0,연중무휴,화성시청 공원과,3,0,031-369-6128,경기도 화성시 반송동 59,6,공중화장실,3,127.0635524,0,경기도 화성시 반송동 59,0,0,37.2039392,0,,2017-11-17
벌말체육공원,N,0,연중무휴,화성시청 공원과,1,0,031-369-6128,경기도 화성시 병점동 423,1,공중화장실,1,127.0375077,0,경기도 화성시 병점동 423,0,0,37.2012736,0,,2017-11-17
동화마을 생태공원 1,N,0,연중무휴,화성시청 공원과,1,0,031-369-6128,경기도 화성시 봉담읍 동화리 573,1,공중화장실,0,126.9561278,0,경기도 화성시 봉담읍 동화리 573,0,0,37.2144967,0,,2017-11-17
석우리천 공원,N,0,연중무휴,화성시청 공원과,2,0,031-369-6128,경기도 화성시 석우동 45-5,7,공중화장실,3,127.0851708,0,경기도 화성시 석우동 45-5,0,0,37.2160271,0,,2017-11-17
장안근린공원,N,0,연중무휴,화성시청 공원과,2,0,031-369-6128,경기도 화성시 장안면 수촌리 1470-1번지,4,공중화장실,5,126.8484661,0,경기도 화성시 장안면 장안공단2길 26-17 (수촌리),0,0,37.105478,0,,2017-11-17
다람산 근린공원,N,0,연중무휴,화성시청 공원과,2,0,031-369-6128,경기도 화성시 진안동 141,3,공중화장실,4,127.0343041,0,경기도 화성시 진안동 141,0,0,37.2174121,0,,2017-11-17
도원체육공원,N,0,연중무휴,화성시청 공원과,2,0,031-369-6128,경기도 화성시 향남읍 행정리 478,8,공중화장실,4,126.9289881,0,경기도 화성시 향남읍 행정리 478,0,0,37.1333619,0,,2017-11-17
동화마을 생태공원 2,N,0,연중무휴,화성시청 공원과,1,0,031-369-6128,경기도 화성시 봉담읍 동화리 573,4,공중화장실,4,126.9561278,0,경기도 화성시 봉담읍 동화리 573,0,0,37.2144967,0,,2017-11-17
남양시장 공중화장실,N,0,(평일)08:00~24:00+(주말)09:00~18:00,화성시 경제정책과,2,0,031-369-6782,경기도 화성시 남양읍 남양리 1163-30번지,2,공중화장실,3,126.8160474,0,경기도 화성시 남양읍 남양시장로55번길 8,0,0,37.2092947,0,,2017-11-17
홍난파 생가,N,0,(평일)08:00~24:00+(주말)09:00~18:00,화성시 문화예술과,0,0,031-369-6782,경기도 화성시 남양읍 활초리 281번지,0,공중화장실,2,126.8341053,0,경기도 화성시 남양읍 홍난파길 34,0,0,37.179083,0,,2017-11-17
만의사,N,0,(평일)08:00~24:00+(주말)09:00~18:00,화성시 문화예술과,2,0,031-369-6782,경기도 화성시 동탄면 중리 145,6,공중화장실,5,127.1488559,0,경기도 화성시 동탄면 중리 145,0,0,37.2085502,0,,2017-11-17
