화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
구운천변 삼천리 연수원,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 수동면 운수리 12-12,2,개방화장실,1,127.3364052,0,경기도 남양주시 수동면 운수리 12-12,0,0,37.6963846,0,,2017-01-01
운수리 게이트볼장 앞 하천변,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 수동면 운수리 91-3,4,개방화장실,3,127.3253206,0,경기도 남양주시 수동면 비룡로 751,0,0,37.705603,0,,2017-01-01
면사무소 건너편 조안 야생화 공원,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 조안면 조안리 548-4,3,개방화장실,2,127.2976111,0,경기도 남양주시 조안면 북한강로113번길 66,0,0,37.5387995,0,,2017-01-01
송촌리 한사랑 딸기농장 앞 주차장,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 조안면 송촌리 352,3,개방화장실,2,127.3192817,0,경기도 남양주시 조안면 북한강로,0,0,37.5633328,0,,2017-01-01
송촌리 경로당 앞,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 조안면 송촌리 662,1,개방화장실,1,127.3174186,0,경기도 남양주시 조안면 북한강로,0,0,37.5691835,0,,2017-01-01
슬로시티길(다솜유기농),N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 조안면 송촌리 281-1,1,개방화장실,1,127.321241,0,경기도 남양주시 조안면 북한강로,0,0,37.5660233,0,,2017-01-01
한사랑딸기농장 앞,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 조안면 송촌리 352,1,개방화장실,1,127.3192817,0,경기도 남양주시 조안면 북한강로,0,0,37.5633328,0,,2017-01-01
하우스농장 앞,N,0,00:00~24:00,경기도 남양주시청,0,0,031-590-4269,경기도 남양주시 조안면 송촌리 249,1,개방화장실,1,127.3218249,0,경기도 남양주시 조안면 북한강로,0,0,37.5641152,0,,2017-01-01
우리미 아파트 옆 호평 근린공원 안,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 호평동 619,1,개방화장실,1,127.2406562,0,경기도 남양주시 호평로 9,0,0,37.6566778,0,,2017-01-01
호평 천마산 구 매표소,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 호평동 산57-1(천마로 129),3,개방화장실,2,127.2528798,0,경기도 남양주시 천마산로 129 (호평동),0,0,37.6748015,0,,2017-01-01
호평 천마산 임로 종점 끝 주차장 뒤편,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 호평동 산57-1(천마로 129),3,개방화장실,2,127.2528798,0,경기도 남양주시 천마산로 129 (호평동),0,0,37.6748015,0,,2017-01-01
천마산입구 주차장,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 호평동 452-4,1,개방화장실,1,127.2522536,0,경기도 남양주시 호평동 452-4,0,0,37.6706295,0,,2017-01-01
호평동 체육시설,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 호평동 296-3,0,개방화장실,1,127.2506193,0,경기도 남양주시 호평동 296-3,0,0,37.6619079,0,,2017-01-01
약대울 체육공원,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 평내동 461-7,1,개방화장실,0,127.2333133,0,경기도 남양주시 경춘로1283번길 43 (평내동),0,0,37.6511172,0,,2017-01-01
금곡동 용머리약수터,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 금곡동 산112-1,2,개방화장실,2,127.2140788,0,경기도 남양주시 금곡동 산112-1,0,0,37.6341491,0,,2017-01-01
시청 운동장(테니스장옆),N,0,00:00~24:00,경기도 남양주시청,2,0,031-590-4269,경기도 남양주시 금곡동 홍유릉 산112-1,5,개방화장실,4,127.2110939,0,경기도 남양주시 홍유릉로 352-1 (금곡동),0,0,37.6319105,0,,2017-01-01
장현재래시장( 378-16),N,0,00:00~24:00,경기도 남양주시청,2,0,031-590-8370,경기도 남양주시 진접읍 장현리 378-16,3,개방화장실,2,127.1834428,0,경기도 남양주시 장현천로 25-6,0,0,37.7186669,0,,2017-01-01
팔현계곡,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-8370,경기도 남양주시 오남읍 팔현리 산115-1,3,개방화장실,2,127.2324342,0,경기도 남양주시 팔현로 179,0,0,37.6918792,0,,2017-01-01
호수공원(다송),N,0,00:00~24:00,경기도 남양주시청,2,0,031-590-8370,경기도 남양주시 오남읍 오남리 산 58,4,개방화장실,3,127.2197171,0,경기도 남양주시 오남읍 오남리 산 58,0,0,37.6933019,1,,2017-01-01
달팽이 화장실,N,1,00:00~24:00,경기도 남양주시청,3,0,031-590-8370,경기도 남양주시 별내면 청학리 537,7,개방화장실,3,127.106456,1,경기도 남양주시 별내면 순화궁로 931,0,0,37.7052109,1,,2017-01-01
청학리 수락산-1,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-8370,경기도 남양주시 별내면 청학리 544,2,개방화장실,1,127.1051559,0,경기도 남양주시 순화궁로945번길 47,0,0,37.7032443,0,,2017-01-01
청학리 수락산-2,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-8370,경기도 남양주시 별내면 청학리 544-3,2,개방화장실,1,127.1044518,0,경기도 남양주시 순화궁로909번길 13,0,0,37.7024773,0,,2017-01-01
청학리 수락산-3,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-8370,경기도 남양주시 별내면 청학리 산102-3,2,개방화장실,1,127.0985937,0,경기도 남양주시 별내면 청학리 산102-3,0,0,37.7007705,0,,2017-01-01
별내면 광전리 체육시설,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-8370,경기도 남양주시 별내면 광전리 199-21,1,개방화장실,1,127.1281115,0,경기도 남양주시 별내면 광전리 199-21,0,0,37.6976067,0,,2017-01-01
별내동 861,N,1,00:00~24:00,경기도 남양주시청,1,0,031-590-8370,경기도 남양주시 별내동 861,4,개방화장실,3,127.119981,0,경기도 남양주시 별내동 861,0,0,37.664048,1,,2017-01-01
화접초등학교 앞,N,1,00:00~24:00,경기도 남양주시청,0,0,031-590-8370,경기도 남양주시 별내동 1074,1,개방화장실,2,127.1157383,0,경기도 남양주시 별내동 1074,0,0,37.6539703,1,,2017-01-01
별가람초등학교 근처,N,1,00:00~24:00,경기도 남양주시청,0,0,031-590-8370,경기도 남양주시 별내동 928,1,개방화장실,2,127.1233695,0,경기도 남양주시 별내동 928,0,0,37.6568549,1,,2017-01-01
양정동 현충탑내,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 양정동 현충탑,1,개방화장실,1,127.1915412,0,경기도 남양주시 양정동 현충탑,0,0,37.6146091,0,,2017-01-01
(삼패동)한강시민공원 풋살구장 옆,N,1,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 삼패동 340,2,개방화장실,2,127.1979966,0,경기도 남양주시 경강로 357 (삼패동),0,0,37.5939079,1,,2017-01-01
(삼패동)한강시민공원 야구장 계단쪽,N,0,00:00~24:00,경기도 남양주시청,0,0,031-590-4269,경기도 남양주시 삼패동 343,1,개방화장실,1,127.1988327,0,경기도 남양주시 경강로 367 (삼패동),0,0,37.5932146,0,,2017-01-01
지금동 황골 약수터,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 지금동 490,1,개방화장실,0,127.1545409,0,경기도 남양주시 지금동 490,0,0,37.6156445,0,,2017-01-01
(토평교)왕숙천공원,N,1,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 도농동 312-49,1,개방화장실,2,127.149842,0,경기도 남양주시 미금로65번길 1-97,0,0,37.6099156,1,,2017-01-01
(수석동)한강시민공원,N,1,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 수석동 442,3,개방화장실,2,127.1701225,0,경기도 남양주시 강변북로651번길 52 (수석동),0,0,37.5834891,1,,2017-01-01
가운약수터 위쪽 황금산 배드민턴장아래,N,0,00:00~24:00,경기도 남양주시청,0,0,031-590-4269,경기도 남양주시 가운동 산50-1,1,개방화장실,1,127.1622372,0,경기도 남양주시 가운동 산50-1,0,0,37.6018263,0,,2017-01-01
(왕숙교 밑 족구장)왕숙천공원,N,1,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 도농동 256,2,개방화장실,2,127.1496448,0,경기도 남양주시 도농동 256,0,0,37.6042144,1,,2017-01-01
궁안(전동)약수터 체육시설,N,0,00:00~24:00,경기도 남양주시청,2,0,031-590-8370,경기도 남양주시 진접읍 장현리 산 23,3,개방화장실,3,127.184675,0,경기도 남양주시 진접읍 장현리 산 23,0,0,37.7288711,0,,2017-01-01
장현리(장현교),N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-8370,경기도 남양주시 진접읍 장현리 268-3,1,개방화장실,1,127.1831196,0,경기도 남양주시 진접읍 장현리 268-3,0,0,37.7145193,0,,2017-01-01
내곡리(체육시설) 하천변,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-8370,경기도 남양주시 진접읍 내곡리 483-3,1,개방화장실,1,127.164144,0,경기도 남양주시 진접읍 내곡리 483-3,0,0,37.6779208,0,,2017-01-01
봉선사(봉선사 255),N,0,00:00~24:00,경기도 남양주시청,2,0,031-590-8370,경기도 남양주시 진접읍 부평리 251-2,4,개방화장실,3,127.1838999,0,경기도 남양주시 진접읍 부평리 251-2,0,0,37.745706,1,,2017-01-01
부평리 축구장,N,0,00:00~24:00,경기도 남양주시청,2,0,031-590-8370,경기도 남양주시 진접읍 부평리,3,개방화장실,3,127.1771783,0,경기도 남양주시 진접읍 부평로,0,0,37.7437847,1,,2017-01-01
상하수도센터,N,1,00:00~24:00,경기도 남양주시청,2,0,031-590-8370,경기도 남양주시 별내동 8,4,개방화장실,2,127.1258726,0,경기도 남양주시 별내동 8,0,0,37.6628888,1,,2017-01-01
불암산 불암사,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-8370,경기도 남양주시 별내동 797,3,개방화장실,2,127.0986555,0,경기도 남양주시 별내면 불암사로 190,0,0,37.6586344,2,,2017-01-01
덕소리 체육공원 와부게이트볼장,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 와부읍 덕소리 612,2,개방화장실,1,127.2213048,0,경기도 남양주시 와부읍 월문천로 95,0,0,37.5880029,0,,2017-01-01
도곡 취수장 앞 한강 산책로,N,0,00:00~24:00,경기도 남양주시청,0,0,031-590-4269,경기도 남양주시 와부읍 도곡리 504-41,1,개방화장실,1,127.2273907,0,경기도 남양주시 와부읍 경강로 756,0,0,37.5683425,0,,2017-01-01
덕소 삼익아파트 앞,N,0,00:00~24:00,경기도 남양주시청,1,0,031-590-4269,경기도 남양주시 와부읍 덕소리 600-3,1,개방화장실,0,127.2075504,0,경기도 남양주시 와부읍 덕소로2번길 39,0,0,37.586334,0,,2017-01-01
