화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
오산역,N,1,연중무휴,오산역장,8,0,031-374-7788,경기도 오산시 오산동 603-116,8,공중화장실,6,127.066868,0,경기도 오산시 역광장로 59,0,0,37.145466,1,,2018-08-01
세마역,N,1,연중무휴,세마역장,5,0,031-377-7166,경기도 오산시 세교동 244-5,10,공중화장실,4,127.043094,0,경기도 오산시 세마역로 88,0,0,37.187099,1,,2018-08-01
서동탄역,N,1,연중무휴,서동탄역장,5,0,031-613-9581,경기도 오산시 외삼미동 258,10,공중화장실,4,127.052286,0,경기도 오산시 외삼미로15번길 75-60,0,0,37.195861,1,,2018-08-01
오산대역,N,1,연중무휴,오산대역장,5,0,031-375-9354,경기도 오산시 수청동 435-1,10,공중화장실,4,127.062819,0,경기도 오산시 청학로 236,0,0,37.169251,1,,2018-08-01
양산도서관,N,2,09:00~18:00,오산시장,6,0,031-8306-6161,경기도 오산시 양산동 670-3,8,공중화장실,6,127.032219,0,경기도 오산시 양산로 410번길 34,0,0,37.194254,2,,2018-08-01
버스터미널,N,1,06:00~24:00,오산터미널,6,0,031-373-3355,경기도 오산시 오산동 903-1,6,공중화장실,3,127.067884,0,경기도 오산시 오산로 215,0,0,37.146228,1,,2018-08-01
시민회관,N,1,09:00~18:00,오산시설관리공단,19,0,031-378-4352,경기도 오산시 오산동 345,19,공중화장실,16,127.071419,0,경기도 오산시 오산천로 275,0,0,37.156242,1,,2018-08-01
종합운동장,N,3,09:00~18:00,오산시설관리공단,17,0,031-378-4352,경기도 오산시 오산동 49,17,공중화장실,9,127.073972,0,경기도 오산시 경기동로15,0,0,37.156871,3,,2018-08-01
오산스포츠센터,N,3,09:00~18:00,오산시설관리공단,16,0,031-371-1717,경기도 오산시 오산동 40,24,공중화장실,10,127.075662,0,경기도 오산시 경기동로33,0,0,37.158692,3,,2018-08-01
보적사,N,0,연중무휴,오산시장,1,0,031-372-3433,경기도 오산시 지곶동 150,3,공중화장실,2,127.019365,0,경기도 오산시 독산성로 269번길 144,0,0,37.184281,0,,2018-08-01
세마대,N,0,연중무휴,오산시장,3,0,031-8036-7603,경기도 오산시 양산동 산19-89,4,공중화장실,3,127.015402,0,경기도 오산시 독산성로 121,0,0,37.181357,0,,2018-08-01
현대아파트 앞,N,0,연중무휴,오산시장,2,0,031-8036-6432,경기도 오산시 은계동 31-2,2,공중화장실,1,127.073145,0,경기도 오산시 현충로72번길 22,0,0,37.159591,0,,2018-08-01
