화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
광탄체육공원,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,1,0,031-940-5952,경기도 파주시 광탄면 방축리 386-45,2,공중화장실,2,126.850326,0,경기도 파주시 광탄면 방축리 386-45,0,0,37.80825,0,,2018-08-17
윤관장군묘,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,2,0,031-940-5952,경기도 파주시 광탄면 혜음로930,4,개방화장실,3,126.856395,0,경기도 파주시 광탄면 혜음로930,0,0,37.767717,1,,2018-08-17
광탄면사무소,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,3,0,031-940-5952,경기도 파주시 광탄면 혜음로1044,5,공중화장실,3,126.850987,0,경기도 파주시 광탄면 혜음로1044,0,0,37.77668,1,,2018-08-17
마장근린공원-1,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,1,0,031-940-5952,경기도 파주시 광탄면 기산리 469-2,2,공중화장실,2,126.925756,0,경기도 파주시 광탄면 기산리 469-2,0,0,37.772642,0,,2018-08-17
마장근린공원-2,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,1,0,031-940-5952,경기도 파주시 광탄면 기산리 산150-16,3,공중화장실,2,126.925756,0,경기도 파주시 광탄면 기산리 산150-16,0,0,37.772642,2,,2018-08-17
마장근린공원-3,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,1,0,031-940-5952,경기도 파주시 광탄면 기산로 산150-17,3,공중화장실,2,126.925756,0,경기도 파주시 광탄면 기산로 산150-17,0,0,37.772642,0,,2018-08-17
유비파크(2) 편의점옆,N,1,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,4,0,031-940-5952,경기도 파주시 와동동32-143,7,공중화장실,4,126.760282,0,경기도 파주시 와동동32-143,0,0,37.723141,1,,2018-08-17
유비파크(1) 홍보관,N,1,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,3,0,031-940-5952,경기도 파주시 와동동32-143,6,공중화장실,5,126.760282,0,경기도 파주시 와동동32-143,0,0,37.723141,1,,2018-08-17
교하향교,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,2,0,031-940-5952,경기도 파주시 쇠재로91(금촌동),3,개방화장실,3,126.776684,0,경기도 파주시 쇠재로91(금촌동),0,0,37.749909,1,,2018-08-17
법원우시장2,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,1,0,031-940-5952,경기도 파주시 법원읍 법원리 423-67,1,공중화장실,2,126.881827,0,경기도 파주시 법원읍 법원리 423-67,0,0,37.847713,0,,2018-08-17
법원근린공원,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,3,0,031-940-5952,경기도 파주시 법원읍 법원리 산 39-1외 2필지,5,개방화장실,4,126.88491,0,경기도 파주시 법원읍 법원리 산 39-1외 2필지,0,0,37.848777,1,,2018-08-17
법원읍사무소,N,1,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,4,0,031-940-5952,경기도 파주시 법원읍 사임당로 907번길 21,3,공중화장실,6,126.882417,0,경기도 파주시 법원읍 사임당로 907번길 21,0,0,37.849389,1,,2018-08-17
조리읍사무소,N,0,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,3,0,031-940-5952,경기도 파주시 조리읍 봉천로 64,2,공중화장실,3,126.805357,0,경기도 파주시 조리읍 봉천로 64,0,0,37.744907,1,,2018-08-17
하니랜드(놀이공원),N,1,(평일) 09:00~18:00 (주말) 09:00~18:00,경기도 파주시청,11,0,031-940-5952,경기도 파주시 조리읍 장곡로218,15,개방화장실,7,126.833555,0,경기도 파주시 조리읍 장곡로218,0,0,37.749917,1,,2018-08-17
