화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
동부주유소,Y,0,06:00~24:00,동부주유소,1,0,031-663-8866,경기도 평택시 가재동 140-2,1,공중화장실,1,127.077005,0,경기도 평택시 방여울로 6 (가재동),0,0,37.038236,0,,2018-07-31
푸른LPG충전소,N,0,06:00~24:00,푸른LPG충전소,1,0,031-666-2927,경기도 평택시 가재동 20-25,1,공중화장실,2,127.096302,0,경기도 평택시 청원로 1582 (가재동),0,0,37.045501,0,,2018-07-31
하나로주유소,Y,0,06:00~24:00,하나로주유소,1,0,031-611-0804,경기도 평택시 가재동 77-3,1,공중화장실,1,127.091343,0,경기도 평택시 방여울로 68 (가재동),0,0,37.041316,0,,2018-07-31
블루에너지 충전소,N,0,06:00~24:00,블루에너지 충전소,2,0,031-611-5104,경기도 평택시 장안동 241-1,4,공중화장실,4,127.079681,0,경기도 평택시 청원로 1409,0,0,37.052666,0,,2018-07-31
한길주유소,N,0,06:00~24:00,한길주유소,1,0,031-682-2323,경기도 평택시 고덕면 궁리 395-1,2,공중화장실,2,127.020873,0,경기도 평택시 고덕면 서동대로 2531,0,0,37.017782,0,,2018-07-31
신성주유소,N,0,06:00~24:00,신성주유소,1,0,031-664-5115,경기도 평택시 고덕면 동고리 152-1,2,공중화장실,1,127.046064,0,경기도 평택시 고덕면 서동대로 2796,0,0,37.006998,0,,2018-07-31
믿음주유소,N,0,06:00~24:00,믿음주유소,1,0,031-667-8866,경기도 평택시 고덕면 동청리 47-6,1,공중화장실,2,127.002955,0,경기도 평택시 고덕면 청원로 673,0,0,37.054092,0,,2018-07-31
도일주유소,N,0,06:00~24:00,도일주유소,1,0,031-611-5135,경기도 평택시 도일동 276-1,1,공중화장실,2,127.106393,0,경기도 평택시 도일로 201 (도일동),0,0,37.055892,0,,2018-07-31
동남제1주유소,N,0,06:00~24:00,동남제1주유소,1,0,031-662-5193,경기도 평택시 도일동 624-2,2,공중화장실,1,127.104343,0,경기도 평택시 청원로 1655 (도일동),0,0,37.044409,0,,2018-07-31
SK내트럭주유소,N,0,06:00~24:00,SK내트럭주유소,2,0,031-611-6051,경기도 평택시 도일동 707-5,2,공중화장실,2,127.103409,0,경기도 평택시 청원로 1640 (도일동),0,0,37.043917,0,,2018-07-31
현대오일뱅크㈜ 송탄현대주유소,N,0,06:00~24:00,현대오일뱅크㈜ 송탄현대주유소,2,0,031-668-5189,경기도 평택시 도일동 989-2,2,공중화장실,3,127.092348,0,경기도 평택시 청원로 1626 (도일동),0,0,37.043936,0,,2018-07-31
도원LPG충전소,N,1,06:00~24:00,도원LPG충전소,1,0,031-611-9071,경기도 평택시 도일동 992,0,공중화장실,2,127.101659,0,경기도 평택시 청원로 1630 (도일동),0,0,37.044163,0,,2018-07-31
중앙주유소,Y,0,06:00~24:00,중앙주유소,1,0,031-611-2388,경기도 평택시 독곡동 14,1,공중화장실,1,127.066668,0,경기도 평택시 송탄고가길 95 (독곡동),0,0,37.092612,0,,2018-07-31
평택현대주유소,N,0,06:00~24:00,평택현대주유소,2,0,031-663-5156,경기도 평택시 독곡동 360-3,0,공중화장실,2,127.061913,0,경기도 평택시 경기대로 1577 (독곡동),0,0,37.085241,0,,2018-07-31
송탄충전소,N,0,06:00~24:00,송탄충전소,2,0,031-663-3151,경기도 평택시 독곡동 392-4,1,공중화장실,2,127.060559,0,경기도 평택시 탄현로 400 (독곡동),0,0,37.086779,0,,2018-07-31
서정리시장 (시장번영회사무소),N,0,06:00~24:00,서정리시장 (시장번영회사무소),2,0,031-666-4676,경기도 평택시 서정동 317-67,2,개방화장실,2,127.055195,0,경기도 평택시 서정역로47번길 7 (서정동),0,0,37.057737,0,,2018-07-31
궁전부페,N,0,06:00~24:00,궁전부페,3,0,031-665-4243,경기도 평택시 서정동 779,6,개방화장실,4,127.055287,0,경기도 평택시 경기대로 1409 (서정동),0,0,37.068369,0,,2018-07-31
텍사스주유소,N,0,06:00~24:00,텍사스주유소,1,0,031-666-3273,경기도 평택시 서정동 785-11,1,공중화장실,2,127.046073,0,경기도 평택시 탄현로 192 (서정동),0,0,37.069678,0,,2018-07-31
행운주유소,N,0,06:00~24:00,㈜행운레미콘,2,0,031-663-8841,경기도 평택시 서정동 789-4,1,공중화장실,2,127.059184,0,경기도 평택시 송탄로 301 (서정동),0,0,37.070545,0,,2018-07-31
진영빌딩 (건물관리소),N,0,06:00~24:00,진영빌딩 (건물관리소),2,0,031-668-8237,경기도 평택시 서정동 795-5,1,개방화장실,2,127.063811,0,경기도 평택시 경기대로 1377 (서정동),0,0,37.068057,0,,2018-07-31
원영빌딩 (건물관리소),N,0,06:00~24:00,원영빌딩 (건물관리소),4,0,031-667-3327,경기도 평택시 서정동 795-6,4,개방화장실,4,127.063526,0,경기도 평택시 특구로 28 (서정동),0,0,37.068063,0,,2018-07-31
덕산빌딩 (건물관리소),N,1,06:00~24:00,덕산빌딩 (건물관리소),1,0,031-667-4004,경기도 평택시 서정동 817-5,2,개방화장실,2,127.063018,0,경기도 평택시 관광특구로 37 (서정동),0,0,37.067024,1,,2018-07-31
교보생명 (건물관리소),N,0,06:00~24:00,교보생명 (건물관리소),2,0,031-663-8879,경기도 평택시 서정동 822-6,2,개방화장실,2,127.055033,0,경기도 평택시 관광특구로 1 (서정동),0,0,37.068073,0,,2018-07-31
기분좋은주유소,N,0,06:00~24:00,기분좋은주유소,2,0,031-668-1237,경기도 평택시 서정동 888-3,2,공중화장실,2,127.058498,0,경기도 평택시 송탄로 212 (서정동),0,0,37.062378,0,,2018-07-31
이충 명성빌딩 (건물관리소),N,0,06:00~24:00,이충 명성빌딩 (건물관리소),2,0,031-611-0961,경기도 평택시 이충동 664-1,4,개방화장실,4,127.065114,0,경기도 평택시 경기대로 1286 (이충동),0,0,37.059747,0,,2018-07-31
웃다리문화촌 (관리사무소),N,1,06:00~24:00,웃다리문화촌 (관리사무소),2,0,031-667-0011,경기도 평택시 서탄면 금각리 286-4,3,개방화장실,2,127.008613,0,경기도 평택시 서탄면 용소금각로 438-14,0,0,37.068833,0,,2018-07-31
서탄주유소,Y,0,06:00~24:00,서탄주유소,1,0,031-665-5182,경기도 평택시 서탄면 금암리 44-1,1,공중화장실,1,127.035193,0,경기도 평택시 서탄면 서탄로 174,0,0,37.104911,0,,2018-07-31
서탄면 공중화장실,N,0,06:00~24:00,서탄면 공중화장실,2,0,031-611-0961,경기도 평택시 서탄면 금각리 360-1,2,공중화장실,2,127.006482,0,경기도 평택시 서탄면 용소금각로 392 (서탄면),0,0,37.072934,0,,2018-07-31
송탄관광특구 (건물관리소),N,0,06:00~24:00,평택시청 송탄출장소 총무과,3,0,031-8024-6051,경기도 평택시 신장동 322-83,6,공중화장실,4,127.053705,0,경기도 평택시 중앙시장로 32 (신장동),0,0,37.079977,0,,2018-07-31
동방주유소,N,0,06:00~24:00,동방주유소,2,0,031-663-8951,경기도 평택시 신장동 75-1,0,공중화장실,2,127.063297,0,경기도 평택시 경기대로 1624 (신장동),0,0,37.089253,0,,2018-07-31
하나주유소,N,0,06:00~24:00,하나주유소,1,0,031-668-4747,경기도 평택시 이충동 661,1,공중화장실,1,127.064601,0,경기도 평택시 경기대로 1624 (신장동),0,0,37.059612,0,,2018-07-31
서정침례교회 (관리사무소),N,1,06:00~24:00,서정침례교회 (관리사무소),7,0,031-665-7840,경기도 평택시 이충동 469-4,7,개방화장실,6,127.056613,0,경기도 평택시 서정역로26번길 24-12 (이충동),0,0,37.055709,1,,2018-07-31
평택주유소,N,0,06:00~24:00,평택주유소,1,0,031-611-5130,경기도 평택시 이충동 604-1,2,공중화장실,2,127.061341,0,경기도 평택시 경기대로 1232 (이충동),0,0,37.056231,0,,2018-07-31
