화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
청솔초등학교 앞,N,1,연중무휴,성남시청,2,0,031-729-4390,경기도 성남시 분당구 금곡동 218,3,이동화장실,2,127.1142958,0,경기도 성남시 분당구 금곡동 218,0,0,37.35481536,0,,2018-05-01
주택전시과 건너편 공원 앞,N,0,연중무휴,성남시청,2,0,031-729-4390,경기도 성남시 분당구 정자동 183-1,3,이동화장실,2,127.1094908,0,경기도 성남시 분당구 금곡로 298 (정자동),0,0,37.3571444,0,,2018-05-01
탄천좌안 하탑교 앞,N,1,연중무휴,성남시청,2,0,031-729-4390,경기도 성남시 분당구 야탑동 555,3,이동화장실,2,127.1227936,0,경기도 성남시 분당구 야탑동 555,0,0,37.41077783,0,,2018-05-01
야탑동물놀이장 앞,N,0,연중무휴,성남시청,4,0,031-729-4390,경기도 성남시 분당구 야탑동 555,5,이동화장실,2,127.1227936,0,경기도 성남시 분당구 야탑동 555,0,0,37.41077783,0,,2018-05-01
남한산성유원지,N,1,연중무휴,성남시청,6,0,031-729-4390,경기도 성남시 수정구 양지동 917,4,이동화장실,3,127.1717322,0,경기도 성남시 수정구 양지동 917,0,0,37.46419253,0,,2018-05-01
남한산성유원지,N,0,연중무휴,성남시청,1,0,031-729-4390,경기도 성남시 중원구 은행동 82-3,1,이동화장실,1,127.1720706,0,경기도 성남시 중원구 산성대로 626 (은행동),0,0,37.46391274,0,,2018-05-01
등산로(영장산),Y,0,연중무휴,성남시청,1,0,031-729-4390,경기도 성남시 수정구 복정동 산6-1,0,이동화장실,1,127.1424026,0,경기도 성남시 수정구 복정동 산6-1,0,0,37.45960867,0,,2018-05-01
등산로(영장산),N,0,연중무휴,성남시청,2,0,031-729-4390,경기도 성남시 분당구 율동 산61,3,이동화장실,3,127.1594284,0,경기도 성남시 분당구 율동 산61,0,0,37.38547975,0,,2018-05-01
등산로(청계산),N,0,연중무휴,성남시청,1,0,031-729-4390,경기도 성남시 수정구 상적동 산76-1,1,이동화장실,1,127.0591044,0,경기도 성남시 수정구 상적동 산76-1,0,0,37.41799728,0,,2018-05-01
금산젬월드,N,7,08:00~22:00,개인,21,0,031-713-5885,경기도 성남시 분당구 금곡동 157 금산젬월드,20,개방화장실,26,127.10947,0,경기도 성남시 분당구 돌마로 67 (금곡동),0,0,37.35042285,0,,2018-05-01
