화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
에스케이네트웍스 시흥2공단주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.7101524,0,경기도 시흥시 경제로 117,0,0,37.33565125,0,,2018-08-20
우리주유소,N,0,06:00~23:00,시흥시청,2,0,,,1,공중화장실,1,126.8107024,0,경기도 시흥시 계수로 104,0,0,37.44949525,0,,2018-08-20
블루에너지주유소(은계평화주유소),Y,0,06:00~23:00,시흥시청,1,0,,,0,공중화장실,1,126.8081229,0,경기도 시흥시 계수로 79,0,0,37.44882434,0,,2018-08-20
삼립식품 개방화장실,N,0,(평일)09:00~18:00,시흥시청,2,0,,,3,개방화장실,3,126.7161419,0,경기도 시흥시 공단1대로 101,0,0,37.34408857,0,,2018-08-20
에스케이네트웍스 시화산업주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,2,126.724471,0,경기도 시흥시 공단1대로 195,0,0,37.3390517,0,,2018-08-20
시흥우체국,N,0,(평일)09:00~18:00,시흥시청,2,0,,,2,공중화장실,3,126.728629,0,경기도 시흥시 공단1대로 241,0,0,37.33632579,0,,2018-08-20
세진에너지 시화공단주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.7290897,0,경기도 시흥시 공단1대로 256,0,0,37.33501134,0,,2018-08-20
정왕119안전센터,N,0,연중무휴,시흥시청,2,0,,,1,공중화장실,2,126.729715,0,경기도 시흥시 공단1대로259번길 1,0,0,37.33557141,0,,2018-08-20
생명농업기술센터 개방화장실,N,0,연중무휴,시흥시청,6,0,,,12,공중화장실,10,126.8084038,0,경기도 시흥시 관곡지로 139,0,0,37.40069971,0,,2018-08-20
관곡주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.7987937,0,경기도 시흥시 관곡지로 32,0,0,37.39944034,0,,2018-08-20
정왕동우체국,N,0,(평일)09:00~18:00,시흥시청,1,0,,,2,공중화장실,1,126.7483432,0,경기도 시흥시 군서마을로 32,0,0,37.34500482,0,,2018-08-20
산들공원관리사무소,N,0,(평일)09:00~18:00,시흥시청,2,0,,,4,공중화장실,3,126.7807584,0,경기도 시흥시 군자동 1352,0,0,37.34714169,0,,2018-08-20
산들공원 물놀이장,N,0,연중무휴,시흥시청,1,0,,,3,공중화장실,3,126.7807584,0,경기도 시흥시 군자동 1352,0,0,37.34714169,0,,2018-08-20
대창에너지 시흥제일주유소,N,0,06:00~23:00,시흥시청,1,0,,,2,공중화장실,1,126.7696425,0,경기도 시흥시 군자로 247,0,0,37.36385443,0,,2018-08-20
남시흥셀프주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.7750622,0,경기도 시흥시 군자로 380,0,0,37.35285072,0,,2018-08-20
군자우체국,Y,0,(평일)09:00~18:00,시흥시청,1,0,,,0,공중화장실,1,126.7847564,0,경기도 시흥시 군자로 510,0,0,37.34459012,0,,2018-08-20
군자파출소,N,0,연중무휴,시흥시청,1,0,,,1,공중화장실,1,126.7853395,0,경기도 시흥시 군자로 513,0,0,37.34432447,0,,2018-08-20
대지주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.7641389,0,경기도 시흥시 군자로 80,0,0,37.37663452,0,,2018-08-20
희망공원관리동,N,0,(평일)09:00~18:00,시흥시청,3,0,,,3,공중화장실,4,126.7150487,0,경기도 시흥시 군자천로131번길 64,0,0,37.33593345,0,,2018-08-20
희망공원주차장,N,0,연중무휴,시흥시청,2,0,,,2,공중화장실,5,126.7150487,0,경기도 시흥시 군자천로131번길 64,0,0,37.33593345,0,,2018-08-20
무지내주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.8400335,0,경기도 시흥시 금오로 144,0,0,37.41678127,0,,2018-08-20
(주)행운에너지주유소,Y,0,06:00~23:00,시흥시청,2,0,,,0,공중화장실,2,126.8367577,0,경기도 시흥시 금오로 219,0,0,37.42295057,0,,2018-08-20
KH에너지(주)주유소,N,0,06:00~23:00,시흥시청,1,0,,,2,공중화장실,1,126.8361062,0,경기도 시흥시 금오로 269,0,0,37.42744754,0,,2018-08-20
원창 롯데제2주유소,N,0,06:00~23:00,시흥시청,1,0,,,2,공중화장실,2,126.8362708,0,경기도 시흥시 금오로 304,0,0,37.43072386,0,,2018-08-20
과림동주민센터,N,0,(평일)09:00~18:00,시흥시청,2,0,,,2,공중화장실,2,126.8328901,0,경기도 시흥시 금오로 383,0,0,37.43687487,0,,2018-08-20
금강주유소,N,0,06:00~23:00,시흥시청,2,0,,,2,공중화장실,2,126.8330891,0,경기도 시흥시 금오로 427,0,0,37.44088286,0,,2018-08-20
대광주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.8318647,0,경기도 시흥시 금오로 499,0,0,37.44671969,0,,2018-08-20
동양주유소,N,0,06:00~23:00,시흥시청,2,0,,,2,공중화장실,0,126.8335913,0,경기도 시흥시 금오로 580,0,0,37.45293192,0,,2018-08-20
보금자리주유소,Y,0,06:00~23:00,시흥시청,2,0,,,0,공중화장실,2,126.840712,0,경기도 시흥시 금오로 94,0,0,37.41213654,0,,2018-08-20
신만해주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.8307332,0,경기도 시흥시 금화로 204,0,0,37.36499561,0,,2018-08-20
현대주유소 물왕주유소,N,0,06:00~23:00,시흥시청,2,0,,,2,공중화장실,2,126.8295032,0,경기도 시흥시 금화로 411,0,0,37.38375317,0,,2018-08-20
능곡중앙공원,N,0,연중무휴,시흥시청,1,0,,,4,공중화장실,4,126.8138019,0,경기도 시흥시 능곡동 766,0,0,37.36797599,0,,2018-08-20
능골공원,N,0,연중무휴,시흥시청,1,0,,,3,공중화장실,3,126.8082808,0,경기도 시흥시 능곡동 781,0,0,37.36559207,0,,2018-08-20
영모재공원,N,0,연중무휴,시흥시청,2,0,,,2,공중화장실,1,126.8172387,0,경기도 시흥시 능골길 26,0,0,37.36967888,0,,2018-08-20
비둘기공원 관리사무소,N,0,(평일)09:00~18:00,시흥시청,2,0,,,6,공중화장실,5,126.7952004,0,경기도 시흥시 대은로 16-29,0,0,37.44160176,0,,2018-08-20
은행119안전센터,N,0,연중무휴,시흥시청,2,0,,,1,공중화장실,3,126.79329,0,경기도 시흥시 대은로 4,0,0,37.43936392,0,,2018-08-20
진로마트 개방화장실,N,0,09:00~18:00,시흥시청,1,0,,,2,개방화장실,0,126.7842034,0,경기도 시흥시 도일로 133,0,0,37.3422176,0,,2018-08-20
에스케이네트웍스 군자주유소,N,0,06:00~23:00,시흥시청,2,0,,,2,공중화장실,1,126.7855104,0,경기도 시흥시 도일로 146,0,0,37.3429408,0,,2018-08-20
군자동주민센터,N,0,(평일)09:00~18:00,시흥시청,2,0,,,2,공중화장실,3,126.7850267,0,경기도 시흥시 도일로102번길 11,0,0,37.34001338,0,,2018-08-20
목감IC주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.8675738,0,경기도 시흥시 동서로 1200,0,0,37.39387176,0,,2018-08-20
현대오일뱅크(주)직영 월곶현대주유소,N,0,06:00~23:00,시흥시청,2,0,,,2,공중화장실,2,126.7661266,0,경기도 시흥시 동서로 174,0,0,37.38228247,0,,2018-08-20
신월곶주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,0,126.7663686,0,경기도 시흥시 동서로 177,0,0,37.38287042,0,,2018-08-20
갯골생태공원(인포센터),N,0,(평일)09:00~18:00,시흥시청,5,0,,,10,공중화장실,8,126.7812576,0,경기도 시흥시 동서로 287,0,0,37.38978991,0,,2018-08-20
갯골생태공원 해수체험장,N,0,연중무휴,시흥시청,2,0,,,3,공중화장실,3,126.7812576,0,경기도 시흥시 동서로 287,0,0,37.38978991,0,,2018-08-20
세화제2주유소,N,0,06:00~23:00,시흥시청,2,0,,,1,공중화장실,2,126.7941284,0,경기도 시흥시 동서로 425,0,0,37.38410414,0,,2018-08-20
우정주유소,N,0,06:00~23:00,시흥시청,2,0,,,2,공중화장실,2,126.8174841,0,경기도 시흥시 동서로 633,0,0,37.38394427,0,,2018-08-20
나분들주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.8216032,0,경기도 시흥시 동서로 674,0,0,37.38395776,0,,2018-08-20
금진주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.8440043,0,경기도 시흥시 동서로 895-1,0,0,37.38019432,0,,2018-08-20
목감휴게소,N,0,연중무휴,시흥시청,6,0,,,13,공중화장실,7,126.8679997,0,경기도 시흥시 동서로1176번길 24,0,0,37.3905817,0,,2018-08-20
물왕 공중화장실,N,0,연중무휴,시흥시청,2,0,,,2,공중화장실,2,126.8399428,0,경기도 시흥시 동서로857번길 11,0,0,37.38295324,0,,2018-08-20
