화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
망포,N,0,00:00-24:00,경기도 수원시 공원녹지사업소,2,0,031-228-4193,경기도 수원시 영통구 망포동 358-5 (망포공원),8,공중화장실,3,127.057695,0,,0,1,37.242464,0,17-May,2018-02-28
열림,N,0,06:00-22:00,경기도 수원시 공원녹지사업소,3,0,031-228-4193,경기도 수원시 영통구 이의동 1183번지,12,공중화장실,4,127.042818,0,,1,0,37.305342,0,17-Aug,2018-02-28
연암,N,2,06:00-22:00,경기도 수원시 공원녹지사업소,2,0,031-228-4193,경기도 수원시 영통구 이의동 1288번지,12,공중화장실,3,127.039432,0,,2,1,37.292768,0,17-Aug,2018-02-28
연암(소),N,0,00:00-24:00,경기도 수원시 공원녹지사업소,1,0,031-228-4192,경기도 수원시 영통구 이의동 1288(연암공원),2,공중화장실,1,127.039432,0,,0,0,37.292768,0,17-Jan,2018-02-28
광교중앙,N,0,06:00-22:00,경기도 수원시 공원녹지사업소,3,0,031-228-4193,경기도 수원시 영통구 이의동 1302번지,11,공중화장실,5,127.060816,0,,1,0,37.294078,0,17-Aug,2018-02-28
염원,N,0,00:00-24:00,경기도 수원시 공원녹지사업소,3,0,031-228-4193,경기도 수원시 팔달구 인계동 1128 (예술공원 야외음악당앞),6,공중화장실,5,127.040004,0,경기도 수원시 팔달구 동수원로 341 (인계동),0,1,37.265157,0,17-Jan,2018-02-28
혜령,N,0,06:00-22:00,경기도 수원시 공원녹지사업소,2,0,031-228-4193,경기도 수원시 영통구 이의동 1354번지,8,공중화장실,3,127.044518,0,경기도 수원시 영통구 에듀타운로 91,1,1,37.288092,0,17-Aug,2018-02-28
신동수변,N,0,00:00-24:00,경기도 수원시 공원녹지사업소,4,0,031-228-4192,경기도 수원시 영통구 신동 942(신동수변공원),7,공중화장실,4,127.041593,0,,1,0,37.247781,0,17-Jan,2018-02-28
다산,N,0,00:00-24:00,경기도 수원시 공원녹지사업소,2,0,031-228-4192,경기도 수원시 영통구 이의동 1328(다산공원),6,공중화장실,3,127.054719,0,,1,0,37.290614,0,17-Jan,2018-02-28
사색,N,0,00:00-24:00,경기도 수원시 공원녹지사업소,2,0,031-228-4192,경기도 수원시 영통구 원천동 588(사색공원),6,공중화장실,3,127.054816,0,,1,0,37.282357,0,17-Jan,2018-02-28
