화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
보현주유소,N,0,24시간,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 신곡동 266-38,2,개방화장실,2,127.063297,0,경기도 의정부시 금신로 32 (신곡동),0,0,37.724176,0,,2018-06-20
호원병원,N,0,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 호원동 345-6,2,개방화장실,1,127.043362,0,경기도 의정부시 신흥로 145-1 (호원동),0,0,37.728921,0,,2018-06-20
SK 네트웍스㈜ 행복날개 주유소,N,1,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 금오동 441-9,1,개방화장실,2,127.049491,0,경기도 의정부시 동일로 725 (금오동),0,0,37.751119,0,,2018-06-20
원천 제2주유소,N,0,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 장암동 90-11,2,개방화장실,2,127.057565,0,경기도 의정부시 동일로 207 (장암동),0,0,37.707388,0,,2018-06-20
㈜명연에너지 오일랜드 주유소,N,0,05시 ~ 24시,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 신곡동 387,2,개방화장실,2,127.066074,0,경기도 의정부시 금신로 153(신곡동),0,0,37.734282,0,,2018-06-20
GS칼텍스 호원주유소,N,0,06시 ~ 24시,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 호원동 435,2,개방화장실,2,127.047121,0,경기도 의정부시 평화로 317 (호원동),0,0,37.720361,0,,2018-06-20
의정부시 지하도상가,N,2,24시간,경기도 의정부시청,6,0,031-828-2983,경기도 의정부시 의정부동 99-6,15,개방화장실,9,127.050302,0,경기도 의정부시 시민로 지하 100 (의정부동),0,0,37.735905,2,,2018-06-20
석산빌딩(오가네 마산아구찜),N,0,07시 ~ 24시,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 의정부동 600,1,개방화장실,2,127.039905,0,경기도 의정부시 경의로 40 (의정부동),0,0,37.732627,0,,2018-06-20
의정부시장애인종합복지관,N,6,09시 ~ 19시,경기도 의정부시청,3,0,031-828-2983,경기도 의정부시 민락동 735-17,6,개방화장실,6,127.0922302,0,경기도 의정부시 용민로 160 (민락동),0,0,37.743662,3,,2018-06-20
광진주유소,N,0,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 신곡동 107-4,2,개방화장실,1,127.064326,0,경기도 의정부시 금신로 300 (신곡동),0,0,37.744505,0,,2018-06-20
서원에너지(주유소),N,0,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 자일동 171-1,2,개방화장실,1,127.100347,0,경기도 의정부시 호국로 1844 (자일동),0,0,37.768541,0,,2018-06-20
송산노인종합복지관,N,3,09시 ~ 18시,경기도 의정부시청,3,0,031-828-2983,경기도 의정부시 민락동 736-2,6,개방화장실,9,127.088751,0,경기도 의정부시 용민로 99 (민락동),0,0,37.738877,3,,2018-06-20
미래주유소,N,0,06시 ~ 24시,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 신곡동 351-9,1,개방화장실,2,127.059025,0,경기도 의정부시 동일로 492 (신곡동),0,0,37.732172,0,,2018-06-20
구도일주유소,N,0,07시 ~ 22시,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 신곡동 443-7,2,개방화장실,2,127.0583499,0,경기도 의정부시 시민로 213 (신곡동),0,0,37.736546,0,,2018-06-20
이케이에너지㈜ 바다주유소,N,0,24시간,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 용현동 399-19,2,개방화장실,2,127.075158,0,경기도 의정부시 시민로 367 (용현동),0,0,37.735752,0,,2018-06-20
의정부 청과야채시장,N,0,24시간,경기도 의정부시청,4,0,031-828-2983,경기도 의정부시 의정부동 30-8,8,개방화장실,2,127.052686,0,경기도 의정부시 호국로 1346번길 145 (의정부동),0,0,37.738405,0,,2018-06-20
SK 금오주유소,N,0,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 금오동 106-6,1,개방화장실,1,127.076399,0,경기도 의정부시 호국로 1582 (금오동),0,0,37.754601,0,,2018-06-20
갑오빌딩,N,0,24시간,경기도 의정부시청,3,0,031-828-2983,경기도 의정부시 신곡동 489-5,6,개방화장실,6,127.061602,0,경기도 의정부시 능곡로 56 (신곡동),0,0,37.742531,0,,2018-06-20
의정부 농협 가능 지점,N,0,09시 ~ 18시,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 가능동 726,2,개방화장실,2,127.038111,0,경기도 의정부시 가능로 66 (가능동),0,0,37.746449,0,,2018-06-20
의정부 터미널,N,1,24시간,경기도 의정부시청,10,0,031-828-2983,경기도 의정부시 금오동 369-21,12,개방화장실,7,127.055068,0,경기도 의정부시 동일로 640 (금오동),0,0,37.745125,1,,2018-06-20
하나프라자,N,1,24시간,경기도 의정부시청,3,0,031-828-2983,경기도 의정부시 호원동 51-2,3,개방화장실,5,127.045902,0,경기도 의정부시 외미로 95 (호원동),0,0,37.724433,1,,2018-06-20
석천주유소,N,0,24시간,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 장암동 214-4,3,개방화장실,2,127.054607,0,경기도 의정부시 동일로 110 (장암동),0,0,37.698827,0,,2018-06-20
센트럴타워,N,18,24시간,경기도 의정부시청,92,0,031-828-2983,경기도 의정부시 의정부동 494,144,개방화장실,138,127.044053,0,경기도 의정부시 시민로 80 (의정부동),0,0,37.737919,17,,2018-06-20
예당주유소,N,0,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 의정부동 533-8,1,개방화장실,2,127.035472,0,경기도 의정부시 의정로 10 (의정부동),0,0,37.733726,0,,2018-06-20
신한은행 의정부 금융센터,N,0,09시 ~ 17시,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 의정부동 176-22,2,개방화장실,4,127.048558,0,경기도 의정부시 행복로 8 (의정부동),0,0,37.7393998,0,,2018-06-20
추동배드민턴장,N,1,06시 ~ 22시,경기도 의정부시청,3,0,031-828-2983,경기도 의정부시 신곡동 472-5,5,개방화장실,3,127.062101,0,경기도 의정부시 능곡로26번길 28-40 (신곡동),0,0,37.738334,1,,2018-06-20
SK네트웍스㈜ 동부고속주유소,N,0,24시간,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 신곡동 312-38,2,개방화장실,2,127.063356,0,경기도 의정부시 금신로 91 (신곡동),0,0,37.729121,0,,2018-06-20
송산주유소,N,0,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 용현동 550-4,2,개방화장실,2,127.086519,0,경기도 의정부시 충의로 94 (용현동),0,0,37.740294,0,,2018-06-20
산곡에너지충전소,N,1,24시간,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 산곡동 494-1,2,개방화장실,2,127.104828,0,경기도 의정부시 송산로 950 (산곡동),0,0,37.716477,1,,2018-06-20
㈜강촌엘피지(녹양엘피지) 충전소,N,0,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 호원동 440-1,1,개방화장실,1,127.046982,0,경기도 의정부시 평화로 301 (녹양동),0,0,37.7188096,0,,2018-06-20
럭키할인마트,N,0,24시간,경기도 의정부시청,3,0,031-828-2983,경기도 의정부시 호원동 453-1,5,개방화장실,3,127.047989,0,경기도 의정부시 평화로 238 (호원동),0,0,37.712979,1,,2018-06-20
그린팜마트,N,0,24시간,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 호원동 268-3,2,개방화장실,1,127.033172,0,경기도 의정부시 용민로19번길 6 (용현동),0,0,37.712984,0,,2018-06-20
E1 의정부 충전소,N,0,24시간,경기도 의정부시청,2,0,031-828-2983,경기도 의정부시 신곡동 262-2,1,개방화장실,2,127.064645,0,경기도 의정부시 금신로 54 (신곡동),0,0,37.725875,0,,2018-06-20
명품세차장,N,0,08시 ~ 20시,경기도 의정부시청,1,0,031-828-2983,경기도 의정부시 의정부동 214-77,2,개방화장실,2,127.049844,0,경기도 의정부시 호국로 1309-3 (의정부동),0,0,37.743862,0,,2018-06-20
