화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
금광어린이공원,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 덕계동 425-9,1,공중화장실,2,127.049344,0,,0,0,37.8181154,0,Jan-18,2018-08-06
일영산장,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 장흥면 삼상리 169-5,1,공중화장실,1,126.9361424,0,경기도 양주시 장흥면 유원지로 51,0,0,37.6971797,0,Jan-18,2018-08-06
고읍제2근린공원,N,1,00:00~24:00,경기도 양주시 시설관리공단,2,1,031-828-9737,경기도 양주시 고읍남로 205,5,공중화장실,2,127.0827295,1,경기도 양주시 고읍남로 205 (광사동),1,1,37.792871,1,Jan-18,2018-08-06
장자원B,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 장흥면 삼상리 453-4,1,공중화장실,0,126.9303025,0,,0,0,37.6859953,0,Jan-18,2018-08-06
88보트장,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 장흥면 삼상리 산24-1,1,공중화장실,1,126.9520055,0,,0,0,37.7133238,0,Jan-18,2018-08-06
싱싱자전거 도로,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 장흥면 삼상리 271-6,1,공중화장실,1,126.9315844,0,,0,0,37.6970689,0,Jan-18,2018-08-06
가래비시장,N,1,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 광적면 가납리,1,공중화장실,1,126.9849576,0,,0,0,37.8291958,1,Jan-18,2018-08-06
감악산,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 남면 신암리 산35-2,2,공중화장실,2,126.9609569,0,,0,0,37.908382,0,Jan-18,2018-08-06
신산시장,N,1,00:00~24:00,경기도 양주시 시설관리공단,2,0,031-828-9737,경기도 양주시 남면 신산리 280-4,4,공중화장실,3,126.9743792,0,,0,0,37.896719,1,Jan-18,2018-08-06
신천변A,N,1,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 남면 상수리 115-1,2,공중화장실,1,126.9960172,0,,0,0,37.8710546,1,Jan-18,2018-08-06
신천변C,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 백석읍 오산리 137-6,1,공중화장실,0,126.9917428,0,,0,0,37.8027539,0,Jan-18,2018-08-06
고암 근린공원,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 고암길 200-20,2,공중화장실,1,127.0766182,0,경기도 양주시 고암길 200-20 (고암동),0,0,37.8352825,0,Jan-18,2018-08-06
범양아파트A,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 덕계동 445-6,2,공중화장실,1,127.0500726,0,,0,0,37.820891,0,Jan-18,2018-08-06
범양아파트B,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 덕계동 436-10,2,공중화장실,1,127.0521514,0,,0,0,37.8215018,0,Jan-18,2018-08-06
덕계저수지,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 덕계동 산66-3,1,공중화장실,1,127.0480893,0,,0,0,37.8279182,0,Jan-18,2018-08-06
덕계공원 A,N,1,08:00~17:00,경기도 양주시 시설관리공단,4,0,031-828-9737,경기도 양주시 평화로 1435번길 56,8,공중화장실,5,127.0464836,0,경기도 양주시 평화로1435번길 56 (덕계동),0,0,37.8209455,1,Jan-18,2018-08-06
고읍제4근린공원,N,1,00:00~24:00,경기도 양주시 시설관리공단,2,1,031-828-9737,경기도 양주시 광사동 178-25,5,공중화장실,2,127.0757906,1,,1,1,37.7907853,1,Jan-18,2018-08-06
백석배수지,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 백석읍 방성리 산202-1,2,공중화장실,1,127.000089,0,,0,0,37.7920151,0,Jan-18,2018-08-06
한씨네,N,1,00:00~24:00,경기도 양주시 시설관리공단,3,0,031-828-9737,경기도 양주시 장흥면 유원지로 178,4,공중화장실,4,126.946083,0,경기도 양주시 장흥면 유원지로 178,0,0,37.7016267,1,Jan-94,2018-08-06
청담(봉양),N,1,00:00~24:00,경기도 양주시 시설관리공단,2,0,031-828-9737,경기도 양주시 봉양동 849-1,3,공중화장실,2,127.0597833,0,,0,0,37.865167,1,Jan-18,2018-08-06
청담(덕정),N,0,00:00~24:00,경기도 양주시 시설관리공단,2,0,031-828-9737,경기도 양주시 덕정동 384-8,3,공중화장실,2,127.0576213,0,,0,0,37.8461402,0,Jan-18,2018-08-06
덕계공원 B,N,1,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 평화로 1435번길 56,2,공중화장실,2,127.0464836,0,경기도 양주시 평화로1435번길 56 (덕계동),0,0,37.8209455,1,Jan-18,2018-08-06
도락산,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 은현면 용암리 산60,1,공중화장실,0,127.0415797,0,,0,0,37.8693727,0,Jan-97,2018-08-06
그린랜드,N,1,00:00~24:00,경기도 양주시 시설관리공단,3,0,031-828-9737,경기도 양주시 장흥면 유원지로 279-7,4,공중화장실,4,126.9489473,0,경기도 양주시 장흥면 유원지로 279-7,0,0,37.7079347,1,Jan-94,2018-08-06
신산체육공원,N,1,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 남면 감악산로 244번길 189,2,공중화장실,2,126.9738804,0,경기도 양주시 남면 감악산로244번길 189,0,0,37.8930791,1,Jan-18,2018-08-06
신산 족구장,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 남면 감악산로 244번길 189,1,공중화장실,0,126.9738804,0,경기도 양주시 남면 감악산로244번길 189,0,0,37.8930791,0,Jan-18,2018-08-06
자전거도로,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 장흥면 삼상리469-7,1,공중화장실,1,126.9219685,0,,0,0,37.6872152,0,Jan-18,2018-08-06
곡릉교,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 장흥면 삼하리 248-21,1,공중화장실,1,126.913671,0,,0,0,37.6766859,0,Jan-18,2018-08-06
덕정재래시장,N,1,00:00~24:00,경기도 양주시 시설관리공단,2,0,031-828-9737,경기도 양주시 덕정4길 12,4,공중화장실,4,127.0632317,0,경기도 양주시 덕정4길 12 (덕정동),0,0,37.8434977,1,Jan-18,2018-08-06
덕정제3어린이공원,N,1,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 덕정동 536-1,4,공중화장실,0,127.0695703,1,,1,4,37.8425573,1,Jan-18,2018-08-06
장자원A,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 장흥면 삼상리 458-9,1,공중화장실,1,126.9252002,0,,0,0,37.6867128,0,Jan-18,2018-08-06
이곡교,N,0,00:00~24:00,경기도 양주시 시설관리공단,1,0,031-828-9737,경기도 양주시 장흥면 삼상리 53-3,1,공중화장실,1,126.9397803,0,,0,0,37.699299,0,Jan-18,2018-08-06
봉우 근린공원,N,1,00:00~24:00,경기도 양주시 시설관리공단,0,0,031-828-9737,경기도 양주시 고암길 306-31,2,공중화장실,2,127.067338,0,경기도 양주시 고암길 306-31 (덕정동),0,0,37.8361709,1,Jan-18,2018-08-06
