화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
(재)무궁화공원묘원(입구),N,0,06:00~22:00,(재)무궁화공원묘원,3,0,,경기도 양평군 서종면 도장리산 26번지,5,공중화장실,5,127.3909675,0,경기도 양평군 서종면 도장리산 26번지,0,0,37.61684846,0,,2018-08-01
(재)팔당공원묘원,N,0,06:00~22:00,(재)팔당공원묘원,3,0,,경기도 양평군 양서면 목왕리산 34번지,3,공중화장실,5,127.3950875,0,경기도 양평군 양서면 목왕리산 34번지,0,0,37.56232142,0,,2018-08-01
(주)대명레져산업양평지점,N,0,09:00~18:00,(주)대명레져산업양평지점,3,0,,경기도 양평군 개군면 공세리389번지 7호,2,공중화장실,3,127.5326578,0,경기도 양평군 개군면 신내길7번길 55,0,0,37.46923445,0,,2018-08-01
(주)대명레져산업양평지점,N,0,09:00~18:00,(주)대명레져산업양평지점,8,0,,경기도 양평군 지평면 월산리582번지,6,공중화장실,9,127.5326578,0,경기도 양평군 개군면 신내길7번길 55,0,0,37.46923445,0,,2018-08-01
(주)미리내,N,0,06:00~22:00,(주)미리내,16,0,,경기도 양평군 양평읍 백안리333번지,16,공중화장실,18,127.6515356,0,경기도 양평군 지평면 월산리582번지,0,0,37.47949035,0,,2018-08-01
(주)지엔에스 백안충전소,N,0,연중무휴,지엔에스 백안충전소,2,0,,경기도 양평군 양평읍 창대리 274-13,2,공중화장실,1,127.5263702,0,경기도 양평군 양평읍 경강로 2244,0,0,37.49467079,0,,2018-08-01
OK주유소(늘푸른),N,0,09:00~18:00,OK주유소,1,0,,경기도 양평군 양평읍 창대리 749-4,1,공중화장실,2,127.4804696,0,경기도 양평군 강상면 강남로 938,0,0,37.48634654,0,,2018-08-01
SK성원주유소,N,0,07:00~22:00,SK성원주유소,1,0,,경기도 양평군 강상면 신화리251번지,1,공중화장실,3,127.351069,0,경기도 양평군 서종면 북한강로 888,0,0,37.61647656,0,,2018-08-01
SK승리주유소,N,0,연중무휴,SK승리주유소,1,0,,경기도 양평군 용문면 다문리452번지 7호,1,공중화장실,1,127.457151,0,경기도 양평군 양평읍 경강로 1580,0,0,37.50499245,0,,2018-08-01
SK에너지투엔충전소,N,0,07:00~22:00,SK에너지투엔충전소,1,0,,경기도 양평군 용문면 다문리산 25번지,2,개방화장실,2,127.5263702,0,경기도 양평군 양평읍 경강로 2244,0,0,37.49467079,0,,2018-08-01
TPC우성주유소,Y,0,연중무휴,우성주유소,1,0,,경기도 양평군 용문면 다문리산 25번지,2,개방화장실,3,127.5357543,0,경기도 양평군 개군면 개군로 314,0,0,37.4412245,0,,2018-08-01
갈산산책로(끝),N,0,07:00~22:00,양평읍,1,0,031-772-1024,경기도 양평군 용문면 다문리산 25번지,3,공중화장실,3,127.4985804,0,경기도 양평군 양평읍 창대리 274-13,0,0,37.47301599,0,,2018-08-01
갈산산책로(중간),N,0,연중무휴,양평읍,3,0,031-772-1024,경기도 양평군 용문면 다문리산 25번지,6,공중화장실,3,127.496649,0,경기도 양평군 양평읍 창대리 749-4,0,0,37.48249904,0,,2018-08-01
강가주유소,N,0,09:00~18:00,강가주유소,2,0,,경기도 양평군 용문면 다문리산 25번지,2,개방화장실,3,127.4638289,0,경기도 양평군 양평읍 경강로 1638,0,0,37.50437897,0,,2018-08-01
강상면사무소,N,1,09:00~18:00,강상면,2,0,,경기도 양평군 용문면 다문리산 25번지,3,공중화장실,3,127.4854804,0,경기도 양평군 강상면 신화길 10,0,0,37.47720433,0,,2018-08-01
강상우체국,Y,0,08:00~21:00,강상우체국,1,0,,경기도 양평군 용문면 다문리산 25번지,1,공중화장실,1,127.4852074,0,경기도 양평군 강상면 양평대교길 87,0,0,37.48255019,0,,2018-08-01
강상주유소,Y,0,07:00~22:00,강상주유소,1,0,,경기도 양평군 용문면 다문리산 25번지,1,공중화장실,1,127.458497,0,경기도 양평군 강상면 강남로 709,0,0,37.49576822,0,,2018-08-01
강상체육공원,N,0,07:00~22:00,강상면,4,0,,경기도 양평군 용문면 다문리산 25번지,14,공중화장실,12,127.485949,0,경기도 양평군 강상면 양평대교길 79,0,0,37.48323551,0,,2018-08-01
강상체육공원 위 산책로,N,0,07:00~22:00,강상면,1,0,,경기도 양평군 용문면 다문리산 25번지,2,공중화장실,0,127.485949,0,경기도 양평군 강상면 양평대교길 79,0,0,37.48323551,0,,2018-08-01
강상초등학교,N,0,09:00~18:00,강상초등학교,4,0,,경기도 양평군 용문면 다문리산 25번지,10,공중화장실,6,127.4792179,0,경기도 양평군 강상면 신화리251번지,0,0,37.47377366,0,Jan-84,2018-08-01
강하면사무소1층,N,0,연중무휴,강하면,2,0,,경기도 양평군 용문면 다문리산 25번지,2,개방화장실,3,127.4104507,0,경기도 양평군 강하면 운심길 40-8,0,0,37.49497184,1,,2018-08-01
강하면사무소2층,N,0,연중무휴,강하면,1,0,,경기도 양평군 지평면 곡수리387번지 1호,1,개방화장실,1,127.4104507,0,경기도 양평군 강하면 운심길 40-8,0,0,37.49497184,0,,2018-08-01
강하보건지소,N,0,06:00~22:00,양평군 보건소,1,0,,경기도 양평군 용문면 광탄리434번지,2,공중화장실,2,127.4108491,0,경기도 양평군 강하면 운심길 44,0,0,37.49585344,0,,2018-08-01
강하우체국,Y,0,08:00~18:00,강하우체국,0,0,,경기도 양평군 용문면 광탄리74번지 6호,0,개방화장실,1,127.4108103,0,경기도 양평군 강하면 운심길 41,0,0,37.49621397,0,,2018-08-01
강하주유소,N,0,08:00~18:00,강하주유소,2,0,,경기도 양평군 양동면 쌍학리223번지 2호,2,개방화장실,2,127.4178489,0,경기도 양평군 강하면 강남로 289,0,0,37.50033028,0,,2018-08-01
강하체육공원(테니스장),N,0,연중무휴,강하면,1,0,,경기도 양평군 양평읍 양근리221번지 6호,3,개방화장실,2,127.4163458,0,경기도 양평군 강하면 사호3길 45,0,0,37.49438538,0,,2018-08-01
강하파출소,Y,0,09:00~18:00,강하파출소,1,0,,경기도 양평군 서종면 수입리887번지,1,개방화장실,1,127.4112065,0,경기도 양평군 강하면 운심길 46,0,0,37.49587021,0,,2018-08-01
개군119지역대,Y,0,연중무휴,개군119지역대,0,0,,경기도 양평군 양평읍 양근리234번지,2,개방화장실,2,127.5424819,0,경기도 양평군 개군면 추읍로 39,0,0,37.42832745,0,,2018-08-01
개군농협주유소,N,0,연중무휴,개군농협주유소,2,0,,경기도 양평군 서종면 노문리529번지,2,개방화장실,2,127.5387565,0,경기도 양평군 개군면 여양로 2215,0,0,37.42244109,0,,2018-08-01
개군레포츠공원,N,0,연중무휴,개군면,2,0,,경기도 양평군 서종면 노문리514번지,7,공중화장실,5,127.5301614,0,경기도 양평군 개군면 자진개1길 84,0,0,37.43522379,0,,2018-08-01
개군면복지회관,N,0,연중무휴,개군면,2,0,,경기도 양평군 청운면 다대리84번지,2,개방화장실,2,127.5422415,0,경기도 양평군 개군면 추읍로 37,0,0,37.42821683,0,,2018-08-01
개군면사무소,N,0,연중무휴,개군면사무소,2,0,,경기도 양평군 단월면 보룡리산 11,2,개방화장실,2,127.5367981,0,경기도 양평군 개군면 하자포길33번길 8,0,0,37.42598916,0,,2018-08-01
개군보건지소,N,0,연중무휴,개군보건지소,1,0,,경기도 양평군 단월면 보룡리산 11,2,공중화장실,2,127.5374712,0,경기도 양평군 개군면 하자포길 31-4,0,0,37.42596447,0,,2018-08-01
개군우체국,Y,0,연중무휴,개군우체국,1,0,,경기도 양평군 단월면 보룡리395번지 13호,1,개방화장실,1,127.5377254,0,경기도 양평군 개군면 하자포길 33,0,0,37.4261255,0,,2018-08-01
개군파출소,Y,0,연중무휴,개군파출소,0,0,,경기도 양평군 용문면 다문리787번지 3호,1,개방화장실,1,127.537937,0,경기도 양평군 개군면 하자포길 25,0,0,37.4253785,0,,2018-08-01
경기도학생양평야영장,N,0,08:00~18:00,양평군,4,0,,경기도 양평군 강상면 병산리1072번지,9,공중화장실,8,127.5740056,0,경기도 양평군 용문면 다문점말5길 12-33,0,0,37.49722761,3,,2018-08-01
