화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
여주종합터미널,N,2,24시간,성일종합건설(주),7,1,,,9,공중화장실,4,127.6356013,0,경기도 여주시 세종로 85 (홍문동),0,0,37.29034723,2,Jul-92,2018-08-20
남강주유소,N,0,영업시간개방,개인(송삼익),2,1,,,2,공중화장실,1,127.5624599,0,경기도 여주시 가남읍 경충대로 1040,0,0,37.18766432,0,17-Jun,2018-08-20
금강웰빙주유소,N,0,영업시간개방,개인(이정균),1,0,,,1,공중화장실,1,127.5483851,0,경기도 여주시 가남읍 경충대로 1219,0,0,37.1980202,0,17-Jan,2018-08-20
노인복지회관,N,2,24시간,경기도 여주시청,2,1,031-887-2605,경기도 여주시 상동 35-2,3,공중화장실,2,127.6512575,0,경기도 여주시 상동 35-2,0,0,37.29020806,2,17-Nov,2018-08-20
도자진흥재단하단입구옆,N,1,24시간,경기도청,12,1,,,12,공중화장실,4,127.6545464,0,경기도 여주시 신륵사길 7  (천송동),0,0,37.30014441,2,17-Sep,2018-08-20
대영LPG충전소,N,0,영업시간개방,개인(박병환),2,0,,,2,공중화장실,2,127.5422107,0,경기도 여주시 가남읍 경충대로 1331,0,0,37.20656886,0,17-Jan,2018-08-20
삼교주유소,N,0,영업시간개방,개인(임채영),2,0,,,2,공중화장실,1,127.6547922,0,경기도 여주시 장여로 1596  (삼교동),0,0,37.2399942,0,Jan-00,2018-08-20
원창주유소,N,0,영업시간개방,개인(김봉식),1,0,,,1,공중화장실,1,127.6621198,0,경기도 여주시 점동면 청안로 1,0,0,37.19487297,0,17-Oct,2018-08-20
명승메디칼빌딩,N,0,영업시간개방,개인(김익찬),11,1,,,12,공중화장실,5,127.6355733,0,경기도 여주시 세종로 73  (홍문동),0,0,37.29130968,1,17-Jul,2018-08-20
여주산림조합,N,1,영업시간개방,여주시산림조합,2,1,,,2,공중화장실,2,127.6301566,0,경기도 여주시 청심로 88  (하동),0,0,37.29953434,0,Jul-97,2018-08-20
여주휴계소(상행선),N,1,24시간,한국도로공사,23,1,,경기도 여주시 가남읍 본두리677번지,40,공중화장실,13,127.5717339,1,경기도 여주시 가남읍 본두리677번지,1,1,37.23884213,1,Sep-88,2018-08-20
문장휴게소,N,0,영업시간개방,개인(진익삼),1,1,,,3,공중화장실,3,127.5168196,0,경기도 여주시 흥천면 이여로 928,0,0,37.36354793,0,Jan-90,2018-08-20
롯데리아(여주점),N,0,영업시간개방,롯데리아여주점,1,0,,,2,공중화장실,1,127.6369378,0,경기도 여주시 세종로 21  (홍문동),0,0,37.2958471,0,May-99,2018-08-20
보문석유,N,0,영업시간개방,개인(윤삼호),1,0,,,1,공중화장실,1,127.6501993,0,경기도 여주시 여양로 208  (천송동),0,0,37.30142259,0,Dec-95,2018-08-20
삼원에너지능서충전소,N,0,영업시간개방,삼원에너지능서충전소(김순길),3,0,,,2,공중화장실,2,127.546846,0,경기도 여주시 능서면 중부대로 2171,0,0,37.29684187,0,17-Apr,2018-08-20
신성주유소,N,0,영업시간개방,개인,1,0,,,1,공중화장실,1,127.6032109,0,경기도 여주시 대신면 여양로 1233,0,0,37.3668835,0,Nov-94,2018-08-20
초현주유소,N,0,영업시간개방,개인(고근식),1,0,,,1,공중화장실,1,127.6046837,0,경기도 여주시 대신면 대신1로 186,0,0,37.38890751,0,Dec-92,2018-08-20
계림주유소,N,0,영업시간개방,개인,2,0,,경기도 여주시 대신면 132번지 1호,1,공중화장실,1,127.6285639,0,경기도 여주시 대신면 132번지 1호,0,0,37.34665528,0,Sep-93,2018-08-20
경기주유소,N,0,영업시간개방,개인(신동섭),0,0,,,0,공중화장실,0,127.5725861,0,경기도 여주시 대신면 여양1로 268,0,0,37.41193851,0,17-Feb,2018-08-20
예솔주유소,N,0,영업시간개방,개인(신동수),2,0,,,1,공중화장실,1,127.5561753,0,경기도 여주시 대신면 여양1로 104,0,0,37.4069676,0,May-93,2018-08-20
홍원막국수,N,0,영업시간개방,개인(이홍순),9,0,,,7,공중화장실,4,127.5473825,0,경기도 여주시 대신면 여양1로 14,0,0,37.40311988,1,Apr-95,2018-08-20
내산주유소,N,0,영업시간개방,개인(김선화),2,0,,,2,공중화장실,2,127.5667375,0,경기도 여주시 대신면 여양로 1678,0,0,37.38227661,0,Oct-93,2018-08-20
가산주유소,N,0,영업시간개방,개인(노성민),0,0,,,0,공중화장실,0,127.6197464,0,경기도 여주시 대신면 여양로 921,0,0,37.34487814,0,Jun-91,2018-08-20
강남주유소,N,0,영업시간개방,개인(정진원),3,0,,,1,공중화장실,1,127.6425072,0,경기도 여주시 대신면 여양로 681,0,0,37.33855413,0,May-94,2018-08-20
오학주유소,N,0,영업시간개방,개인(권영길),0,0,,경기도 여주시 오학동 100번지 6호,0,공중화장실,0,127.6438406,0,경기도 여주시 오학동 100번지 6호,0,0,37.31813343,0,Jul-00,2018-08-20
신륵사관광안내소옆화장실,N,1,24시간,경기도 여주시청,9,1,,경기도 여주시 천송동 290,6,공중화장실,5,127.6549489,0,경기도 여주시 천송동 290,0,0,37.29974213,1,Jan-90,2018-08-20
신륵사대형주차장화장실,N,1,24시간,경기도 여주시청,12,1,,경기도 여주시 천송동 545-7,6,공중화장실,4,127.6538419,0,경기도 여주시 천송동 545-7,0,0,37.29954282,1,Jan-90,2018-08-20
신륵사상가화장실,N,1,24시간,경기도 여주시청,6,1,,경기도 여주시 천송동 289-6,4,공중화장실,2,127.6551151,0,경기도 여주시 천송동 289-6,0,0,37.29809775,1,Jan-90,2018-08-20
신륵사공원화장실,N,1,24시간,경기도 여주시청,5,1,,경기도 여주시 천송동 288-57,4,공중화장실,2,127.6561169,0,경기도 여주시 천송동 288-57,0,0,37.29760204,1,Jan-90,2018-08-20
신접주유소,N,0,영업시간개방,개인(이종구),0,0,,,0,공중화장실,0,127.6950491,0,경기도 여주시 북내면 당전로 153,0,0,37.33281138,0,Jul-96,2018-08-20
석봉주유소,N,0,영업시간개방,개인(임병길),1,0,,,2,공중화장실,1,127.6693964,0,경기도 여주시 북내면 여양2로 567,0,0,37.35181933,0,Apr-91,2018-08-20
여강주유소,N,0,영업시간개방,개인,2,0,,,1,공중화장실,1,127.67614,0,경기도 여주시 북내면 여양2로 170,0,0,37.31895521,0,Jul-92,2018-08-20
이호나루주유소,N,0,영업시간개방,개인(박영호),2,0,,,1,공중화장실,1,127.6832682,0,경기도 여주시 강천면 강문로 239,0,0,37.28834449,0,Sep-90,2018-08-20
강천주유소,N,0,영업시간개방,개인(이성수),1,0,,경기도 여주시 강천면 간매리 129-1,1,공중화장실,1,127.702807,0,경기도 여주시 강천면 간매리 129-1,0,0,37.27989024,0,Aug-92,2018-08-20
남송주유소,N,0,영업시간개방,개인(이규래),2,0,,,2,공중화장실,4,127.6386948,0,경기도 여주시 세종로 366  (점봉동점봉3리),0,0,37.26567854,0,Sep-96,2018-08-20
SK주유소,N,0,영업시간개방,개인(이정균),1,0,,,1,공중화장실,1,127.5483851,0,경기도 여주시 가남읍 경충대로 1219,0,0,37.1980202,0,17-Dec,2018-08-20
이천주유소,N,0,영업시간개방,개인(정춘석),3,0,,,1,공중화장실,2,127.5340474,0,경기도 여주시 가남읍 경충대로 1477,0,0,37.21509734,0,Nov-93,2018-08-20
신해주유소,N,0,영업시간개방,개인(이선재),0,0,,,0,공중화장실,0,127.5313161,0,경기도 여주시 가남읍 경충대로 1520,0,0,37.21825606,0,May-97,2018-08-20
태방주유소,N,0,영업시간개방,개인(최종순),2,0,,,1,공중화장실,1,127.533538,0,경기도 여주시 가남읍 경충대로 1490,0,0,37.21635028,0,Nov-98,2018-08-20
태평주유소,N,0,영업시간개방,개인(최창열),0,0,,,0,공중화장실,0,127.5425148,0,경기도 여주시 가남읍 경충대로 1350,0,0,37.20813168,0,Dec-78,2018-08-20
동명주유소,N,0,영업시간개방,개인(임승복),2,0,,,2,공중화장실,2,127.5529881,0,경기도 여주시 가남읍 경충대로 1162-5,0,0,37.19533893,0,17-Nov,2018-08-20
세경주유소,N,0,영업시간개방,석미개발,0,0,,,0,공중화장실,0,127.5568016,0,경기도 여주시 가남읍 경충대로 1130,0,0,37.19438399,0,Feb-94,2018-08-20
남강주유소,N,0,영업시간개방,개인(송삼익),0,0,,,0,공중화장실,0,127.5624599,0,경기도 여주시 가남읍 경충대로 1040,0,0,37.18766432,0,17-Jun,2018-08-20
은봉주유소,N,0,영업시간개방,개인(김종학),2,0,,,1,공중화장실,1,127.5635964,0,경기도 여주시 가남읍 경충대로 980,0,0,37.18238602,0,Jul-91,2018-08-20
혜진주유소,N,0,영업시간개방,개인(문지권),2,0,,,0,공중화장실,2,127.556496,0,경기도 여주시 가남읍 여주남로 1099,0,0,37.21166737,0,Mar-92,2018-08-20
덕평주유소,N,0,영업시간개방,개인(허용),1,0,,,1,공중화장실,1,127.6621366,0,경기도 여주시 점동면 장여로 931,0,0,37.18389103,0,Dec-86,2018-08-20
원창주유소,N,0,영업시간개방,개인,1,0,,,1,공중화장실,1,127.6621198,0,경기도 여주시 점동면 청안로 1,0,0,37.19487297,0,17-Oct,2018-08-20
봉진막국수,N,0,영업시간개방,개인(노태유),4,1,,,4,공중화장실,1,127.5492123,0,경기도 여주시 대신면 천서리길 28,0,0,37.40314023,0,Jan-90,2018-08-20
상품주유소(구 영일주유소),N,0,영업시간개방,개인(김범희),0,0,,,0,공중화장실,0,127.4278518,0,경기도 여주시 산북면 광여로 1069,0,0,37.39578482,0,Aug-99,2018-08-20
이포주유소,N,0,영업시간개방,개인(윤원상),0,0,,,0,공중화장실,0,127.5321154,0,경기도 여주시 금사면 이포로 3,0,0,37.39073399,0,Sep-89,2018-08-20
이포나루주유소,N,0,영업시간개방,개인(이종관),0,0,,,0,공중화장실,0,127.5262864,0,경기도 여주시 금사면 이여로 1197,0,0,37.38524948,0,Nov-97,2018-08-20
문장주유소,N,0,영업시간개방,개인(홍문대),2,0,,,1,공중화장실,1,127.5166938,0,경기도 여주시 흥천면 이여로 924,0,0,37.36297182,0,Feb-94,2018-08-20
외사주유소,N,0,영업시간개방,법인(현대오일뱅크),0,0,,,0,공중화장실,0,127.5014323,0,경기도 여주시 흥천면 이여로 742,0,0,37.35351554,0,Jan-91,2018-08-20
태양주유소,N,0,영업시간개방,개인(전태순),2,0,,,2,공중화장실,1,127.5261935,0,경기도 여주시 흥천면 흥천로 634,0,0,37.34091265,0,Nov-96,2018-08-20
흥천주유소,N,0,영업시간개방,개인,1,0,,,1,공중화장실,0,127.5479166,0,경기도 여주시 흥천면 효자로 87,0,0,37.32998738,0,Sep-90,2018-08-20
