화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
복지센터(노인 청소년),N,4,09:00~18:00,용인도시공사,27,0,031-324-3369,경기도 용인시 처인구 삼가동 556번지,44,공중화장실,35,127.1779688,0,경기도 용인시 처인구 중부대로 1199,0,0,37.240867,5,,2017-02-20
수지구청,N,6,09:00~18:00,수지구 자치행정과,11,0,031-324-8044,경기도 용인시 수지구 풍덕천동 720번지,24,공중화장실,0,127.0974471,0,경기도 용인시 수지구 포은대로 435,0,0,37.3222236,6,,2017-02-20
풍덕천2동주민센터,N,0,09:00~18:00,풍덕천2동주민센터,6,0,031-324-8622,경기도 용인시 수지구 풍덕천동 1051-2번지,9,공중화장실,0,127.0887791,0,경기도 용인시 수지구 풍덕천로 51,0,0,37.3194624,0,,2017-02-20
죽전2동주민센터,N,3,09:00~18:00,죽전2동주민센터,6,0,031-324-8682,경기도 용인시 수지구 죽전동 1003-229번지,24,공중화장실,0,127.1067309,3,경기도 용인시 수지구 포은대로 523,0,0,37.3259098,3,,2017-02-20
상현2동주민센터,N,3,09:00~18:00,상현2동주민센터,6,0,031-324-8757,경기도 용인시 수지구 상현동 57-1번지,13,공중화장실,0,127.0872271,0,경기도 용인시 수지구 만현로 48,0,0,37.3119706,3,,2017-02-20
수지복지센터,N,6,09:00~18:00,수지복지센터,7,0,031-270-0000,경기도 용인시 수지구 풍덕천동 720번지,7,공중화장실,0,127.0974471,0,경기도 용인시 수지구 포은대로 435,0,0,37.3222236,8,,2017-02-20
시민체육센터 축구장화장실,N,1,07:00~22:00,용인도시공사,1,0,031-323-5212,경기도 용인시 처인구 포곡읍 금어리 405-1번지,4,공중화장실,0,127.245795,0,경기도 용인시 처인구 포곡읍 금어로 317,0,0,37.2763836,1,,2017-02-20
용인시청,N,20,09:00~18:00,용인도시공사,69,0,031-324-3369,경기도 용인시 처인구 삼가동 556번지,71,공중화장실,89,127.1779688,0,경기도 용인시 처인구 중부대로 1199,16,3,37.240867,20,,2017-02-20
수지레스피아 실내배드민턴장 화장실,N,1,10:00~22:00,체육진흥과,1,0,031-324-2254,경기도 용인시 수지구 죽전동 1003-586번지,2,공중화장실,2,127.1047628,0,경기도 용인시 수지구 포은대로 499,0,0,37.3256196,1,,2017-02-20
용인평온의숲(나래원_화장장),N,2,00:00~24:00,용인도시공사,8,1,031-329-5906,경기도 용인시 처인구 이동면 어비리 산11번지,18,공중화장실,12,127.2225338,0,경기도 용인시 처인구 이동면 평온의숲로 77,0,0,37.1190377,2,,2017-02-20
