화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
천주암 등산 도로변,N,0,연중무휴,경상남도 창원시청,2,0,055-212-4524,경상남도 창원시 의창구 동정동 133,2,공중화장실,2,128.614129,0,경상남도 창원시 의창구 동정동 133,0,0,35.269512,0,Jan-14,2018-01-01
천주운동장,N,0,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 소계동 422-1,1,공중화장실,1,128.602721,0,경상남도 창원시 의창구 소계동 422-1,0,0,35.261816,0,Jan-95,2018-01-01
관음사 입구,N,0,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 동정동 산30-4,2,공중화장실,1,128.612835,0,경상남도 창원시 의창구 동정동 산30-4,0,0,35.269236,0,Jan-06,2018-01-01
시내버스 회차지,N,0,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 소계동 401,2,공중화장실,1,128.603174,0,경상남도 창원시 의창구 소계동 401,0,0,35.258679,0,Jan-10,2018-01-01
소계체육공원,N,0,연중무휴,경상남도 창원시청,2,0,055-212-4524,경상남도 창원시 의창구 소계동 778,4,공중화장실,2,128.59518,0,경상남도 창원시 의창구 소계동 778,0,0,35.260442,0,Jan-08,2018-01-01
팔용 어울림운동장,N,1,연중무휴,경상남도 창원시청,2,0,055-212-4524,경상남도 창원시 의창구 팔용동 42-2,3,공중화장실,3,128.619332,0,경상남도 창원시 의창구 팔용동 42-2,0,0,35.250766,1,Jan-08,2018-01-01
팔용산 등산로입구,N,0,연중무휴,경상남도 창원시청,2,0,055-212-4524,경상남도 창원시 의창구 팔용동 35-2,2,공중화장실,2,128.611597,0,경상남도 창원시 의창구 팔용동 35-2,0,0,35.248318,0,Jan-13,2018-01-01
팔용시장 안,N,1,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 팔용동 503-4,2,공중화장실,2,128.620818,0,경상남도 창원시 의창구 팔용동 503-4,0,0,35.247534,1,Jan-11,2018-01-01
도계동 체육공원,N,0,연중무휴,경상남도 창원시청,2,0,055-212-4524,경상남도 창원시 의창구 도계동 389,4,공중화장실,2,128.642143,0,경상남도 창원시 의창구 도계동 389,0,0,35.258033,0,Jan-06,2018-01-01
명서 주민운동장,N,0,연중무휴,경상남도 창원시청,2,0,055-212-4524,경상남도 창원시 의창구 명서동 300,3,공중화장실,2,128.638368,0,경상남도 창원시 의창구 명서동 300,0,0,35.242945,0,Jan-04,2018-01-01
봉림주구운동장,N,0,연중무휴,경상남도 창원시청,2,0,055-212-4524,경상남도 창원시 의창구 봉곡동 57,2,공중화장실,2,128.678359,0,경상남도 창원시 의창구 봉곡동 57,0,0,35.250514,0,Jan-93,2018-01-01
봉림사 입구,N,1,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 봉림동 산139-1,2,공중화장실,2,128.675565,0,경상남도 창원시 의창구 봉림동 산139-1,0,0,35.251351,0,Jan-05,2018-01-01
사림운동장,N,0,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 사림동 120,2,공중화장실,2,128.68271,0,경상남도 창원시 의창구 사림동 120,0,0,35.248288,0,Jan-96,2018-01-01
창원사격장 등산로,N,1,연중무휴,경상남도 창원시청,0,0,055-212-4524,경상남도 창원시 의창구 퇴촌동 409-1,2,공중화장실,2,128.684921,0,경상남도 창원시 의창구 퇴촌동 409-1,0,0,35.250441,1,Jan-12,2018-01-01
정병산 등산로,N,0,연중무휴,경상남도 창원시청,2,0,055-212-4524,경상남도 창원시 의창구 퇴촌동 산24-2,2,공중화장실,1,128.6871,0,경상남도 창원시 의창구 퇴촌동 산24-2,0,0,35.25411,0,Jan-17,2018-01-01
토월약수터,N,0,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 용동 산164-1,1,공중화장실,1,128.695833,0,경상남도 창원시 의창구 용동 산164-1,0,0,35.233506,0,Jan-02,2018-01-01
용추계곡 길상사 입구,N,0,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 용동 산32-12,2,공중화장실,1,128.703589,0,경상남도 창원시 의창구 용동 산32-12,0,0,35.242952,0,Jan-02,2018-01-01
용추계곡 내,N,0,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 용동 산61,2,공중화장실,1,128.710368,0,경상남도 창원시 의창구 용동 산61,0,0,35.243834,0,Jan-05,2018-01-01
용호운동장,N,0,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 용호동 61,2,공중화장실,3,128.680721,0,경상남도 창원시 의창구 용호동 61,0,0,35.235953,0,Jan-93,2018-01-01
용호 자연학습원,N,0,연중무휴,경상남도 창원시청,1,0,055-212-4524,경상남도 창원시 의창구 용호동 62-3,2,공중화장실,1,128.682729,0,경상남도 창원시 의창구 용호동 62-3,0,0,35.234595,0,Jan-94,2018-01-01
신월운동장,N,0,연중무휴,경상남도 창원시청,2,0,055-212-4524,경상남도 창원시 의창구 신월동 34,2,공중화장실,2,128.692221,0,경상남도 창원시 의창구 신월동 34,0,0,35.230071,0,Jan-93,2018-01-01
반지 어울림운동장,N,0,연중무휴,경상남도 창원시청,2,0,055-272-4573,경상남도 창원시 성산구 반지동 99,3,공중화장실,2,128.664306,0,경상남도 창원시 성산구 원이대로331번길 48(반지동),0,0,35.242356,0,,2018-01-01
중앙동 어린이공원,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 중앙동 34-1,1,공중화장실,1,128.674696,0,경상남도 창원시 성산구 외동반림로54번길 13-14(중앙동),0,0,35.224468,0,,2018-01-01
상남동 어린이공원,N,0,연중무휴,경상남도 창원시청,2,0,055-272-4573,경상남도 창원시 성산구 상남동 42-1,3,공중화장실,1,128.685896,0,경상남도 창원시 성산구 상남동 42-1,0,0,35.220223,0,,2018-01-01
중앙체육공원,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 상남동 45-2,2,공중화장실,1,128.691394,0,경상남도 창원시 성산구 상남동 45-2,0,0,35.215024,0,,2018-01-01
사파정병운동장,N,0,연중무휴,경상남도 창원시청,2,0,055-272-4573,경상남도 창원시 성산구 사파동 110,3,공중화장실,3,128.698827,0,경상남도 창원시 성산구 사파동 110,0,0,35.220036,0,,2018-01-01
비음산 구름다리입구,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 토월동 20,1,공중화장실,1,128.707073,0,경상남도 창원시 성산구 토월동 20,0,0,35.231058,0,,2018-01-01
비음산 포곡쉼터,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 사파정동 산 21,1,공중화장실,1,128.713923,0,경상남도 창원시 성산구 사파정동 산 21,0,0,35.219962,0,,2018-01-01
대방동 체육공원,N,0,연중무휴,경상남도 창원시청,2,0,055-272-4573,경상남도 창원시 성산구 대방동 250-1,4,공중화장실,2,128.710532,0,경상남도 창원시 성산구 대방동 250-1,0,0,35.217323,0,,2018-01-01
대암산 등산로 입구,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 대방동 1128-3,2,공중화장실,1,128.712961,0,경상남도 창원시 성산구 대방동 1128-3,0,0,35.206154,0,,2018-01-01
불곡사 앞,N,0,연중무휴,경상남도 창원시청,2,0,055-272-4573,경상남도 창원시 성산구 대방동 1033-1,3,공중화장실,2,128.701902,0,경상남도 창원시 성산구 대방동 1033-1,0,0,35.215516,0,,2018-01-01
불곡사 옆 체육공원,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 대방동 1048-4,2,공중화장실,1,128.699596,0,경상남도 창원시 성산구 대방동 1048-4,0,0,35.214073,0,,2018-01-01
남양 열린운동장,N,1,연중무휴,경상남도 창원시청,1,1,055-272-4573,경상남도 창원시 성산구 남양동 37,2,공중화장실,3,128.705228,0,경상남도 창원시 성산구 창이대로 888(남양동),0,0,35.206325,1,,2018-01-01
불모산 그린공원,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 불모산동 산 56-1,2,공중화장실,2,128.729257,0,경상남도 창원시 성산구 불모산동 산 56-1,0,0,35.188727,0,,2018-01-01
성주사 입구,N,1,연중무휴,경상남도 창원시청,1,1,055-272-4573,경상남도 창원시 성산구 천선동 148-2,2,공중화장실,3,128.715929,0,경상남도 창원시 성산구 천선동 148-2,0,0,35.177285,1,,2018-01-01
불모산 저수지,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 불모산동 218,1,공중화장실,1,128.725133,0,경상남도 창원시 성산구 불모산동 218,0,0,35.187611,0,,2018-01-01
불모산 등산로 입구,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 불모산동 68,1,공중화장실,0,128.729257,0,경상남도 창원시 성산구 불모산동 68,0,0,35.188727,0,,2018-01-01
성주 주구운동장,N,1,연중무휴,경상남도 창원시청,1,1,055-272-4573,경상남도 창원시 성산구 천선동 1216,3,공중화장실,2,128.697901,0,경상남도 창원시 성산구 천선동 1216,0,0,35.183186,1,,2018-01-01
안민동 체육공원,N,0,연중무휴,경상남도 창원시청,1,0,055-272-4573,경상남도 창원시 성산구 안민동 631-1,1,공중화장실,2,128.688788,0,경상남도 창원시 성산구 안민로 118-84(안민동),0,0,35.182555,0,,2018-01-01
