화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
법동물양장,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 법동리 507-1,1,간이화장실,1,128.5202159,0,,0,0,34.82111384,0,10-Dec,2018-08-06
고당선착장,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 법동리 626-6,1,간이화장실,1,128.5266639,0,,0,0,34.8322344,0,12-Dec,2018-08-06
아지랑물양장(1),N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 법동리 1086-8,1,간이화장실,1,128.5174828,0,,0,0,34.81081907,0,09-Dec,2018-08-06
아지랑물양장(2),N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 법동리 1073-3,1,간이화장실,1,128.518111,0,,0,0,34.81146738,0,12-Dec,2018-08-06
죽림물양장,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 오수리 1084-17,1,간이화장실,1,128.5789303,0,,0,0,34.84255562,0,Dec-00,2018-08-06
실리마을,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 법동리 84-11,1,간이화장실,1,128.5404065,0,,0,0,34.80713849,0,13-Dec,2018-08-06
거제옥산숲,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 옥산리 405,1,간이화장실,1,128.5741378,0,,0,0,34.87079195,0,04-Dec,2018-08-06
외간체육공원,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 외간리 산31,0,간이화장실,1,128.5689054,0,,0,0,34.86246682,0,09-Dec,2018-08-06
옥산금성,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 서상리 산23,1,간이화장실,1,128.5990246,0,,0,0,34.85505884,0,Dec-98,2018-08-06
동네체육공원,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 거제면 동상리 402,1,간이화장실,1,128.5935446,0,,0,0,34.85210608,0,07-Dec,2018-08-06
분수공원,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 고현동 888-3,1,간이화장실,1,128.6156629,0,,0,0,34.88823302,0,12-Dec,2018-08-06
신현제1근린공원,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 고현동 968-1,1,간이화장실,1,128.6195717,0,,0,0,34.88966269,0,13-Dec,2018-08-06
계룡산임도1(거제공고 위),N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 고현동 산60-25,1,간이화장실,1,128.6129046,0,,0,0,34.88298818,0,Dec-00,2018-08-06
계룡산임도2(약수터 앞),N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 고현동 산83-23,1,간이화장실,1,128.6142464,0,,0,0,34.87263092,0,16-Dec,2018-08-06
쌍근마을,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 남부면 탑포리 539-3,1,간이화장실,1,128.5848568,0,,0,0,34.76432214,0,10-Dec,2018-08-06
저구소공원,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 남부면 저구리 201,1,간이화장실,1,128.6064493,0,,0,0,34.73536709,0,11-Dec,2018-08-06
홍포망산등산로,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 남부면 저구리 산 90-448,1,간이화장실,1,128.5997368,0,,0,0,34.7083876,0,07-Dec,2018-08-06
저구망산등산로,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 남부면 저구리 산133,1,간이화장실,1,128.6137383,0,,0,0,34.7297692,0,14-Dec,2018-08-06
갈곶관광주유소 앞,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 남부면 갈곶리 193-1,2,간이화장실,1,128.6647476,0,,0,0,34.73939334,0,07-Dec,2018-08-06
홍포주차장,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 남부면 저구리 737-101,1,간이화장실,1,128.5965347,0,,0,0,34.71054947,0,07-Dec,2018-08-06
근포물양장,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 남부면 저구리 489-3,1,간이화장실,1,128.5882027,0,,0,0,34.72072053,0,13-Dec,2018-08-06
능포 장미공원,N,0,24시간,경상남도 거제시청,1,0,055-639-4863,경상남도 거제시 능포동 298-3,2,간이화장실,1,128.7376163,0,,0,0,34.87705497,0,15-Dec,2018-08-06
