화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
칼국수(동상동전통시장6공구),N,0,연중무휴,경상남도 김해시청,1,0,055-330-3373,,2,공중화장실,2,128.8830293,0,경상남도 김해시 구지로180번길 33,0,0,35.23547343,0,,2018-02-18
유공정(동상동전통시장3공구),N,0,연중무휴,경상남도 김해시청,2,0,055-330-3373,,3,공중화장실,3,128.8826603,0,경상남도 김해시 분성로 335,0,0,35.23376692,0,,2018-02-18
장터(동상동전통시장2공구),N,0,연중무휴,경상남도 김해시청,2,0,055-330-3373,,2,공중화장실,2,128.8826554,0,경상남도 김해시 구지로 180번길 36,0,0,35.23526657,0,,2018-02-18
진영시외버스터미널,N,0,연중무휴,경상남도 김해시청,2,0,055-330-3373,,2,공중화장실,3,128.7365648,0,경상남도 김해시 진영로 217-9,0,0,35.30306629,0,,2018-02-18
단감시장(미곡전),N,0,연중무휴,경상남도 김해시청,2,0,055-330-3373,,2,공중화장실,3,128.7324579,0,경상남도 김해시 진영로 180-10,0,0,35.30266379,0,,2018-02-18
진례5일시장,N,1,연중무휴,경상남도 김해시청,2,0,055-330-3373,,5,공중화장실,3,128.7619431,0,경상남도 김해시 송현로 6-1,0,0,35.24631287,1,,2018-02-18
용전숲,N,0,연중무휴,경상남도 김해시청,2,0,055-330-3373,,3,공중화장실,2,128.7636729,0,경상남도 김해시 서부로 860,0,0,35.22899536,0,,2018-02-18
봉하마을(주차장),N,0,연중무휴,경상남도 김해시청,1,0,055-330-3373,,3,공중화장실,3,128.7698277,0,경상남도 김해시 봉하로 115,0,0,35.31423819,0,,2018-02-18
봉하마을(안내소),N,1,연중무휴,경상남도 김해시청,3,0,055-330-3373,,7,공중화장실,3,128.7698278,0,경상남도 김해시 봉하로 114,0,0,35.31343793,1,,2018-02-18
문화의거리,N,0,연중무휴,경상남도 김해시청,2,0,055-330-3373,,3,공중화장실,3,128.8725865,0,경상남도 김해시 가야의길 190,0,0,35.24352988,0,,2018-02-18
삼계임시운동장,Y,0,연중무휴,경상남도 김해시청,2,0,055-330-3373,,3,공중화장실,0,128.8747383,0,경상남도 김해시 삼계로 83,0,0,35.25912308,0,,2018-02-18
초선대,N,0,연중무휴,경상남도 김해시청,1,0,055-330-3373,,1,공중화장실,2,128.909491,0,경상남도 김해시 김해대로 2580번길 21,0,0,35.22701299,0,,2018-02-18
영구암,N,0,연중무휴,경상남도 김해시청,1,0,055-330-3373,,1,공중화장실,0,128.9168517,0,경상남도 김해시 신어산길 170,0,0,35.26873284,0,,2018-02-18
천진암,N,0,연중무휴,경상남도 김해시청,1,0,055-330-3373,,1,공중화장실,0,128.9101025,0,경상남도 김해시 신어산길 169,0,0,35.26938032,0,,2018-02-18
장척계곡(생수공장입구),Y,0,연중무휴,경상남도 김해시청,1,0,055-330-3373,,0,공중화장실,0,128.922826,0,경상남도 김해시 장척로 462번길 53-30,0,0,35.2821628,0,,2018-02-18
