화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
고성시장,N,0,연중무휴,고성군청,42,0,055-670-2411,,50,공중화장실,52,128.3230471,0,경상남도 고성군 고성읍 중앙로25번길 57,0,0,34.97730132,0,,2017-11-30
고성시외버스터미널,N,1,연중무휴,고성군청,3,0,055-670-2411,,7,공중화장실,4,128.3271541,0,경상남도 고성군 고성읍 송학고분로 339,0,0,34.9815503,2,,2017-11-30
버스간이대합실,N,0,연중무휴,고성군청,2,0,055-670-2411,,3,공중화장실,3,128.3255741,0,경상남도 고성군 고성읍 중앙로43번길 62-1,0,0,34.97674018,0,,2017-11-30
장기공설묘지공원,N,0,연중무휴,고성군청,2,0,055-670-2411,,3,공중화장실,2,128.4109022,0,경상남도 고성군 동해면 동해로 1236,0,0,35.04079028,0,,2017-11-30
고성군공설납골당,N,0,연중무휴,고성군청,2,0,055-670-2411,,2,공중화장실,2,128.239183,0,경상남도 고성군 상리면 장치로 220-163,0,0,34.97426733,0,,2017-11-30
고성군노인복지회관,N,0,연중무휴,고성군청,8,0,055-670-2411,,4,공중화장실,0,128.3134156,0,경상남도 고성군 고성읍 남포로79번길 133,0,0,34.96964745,0,,2017-11-30
고성군노인요양원,N,0,연중무휴,고성군청,7,0,055-670-2411,,10,공중화장실,0,128.3144357,0,경상남도 고성군 고성읍 남포로79번길 103-10,0,0,34.96962199,0,,2017-11-30
고성군치매전문요양원,N,1,연중무휴,고성군청,3,0,055-670-2411,,21,공중화장실,1,128.3147371,0,경상남도 고성군 고성읍 남포로79번길 125,0,0,34.96902747,0,,2017-11-30
청소년문화의집,N,0,연중무휴,고성군청,5,0,055-670-2411,,5,공중화장실,8,128.3096339,0,경상남도 고성군 고성읍 교사4길 13,0,0,34.97832281,0,,2017-11-30
영동둔치공원,N,0,연중무휴,고성군청,2,0,055-670-2411,경상남도 고성군 영현면 영부리 38,2,공중화장실,0,128.2121248,0,,0,0,35.04950441,0,,2017-11-30
고성군보건소,N,0,연중무휴,고성군청,4,0,055-670-2411,,5,공중화장실,6,128.3153834,0,경상남도 고성군 고성읍 남포로79번길 103-3,0,0,34.96945671,0,,2017-11-30
하일보건지소,N,0,연중무휴,고성군청,1,0,055-670-2411,,1,공중화장실,0,128.1922446,0,경상남도 고성군 하일면 학림2길 15,0,0,34.94358762,0,,2017-11-30
삼산보건지소,N,0,연중무휴,고성군청,1,0,055-670-2411,경상남도 고성군 삼산면 미룡리 263-3,1,공중화장실,2,128.2732696,0,,0,0,34.93699688,1,,2017-11-30
상리보건지소,N,0,연중무휴,고성군청,1,0,055-670-2411,경상남도 고성군 상리면 척번정리 472-6,2,공중화장실,2,128.1863171,0,,0,0,35.00135542,0,,2017-11-30
구만보건지소,N,0,연중무휴,고성군청,1,0,055-670-2411,경상남도 고성군 구만면 광덕리 821-3,1,공중화장실,0,128.3353164,0,,0,0,35.08565402,0,,2017-11-30
마암보건지소,N,0,연중무휴,고성군청,1,0,055-670-2411,경상남도 고성군 마암면 도전리 449-4,1,공중화장실,0,128.3396959,0,,0,0,35.0544067,0,,2017-11-30
대가보건지소,N,0,연중무휴,고성군청,1,0,055-670-2411,,1,공중화장실,0,128.2981022,0,경상남도 고성군 대가면  유흥3길 16-10,0,0,35.01724238,0,,2017-11-30
