화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
횡천시장,N,0,연중무휴,경상남도 하동군 경제수산과,3,0,055-880-2191,경상남도 하동군 횡천면 횡천리 507-2,4,공중화장실,2,127.8107247,0,경상남도 하동군 횡천면 횡천리 507-2,0,0,35.10915615,0,,2018-06-12
횡천강변화장실,N,0,연중무휴,경상남도 하동군 횡천면,3,0,055-880-6141,,4,공중화장실,4,127.808609,0,경상남도 하동군 횡천면 경서대로 1122,0,0,35.10994543,0,,2018-06-12
하남 이동화장실,N,0,연중무휴,경상남도 하동군 횡천면,1,0,055-880-6141,경상남도 하동군 횡천면 남산리 1168-1,1,공중화장실,0,127.7983056,0,경상남도 하동군 횡천면 남산리 1168-1,0,0,35.09267918,0,,2018-06-12
배다리공원,N,0,연중무휴,경상남도 하동군 고전면,1,0,055-880-6171,경상남도 하동군 고전면 성평리 719-4,1,이동화장실,1,127.8324266,0,경상남도 하동군 고전면 성평리 719-4,0,0,35.02164748,0,,2018-06-12
만남의광장,N,0,연중무휴,경상남도 하동군 문화관광실,2,0,055-880-2371,경상남도 하동군 고전면 전도리 206-1,3,이동화장실,2,127.8043123,0,경상남도 하동군 고전면 전도리 206-1,0,0,34.99935737,0,,2018-06-12
선소공원,N,0,연중무휴,경상남도 하동군 문화관광실,1,0,055-880-2371,경상남도 하동군 고전면 전도리 884-5,1,이동화장실,1,127.7845562,0,경상남도 하동군 고전면 전도리 884-5,0,0,34.99847715,0,,2018-06-12
계천시장,N,0,연중무휴,경상남도 하동군 경제수산과,2,0,055-880-2191,,3,공중화장실,3,127.8096131,0,경상남도 하동군 금남면 섬진강대로 977-17,0,0,34.99616379,0,,2018-06-12
전도버스정류소,N,1,연중무휴,경상남도 하동군 금남면,1,1,055-880-6201,,3,공중화장실,3,127.8080552,0,경상남도 하동군 금남면 섬진강대로 981,0,0,34.99724498,1,,2018-06-12
남해대교,N,0,연중무휴,경상남도 하동군 문화관광실,3,0,055-880-2371,경상남도 하동군 금남면 노량리 558-2,6,공중화장실,4,127.872128,0,경상남도 하동군 금남면 노량리 558-2,0,0,34.94755533,0,,2018-06-12
신노량,N,0,연중무휴,경상남도 하동군 문화관광실,1,0,055-880-2371,,2,공중화장실,2,127.8603443,0,경상남도 하동군 금남면 노량해안길 14,0,0,34.94834602,0,,2018-06-12
구노량,N,0,연중무휴,경상남도 하동군 문화관광실,1,0,055-880-2371,경상남도 하동군 금남면 노량리 828,3,공중화장실,2,127.8764207,0,경상남도 하동군 금남면 노량리 828,0,0,34.94810851,0,,2018-06-12
금오산(경충사),N,1,연중무휴,경상남도 하동군 문화관광실,1,1,055-880-2371,경상남도 하동군 금남면 중평리 857-5,4,공중화장실,3,127.8954379,0,경상남도 하동군 금남면 중평리 857-5,0,0,34.98314411,1,,2018-06-12
고포수변공원,N,1,연중무휴,경상남도 하동군 문화관광실,2,1,055-880-2371,,5,공중화장실,3,127.7712318,0,경상남도 하동군 금성면 고포큰골길19-37,0,0,34.96621821,1,,2018-06-12
금성면 생활체육공원,N,0,연중무휴,경상남도 하동군 금성면,2,0,055-880-6231,경상남도 하동군 금성면 신도길 165-22,3,공중화장실,3,127.7911669,0,경상남도 하동군 금성면 신도길 165-22,0,0,34.96193651,0,,2018-06-12
금오산진교전망대,N,1,연중무휴,경상남도 하동군 문화관광실,2,1,055-880-2371,경상남도 하동군 진교면 안심리 산 86-5,4,공중화장실,3,127.8577164,0,경상남도 하동군 진교면 안심리 산 86-5,0,0,35.01885386,1,,2018-06-12
금오산전망대,N,0,연중무휴,경상남도 하동군 문화관광실,1,0,055-880-2372,경상남도 하동군 금남면 중평리 산100-3,2,공중화장실,2,127.8750661,0,경상남도 하동군 금남면 중평리 산100-3,0,0,34.9891442,0,,2018-06-12
사기마을,N,1,연중무휴,경상남도 하동군 농촌사회과,2,1,055-880-2741,경상남도 하동군 진교면 백련리 126-1,4,공중화장실,2,127.8857653,0,경상남도 하동군 진교면 백련리 126-1,0,0,35.03718759,1,,2018-06-12
진교공설시장,N,0,연중무휴,경상남도 하동군 경제수산과,3,0,055-880-2191,경상남도 하동군 진교면 진교리 302-4,6,공중화장실,5,127.9041725,0,경상남도 하동군 진교면 진교리 302-4,0,0,35.02690993,0,,2018-06-12
민다리체육공원,N,1,연중무휴,경상남도 하동군 체육시설사업소,3,1,055-880-6441,,5,공중화장실,2,127.8972917,0,경상남도 하동군 진교면 민다리길 187-11,0,0,35.0381845,1,,2018-06-12
