화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
입곡군립공원1(입구),N,1,24시간,경상남도 함안군청 환경위생과,2,1,055-580-2431,경상남도 함안군 산인면 입곡리 산137-1,3,공중화장실,3,128.448559,0,,0,0,35.264101,1,Jan-09,2018-07-31
입곡군립공원2(매점앞),N,1,24시간,경상남도 함안군청 환경위생과,2,1,055-580-2431,경상남도 함안군 산인면 입곡리 산137-2,3,공중화장실,2,128.448737,0,,0,0,35.264037,1,Jan-08,2018-07-31
입곡군립공원3(산책로),N,1,24시간,경상남도 함안군청 환경위생과,3,1,055-580-2431,경상남도 함안군 산인면 입곡리 산137-3,5,공중화장실,2,128.448759,0,,0,0,35.264006,1,Jan-06,2018-07-31
입곡군립공원4(운동장주차장),N,0,24시간,경상남도 함안군청 환경위생과,1,0,055-580-2431,경상남도 함안군 산인면 입곡리 산137-4,1,공중화장실,1,128.448794,0,,0,0,35.263193,0,Jan-06,2018-07-31
입곡문화공원,N,1,24시간,경상남도 함안군청 환경위생과,4,0,055-580-2431,경상남도 함안군 산인면 입곡리 1089,9,공중화장실,5,128.445335,1,,0,0,35.259535,1,Jan-09,2018-07-31
함주공원1,N,1,24시간,경상남도 함안군청 문화체육사업소,4,0,055-580-3603,경상남도 함안군 가야읍 도항리 249-1,5,공중화장실,4,128.401238,0,,0,0,35.283466,1,Jan-03,2018-07-31
함주공원2,N,1,24시간,경상남도 함안군청 문화체육사업소,2,0,055-580-3603,경상남도 함안군 가야읍 도항리 249-1,3,공중화장실,3,128.401238,0,,0,0,35.283466,1,Jan-03,2018-07-31
아라공원,N,1,24시간,경상남도 함안군청 환경위생과,3,0,055-580-2431,경상남도 함안군 가야읍 말산리 267-1,5,공중화장실,3,128.407703,0,,0,0,35.272058,1,Jan-05,2018-07-31
검암체육공원,N,0,24시간,경상남도 함안군청 환경위생과,2,0,055-580-2431,경상남도 함안군 가야읍 검암리 1313-91,2,공중화장실,2,128.421347,0,,0,0,35.273692,0,Jan-09,2018-07-31
법수공원,N,0,24시간,경상남도 함안군청 환경위생과,2,0,055-580-2431,경상남도 함안군 법수면 주물리 107-3,2,공중화장실,2,128.372105,0,,0,0,35.331115,0,Jan-09,2018-07-31
무진정,N,0,24시간,경상남도 함안군청 환경위생과,2,0,055-580-2431,경상남도 함안군 가야읍 광정리 15-5,3,공중화장실,3,128.423187,0,,0,0,35.256282,0,Jan-99,2018-07-31
별천계곡,N,1,24시간,경상남도 함안군청 환경위생과,1,1,055-580-2431,경상남도 함안군 여항면 주동리 483,1,공중화장실,1,128.431127,0,,0,0,35.182524,1,Jan-14,2018-07-31
여항산등산로입구,N,1,24시간,경상남도 함안군청 환경위생과,1,0,055-580-2431,경상남도 함안군 여항면 주서리 501,1,공중화장실,1,128.424077,0,,0,0,35.202008,1,Jan-03,2018-07-31
가야시장1,N,0,24시간,경상남도 함안군청 환경위생과,2,0,055-580-2431,경상남도 함안군 가야읍 말산리 470-7,4,공중화장실,4,128.406699,0,,0,0,35.277309,0,Jan-02,2018-07-31
가야시장2,N,1,24시간,경상남도 함안군청 환경위생과,2,1,055-580-2431,경상남도 함안군 가야읍 말산리 420-2,3,공중화장실,3,128.405782,0,,0,0,35.277203,1,Jan-02,2018-07-31
가야시장3,N,0,24시간,경상남도 함안군청 환경위생과,2,0,055-580-2431,경상남도 함안군 가야읍 말산리 116,4,공중화장실,3,128.408207,0,,0,0,35.279586,1,Jan-06,2018-07-31
가야시장4,N,0,24시간,경상남도 함안군청 환경위생과,4,0,055-580-2431,경상남도 함안군 가야읍 말산리 470-7,6,공중화장실,5,128.408164,0,,0,0,35.276621,1,Jan-02,2018-07-31
가야농산물직거래장터,N,1,24시간,경상남도 함안군청 환경위생과,2,0,055-580-2431,경상남도 함안군 가야읍 말산리 93,3,공중화장실,2,128.406645,0,,0,0,35.277283,0,Jan-11,2018-07-31
대산시장,N,1,24시간,경상남도 함안군청 환경위생과,1,0,055-580-2431,경상남도 함안군 대산면 구혜리 318-10,4,공중화장실,2,128.410233,0,,0,0,35.277147,1,Jan-04,2018-07-31
군북시장,N,1,24시간,경상남도 함안군청 환경위생과,2,1,055-580-2431,경상남도 함안군 군북면 중암리 82-3,4,공중화장실,3,128.346393,0,,0,0,35.260888,0,Jan-00,2018-07-31
칠원시장,N,0,24시간,경상남도 함안군청 환경위생과,2,0,055-580-2431,경상남도 함안군 칠원읍 구성리 732-4,3,공중화장실,4,128.519807,0,,0,0,35.306109,0,Jan-96,2018-07-31
대산버스터미널,N,0,24시간,경상남도 함안군청 환경위생과,2,0,055-580-2431,경상남도 함안군 대산면 구혜리 315-3,4,공중화장실,3,128.426839,0,,0,0,35.353558,1,Jan-05,2018-07-31
함안버스터미널,N,0,24시간,경상남도 함안군청(주)함안버스터미널,12,0,055-584-9881,경상남도 함안군  가야읍 말산리 605-3,23,공중화장실,12,128.409133,0,경상남도 함안군 가야읍 함마대로 1636-16,0,0,35.279508,1,Jan-05,2018-07-31
군북역,N,0,06:00~11:00,경상남도 함안군 군북역,2,0,055-585-7788,경상남도 함안군  군북면 동촌리 781-1,7,공중화장실,2,128.350789,0,경상남도 함안군 군북면 의산삼일로 1992,0,0,35.252074,1,Jan-12,2018-07-31
