화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
용유담,N,0,연중무휴,경상남도 함양군청,2,0,055-960-5262,경상남도 함양군 휴천면 송전리산135-1,4,공중화장실,3,127.711446,0,경상남도 함양군 휴천면 모전길 산 135-1,0,0,35.409958,0,Dec-05,2018-08-27
송대빨치산루트,N,0,연중무휴,경상남도 함양군청,1,0,055-960-5262,경상남도 함양군 휴천면 송전리1154,2,공중화장실,2,127.7260282,0,경상남도 함양군 휴천면 송전길 560,0,0,35.40116369,0,Dec-99,2018-08-27
둘레길 안내센터,N,1,연중무휴,경상남도 함양군청,1,0,055-960-5262,경상남도 함양군 마천면 의탄리 870,4,공중화장실,3,127.6849965,0,경상남도 함양군 마천면 금계길 5,0,0,35.40379067,1,Dec-11,2018-08-27
음정마을,N,0,연중무휴,경상남도 함양군청,1,0,055-960-5262,경상남도 함양군 마천면 삼정리 402-2,2,간이화장실,1,127.646443,0,,0,0,35.359705,0,Dec-12,2018-08-27
삼정산,N,0,연중무휴,경상남도 함양군청,1,0,055-960-5262,경상남도 함양군 마천면 삼정리 952,2,공중화장실,1,127.646454,0,경상남도 함양군 마천면 마천삼정로 952,0,0,35.359713,0,Dec-06,2018-08-27
창원마을,N,0,연중무휴,경상남도 함양군청,1,0,055-960-5262,경상남도 함양군 마천면 창원리 730-5,3,공중화장실,2,127.6808002,0,경상남도 함양군 마천면 창원길 29,0,0,35.4213771,0,Dec-11,2018-08-27
마천전통시장,N,0,연중무휴,경상남도 함양군청,1,0,055-960-5262,경상남도 함양군 마천면 가흥리 609-2,2,공중화장실,2,127.662682,0,경상남도 함양군 마천면 천왕봉로 1144-2,0,0,35.39565083,0,Dec-08,2018-08-27
마천조망공원,N,1,연중무휴,경상남도 함양군청,3,0,055-960-5262,경상남도 함양군 마천면 구양리 산60-1,6,공중화장실,6,127.6933402,0,경상남도 함양군 마천면 지리산가는길 534,0,0,35.4416815,1,Dec-04,2018-08-27
의탄유원지,N,0,연중무휴,경상남도 함양군청,1,0,055-960-5262,경상남도 함양군 마천면 의탄리 911-3,3,공중화장실,2,127.6862688,0,경상남도 함양군 마천면 천왕봉로 1406,0,0,35.40583914,0,Dec-12,2018-08-27
추성주차장,N,0,연중무휴,경상남도 함양군청,3,0,055-960-5262,경상남도 함양군 마천면 추성리 342-1,6,공중화장실,4,127.6961189,0,경상남도 함양군 마천면 칠선로 212,0,0,35.38982589,0,Dec-98,2018-08-27
