화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
삼학나루터공원,N,0,연중무휴,합천군(안전총괄과),2,0,,경상남도 합천군 청덕면 삼학리 205-1,3,공중화장실,2,128.3539,0,,0,0,35.58976,0,Jan-12,2018-02-21
청덕수변생태공원,N,0,연중무휴,합천군(안전총괄과),2,0,,경상남도 합천군 청덕면 가현리 56-2,2,공중화장실,3,128.3429,0,,0,0,35.57151,0,Jan-12,2018-02-21
황강생태공원2,N,0,연중무휴,합천군(안전총괄과),2,0,,경상남도 합천군 합천읍 합천리 108-1,3,공중화장실,2,128.1721,0,,0,0,35.56725,0,May-13,2018-02-21
황강생태공원1,N,0,연중무휴,합천군(안전총괄과),2,0,,경상남도 합천군 합천읍 합천리 108-1,3,공중화장실,2,128.1721,0,,0,0,35.56725,0,May-13,2018-02-21
합천동부농협,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천동부농협,2,0,,,2,공중화장실,2,128.2646,0,경상남도 합천군 초계면 초계중앙로 39,0,0,35.56051,0,May-06,2018-02-21
한국농어촌공사,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,한국농어촌공사,4,0,,,3,공중화장실,2,128.2709,0,경상남도 합천군 초계면 초계중앙로 97,0,0,35.56013,0,Jan-66,2018-02-21
초계주유소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,초계주유소,1,0,,,1,공중화장실,3,128.2698,0,경상남도 합천군 초계면 초계중앙로 92,0,0,35.55974,0,Jul-84,2018-02-21
초계우체국,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,초계우체국,1,0,,,1,공중화장실,2,128.2618,0,경상남도 합천군 초계면 초계중앙로 15,0,1,35.56054,0,Dec-83,2018-02-21
초계보건지소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,보건소(초계보건지소),1,0,,,2,공중화장실,3,128.2654,1,경상남도 합천군 초계면 초계중앙로 45,0,0,35.56103,0,Feb-02,2018-02-21
초계면사무소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(초계면),2,0,,,2,공중화장실,1,128.2654,0,경상남도 합천군 초계면 초계중앙로 45,0,0,35.56103,0,Feb-02,2018-02-21
동부지구대,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천경찰서,1,0,,,1,공중화장실,0,128.2648,0,경상남도 합천군 초계면 초계중앙로 43,0,0,35.56034,0,Nov-93,2018-02-21
합천군청(제2청사)화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(재무과),6,0,,,6,공중화장실,9,128.1575,0,경상남도 합천군 합천읍 중앙로 63,0,0,35.56847,0,Dec-91,2018-02-21
합천군청(본관)화장실,N,6,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(재무과),9,3,,,15,공중화장실,12,128.1657,3,경상남도 합천군 합천읍 동서로 119,0,0,35.56826,0,Nov-01,2018-02-21
합천군청(별관)화장실,N,3,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(재무과),6,0,,,6,공중화장실,12,128.1657,0,경상남도 합천군 합천읍 동서로 119,0,0,35.56826,0,Dec-98,2018-02-21
