화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
상대녹지대,Y,0,연중무휴,경상남도 진주시청 녹지공원과,2,0,055-749-2435,경상남도 진주시 상대동 329-1,3,공중화장실,4,128.119593,0,경상남도 진주시 상대동 329-1,0,0,35.184018,0,16-Jun,2018-02-13
대평면사무소,Y,0,평일09:00~18:00,경상남도 진주시청 대평면장,4,0,055-749-3911,경상남도 진주시 대평면 대평리 517-16,4,개방화장실,6,127.960886,0,경상남도 진주시 대평면 한들길 44,0,0,35.232663,0,Aug-98,2018-02-13
천전동주민센터,Y,0,평일09:00~18:00,경상남도 진주시청 천전동장,4,0,055-749-4001,경상남도 진주시 망경동 460-2,2,개방화장실,1,128.084807,0,경상남도 진주시 망경남길 30,0,0,35.180698,0,Jun-96,2018-02-13
자동차극장,Y,0,평일09:00~22:00,경상남도 진주시청 문화관광과,3,0,055-749-2056,경상남도 진주시 판문동 477,5,공중화장실,4,128.039391,0,경상남도 진주시 판문오동길 99-7,0,0,35.175848,0,16-May,2018-02-13
청곡사 박물관,Y,0,평일09:00~18:00,경상남도 진주시청 문화관광과,3,0,055-749-2053,경상남도 진주시 금산면 갈전리 37,5,공중화장실,2,128.180434,0,경상남도 진주시 금산면 월아산로 1440번길 104-5,0,0,35.190113,0,Oct-00,2018-02-13
지수면보건지소,Y,0,평일09:00~18:00,경상남도보건소장,1,0,055-749-4904,경상남도 진주시 지수면 승산리 203-4,1,개방화장실,1,128.270088,0,경상남도 진주시 지수면 지수로 486,0,0,35.234938,0,16-Feb,2018-02-13
오방마을보건지소,Y,0,평일09:00~18:00,경상남도보건소장,1,0,055-749-4904,경상남도 진주시 미천면 오방리 747,2,개방화장실,2,128.115358,0,경상남도 진주시 미천면 오방로 731,0,0,35.299207,0,Oct-80,2018-02-13
진주보건소,Y,0,평일09:00~18:00,경상남도보건소장,6,0,055-749-4904,경상남도 진주시 남성동 3-18,7,개방화장실,9,128.077696,0,경상남도 진주시 진양호로 476,0,0,35.190796,0,Sep-89,2018-02-13
이반성면보건지소,Y,1,평일09:00~18:00,경상남도보건소장,1,0,055-749-4904,경상남도 진주시 이반성면 용암리 301-3,1,개방화장실,1,128.328641,0,경상남도 진주시 이반성면 하곡로 12,0,0,35.170497,0,16-Aug,2018-02-13
봉수현장민원실,Y,0,평일09:00~18:00,경상남도 진주시청 중앙동장,2,0,055-749-2648,경상남도 진주시 봉래동 216,1,개방화장실,2,128.082381,0,경상남도 진주시 의곡길 30번길 4,0,0,35.199742,0,Jun-86,2018-02-13
