화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
작원관지,N,0,09:00~18:00,경상남도 밀양시,3,0,055-359-5633,경상남도 밀양시 삼랑진읍 검세리 산 101번지,4,공중화장실,5,128.8673739,0,,0,0,35.39798904,0,05-Jan,2018-02-24
삼랑진주유소,N,0,09:00~18:00,개인,1,0,055-353-8321,경상남도 밀양시 삼랑진읍 송지리 204번지 11호,1,개방화장실,2,128.8444214,0,경상남도 밀양시 삼랑진읍 천태로 94,0,0,35.40037843,0,05-Jan,2018-02-24
삼랑진역장,N,2,09:00~18:00,코레일,2,2,1544-7788,경상남도 밀양시 삼랑진읍 송지리 156번지 1호,5,공중화장실,3,128.8430878,0,경상남도 밀양시 삼랑진읍 천태로 72,0,0,35.39942553,1,Jan-71,2018-02-24
삼랑진중학교,N,0,09:00~18:00,법인,10,0,055-353-9704,경상남도 밀양시 삼랑진읍 송지리 173번지 1호,11,공중화장실,8,128.8423894,0,경상남도 밀양시 삼랑진읍 만어로 12-5,0,0,35.40084922,0,Jan-94,2018-02-24
송진초등학교,N,1,09:00~18:00,밀양교육지원청,8,1,055-350-1500,경상남도 밀양시 삼랑진읍 송지리 2113번지 2호,15,공중화장실,10,128.8370587,0,경상남도 밀양시 삼랑진읍 삼랑진로 206,0,0,35.39545132,2,Jan-75,2018-02-24
삼랑진초등학교,N,2,09:00~18:00,밀양교육지원청,7,2,055-350-1500,경상남도 밀양시 삼랑진읍 송지리 162번지 2호,22,공중화장실,20,128.8412533,1,경상남도 밀양시 삼랑진읍 만어로 11,4,4,35.40122701,2,Jan-85,2018-02-24
삼원주유소,Y,0,09:00~18:00,개인,0,0,055-353-9535,경상남도 밀양시 삼랑진읍 송지리 432번지 29호,0,개방화장실,0,128.8363279,0,경상남도 밀양시 삼랑진읍 삼랑진로 186,0,0,35.393898,0,Jan-85,2018-02-24
신삼랑진주유소,N,0,09:00~18:00,개인,1,0,055-353-5133,경상남도 밀양시 삼랑진읍 미전리 108번지,1,개방화장실,1,128.8178281,0,경상남도 밀양시 삼랑진읍 상삼로 544,0,0,35.39636593,0,Jan-90,2018-02-24
복돌복주유소,N,0,09:00~18:00,개인,1,0,055-353-7935,경상남도 밀양시 삼랑진읍 삼랑리 56번지 67호,1,개방화장실,1,128.8263904,0,경상남도 밀양시 삼랑진읍 삼랑6길 59,0,0,35.38562092,0,Jan-92,2018-02-24
극동고속주유소,N,0,09:00~18:00,개인,1,0,055-355-0961,경상남도 밀양시 부북면 전사포리 4번지 10호,2,개방화장실,2,128.7546687,0,경상남도 밀양시 부북면 밀양대로 1645,0,0,35.47374893,0,Jan-93,2018-02-24
추원재,N,0,09:00~18:00,경상남도 밀양시,1,0,055-359-5633,경상남도 밀양시 부북면 제대리 101번지,2,공중화장실,2,128.7184723,0,경상남도 밀양시 부북면 추원재길 58,0,0,35.48387285,0,04-Jan,2018-02-24
사포농협협동조합,N,0,09:00~18:00,법인,1,0,055-355-1804,경상남도 밀양시 부북면 전사포리 301번지 22호,2,공중화장실,2,128.7381654,0,경상남도 밀양시 부북면 사포로 158,0,0,35.47393013,0,Jan-92,2018-02-24
예림서원,N,0,09:00~18:00,경상남도 밀양시,2,0,055-359-5633,경상남도 밀양시 부북면 후사포리 179번지,2,공중화장실,3,128.7299691,0,경상남도 밀양시 부북면 예림서원로 128,0,0,35.46631942,0,06-Jan,2018-02-24
사포초등학교,N,0,09:00~18:00,밀양교육지원청,7,0,055-350-1500,경상남도 밀양시 부북면 전사포리 581번지,10,공중화장실,12,128.7336022,0,경상남도 밀양시 부북면 예림서원로 18-3,2,2,35.47504835,0,Jan-94,2018-02-24
우리들요양병원,Y,0,연중무휴,개인,0,0,055-353-1605,경상남도 밀양시 부북면 감천리 538번지 3호,0,공중화장실,0,128.7279712,0,경상남도 밀양시 부북면 감운로 123-13,0,0,35.49690515,0,04-Jan,2018-02-24
가산주유소,N,0,09:00~18:00,개인,1,0,055-355-1099,경상남도 밀양시 부북면 가산리 194번지 1호,1,개방화장실,2,128.7001285,0,경상남도 밀양시 부북면 창밀로 3055,0,0,35.5325404,0,Jan-92,2018-02-24
부북농협주유소,N,0,09:00~18:00,법인,1,0,055-354-7210,경상남도 밀양시 부북면 운전리 952번지 8호,1,개방화장실,1,128.7266359,0,경상남도 밀양시 부북면 부북로 108,0,0,35.51771254,0,Jan-92,2018-02-24
