화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
청소년쉼터,N,0,24시간,경상남도 사천시청,1,0,055-831-2763,경상남도 사천시 동서금동동금동 143,2,공중화장실,2,128.0812686,0,경상남도 사천시 동금동 143,0,0,34.9312107,0,13-Mar,2017-11-09
와룡주차장,N,0,24시간,경상남도 사천시청,1,0,055-831-2763,경상남도 사천시 벌용동와룡동 318,2,공중화장실,2,128.1076683,0,경상남도 사천시 와룡동 318,0,0,34.96908842,0,01-Aug,2017-11-09
와룡마을,N,0,24시간,경상남도 사천시청,1,0,055-831-2763,경상남도 사천시 벌용동와룡동 318,1,공중화장실,1,128.1076683,0,경상남도 사천시 와룡동 318,0,0,34.96908842,0,11-Oct,2017-11-09
용두공원묘지,N,0,24시간,경상남도 사천시청,1,0,055-831-2763,경상남도 사천시 용강동 274-5,1,공중화장실,1,128.0941866,0,경상남도 사천시 용강동 274-5,0,0,34.95059633,0,15-Mar,2017-11-09
와룡산청룡사앞,N,0,24시간,경상남도 사천시청,1,0,055-831-2763,경상남도 사천시 와룡동와룡동 555,1,공중화장실,1,128.108744,0,경상남도 사천시 와룡동 555,0,0,34.97058923,0,01-Feb,2017-11-09
광포,Y,0,24시간,경상남도 사천시청,0,0,055-831-2763,경상남도 사천시 남양동송포동 1526-10,0,공중화장실,0,128.038209,0,경상남도 사천시 송포동 1526-10,0,0,34.96182086,0,01-Feb,2017-11-09
대례숲,N,0,24시간,경상남도 사천시청,1,0,055-831-2763,경상남도 사천시 남양동대포동 457-5,1,공중화장실,1,128.0424788,0,경상남도 사천시 대포동 457-5,0,0,34.98945529,0,01-Jan,2017-11-09
임내숲,N,0,24시간,경상남도 사천시청,1,0,055-831-2763,경상남도 사천시 남양동죽림동 572-1,1,공중화장실,1,128.0659029,0,경상남도 사천시 죽림동 572-1,0,0,34.96811382,0,09-Aug,2017-11-09
임내저수지,N,0,24시간,경상남도 사천시청,1,0,055-831-2763,경상남도 사천시 남양동죽림동 639-3,2,공중화장실,2,128.0690319,0,경상남도 사천시 죽림동 639-3,0,0,34.96994306,0,06-Dec,2017-11-09
사천호국공원,Y,0,24시간,경상남도 사천시청,2,0,055-831-2763,경상남도 사천시  남양동노룡동 산1-1,5,공중화장실,4,128.0631125,0,경상남도 사천시 노룡동 산1-1,0,0,34.99112227,0,10-Dec,2017-11-09
