화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
사량 읍덕마을,N,1,24시간,경상남도 통영시청,0,1,055-650-6450,경상남도 통영시 사량면 읍덕리 368-9,1,공중화장실,0,128.210852,0,경상남도 통영시 사량면 하도일주로 254,0,0,34.824864,1,16-Sep,2018-08-20
미조마을 공중화장실,N,0,24시간,경상남도 통영시청,1,0,055-650-6450,경상남도 통영시 산양읍 추도리 427번지,1,공중화장실,1,128.288155,0,경상남도 통영시 산양읍 추도일주로 303-21,0,0,34.759355,0,17-Feb,2018-08-20
도남해수욕장,N,0,24시간,경상남도 통영시청,4,0,055-650-6450,경상남도 통영시 산양읍 영운리 29-2,4,공중화장실,5,128.441009,0,경상남도 통영시 산양읍 삼칭이해안길 187,0,0,34.820505,0,Dec-96,2018-08-20
내항,N,0,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 한산면 비진리 258-1,4,공중화장실,3,128.461663,0,경상남도 통영시 한산면 비진도길 11,0,0,34.731873,0,Jul-97,2018-08-20
소고포,N,0,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 한산면 염호리 62-4,2,공중화장실,3,128.489871,0,경상남도 통영시 한산면 세작목길 52,0,0,34.796507,0,Mar-98,2018-08-20
욕지덕동,N,0,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 욕지면 서산리 497-5,3,공중화장실,2,128.236888,0,,0,0,34.635945,0,05-Sep,2018-08-20
당금마을,N,1,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 한산면 매죽리 35-26,4,공중화장실,3,128.575261,0,경상남도 통영시 한산면 당금길 28,0,0,34.647362,1,13-May,2018-08-20
유동,N,0,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 욕지면 서산리 120-2,2,공중화장실,1,128.243042,0,경상남도 통영시 욕지면 유동길 106-20,0,0,34.620725,0,Jan-98,2018-08-20
노대상리,N,0,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 욕지면 노대리 56,2,공중화장실,2,128.246288,0,경상남도 통영시 욕지면 상리길 45-14,0,0,34.670236,0,05-Jul,2018-08-20
의항,N,1,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 한산면 두억리 682,2,공중화장실,3,128.468757,0,경상남도 통영시 한산면 문어포길 21-35,0,0,34.784249,1,Jan-00,2018-08-20
대각사,N,0,24시간,경상남도 통영시청,1,0,055-650-6450,경상남도 통영시 산양읍 삼덕리 599,2,공중화장실,2,128.383785,0,,0,0,34.801689,0,04-Mar,2018-08-20
저도,N,0,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 산양읍 저림리 168-12,2,공중화장실,1,128.400312,0,경상남도 통영시 산양읍 저도길 43,0,0,34.752814,0,04-Jan,2018-08-20
안정사,N,1,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 광도면 안정리 1897-1,3,공중화장실,3,128.398609,0,경상남도 통영시 광도면 안정1길 310,0,0,34.944571,1,Sep-00,2018-08-20
옥동(성자암),N,0,24시간,경상남도 통영시청,2,0,055-650-6450,경상남도 통영시 사량면 금평리 산88-2,3,공중화장실,2,128.193591,0,,0,0,34.848978,0,02-Aug,2018-08-20
공설운동장,N,2,09:00~18:00,경상남도 통영시청,10,1,055-650-4720,경상남도 통영시 북신동 54,15,개방화장실,16,128.425572,0,,0,0,34.856998,3,Sep-00,2018-08-20
실내체육관,N,1,09:00~18:00,경상남도 통영시청,3,1,055-650-4720,경상남도 통영시 북신동 80,3,개방화장실,4,128.425572,0,,0,0,34.856998,1,Apr-00,2018-08-20
