화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
의령군청,N,1,09:00~18:00,의령군,21,0,055-570-2210,,20,공중화장실,26,128.261473,0,경상남도 의령군 의령읍 충익로 63,0,0,35.321885,1,,2018-08-16
운동장(동),N,0,00:00~24:00,의령군,2,0,055-570-4955,,4,공중화장실,4,128.266283,0,경상남도 의령군 의령읍 구룡로 245-4,0,0,35.316702,0,,2018-08-16
칠곡면신포숲화장실,N,1,00:00~24:00,의령군,1,0,055-570-4450,,2,공중화장실,4,128.195809,0,경상남도 의령군 칠곡면내조리340-1,0,0,35.355002,1,,2018-08-16
궁류면벽계공중화장실,N,1,00:00~24:00,의령군,1,0,055-570-4830,,2,공중화장실,2,128.198932,0,경상남도 의령군 궁류면벽계리596,0,0,35.423881,1,,2018-08-16
유곡면 운동장화장실,N,1,00:00~24:00,의령군,2,0,055-570-4870,,3,공중화장실,3,128.302713,0,경상남도 의령군 유곡면 칠곡리594,0,0,35.423782,1,,2018-08-16
의령시장,N,0,00:00~24:00,시장번영회,3,0,055-573-7175,,5,공중화장실,5,128.261098,0,경상남도 의령군 의령읍 의병로19길4,0,0,35.320291,0,,2018-08-16
남산주유소,N,0,06:00~22:00,주유소,1,0,055-573-4848,,2,개방화장실,2,128.260696,0,경상남도 의령군 의령읍의병대로1649,0,0,35.316983,0,,2018-08-16
종합사회복지관,N,4,09:00~18:00,의령군,11,0,055-570-2850,,12,공중화장실,13,128.255119,0,경상남도 의령군 의령읍 의병로8길44,0,0,35.316708,4,,2018-08-16
홍의정(가례면),N,0,00:00~24:00,의령군,4,0,055-570-2445,,4,공중화장실,6,128.261345,0,경상남도 의령군 의령읍 의병로16-23,0,0,35.315766,0,,2018-08-16
충익사주차장,N,1,00:00~24:00,의령군,2,0,055-570-4360,,2,개방화장실,3,128.261505,0,경상남도 의령군 의령읍 충익로 54,0,0,35.315982,1,,2018-08-16
충익사(1),N,4,00:00~24:00,의령군,3,0,055-570-2445,,6,공중화장실,6,128.261505,0,경상남도 의령군 의령읍 충익로1,0,0,35.315982,1,,2018-08-16
충익사(2),N,1,00:00~24:00,의령군,2,0,055-570-2445,,5,공중화장실,4,128.261505,1,경상남도 의령군 의령읍 충익로 1,0,1,35.315982,1,,2018-08-16
구름다리,N,0,00:00~24:00,의령군,2,0,055-570-2850,,4,공중화장실,3,128.255469,1,경상남도 의령군 의령읍 벽화로622-6,0,1,35.312186,0,,2018-08-16
국민체육센터,N,1,09:00~18:00,의령군,6,0,055-570-2870,,11,개방화장실,9,128.255119,0,경상남도 의령군 의령읍 의병로 8길44,0,0,35.316708,1,,2018-08-16
서동생활공원야외화장실1동,N,1,00:00~24:00,의령군,3,0,055-570-2850,,6,개방화장실,3,128.255119,0,경상남도 의령군 의령읍 의병로 8길44,0,0,35.316708,1,,2018-08-16
서동생활공원야외화장실2동,N,1,00:00~24:00,의령군,3,0,055-570-2850,,6,개방화장실,3,128.255119,0,경상남도 의령군 의령읍 의병로 8길44,0,0,35.316708,1,,2018-08-16
의령군민회관,N,1,09:00~18:00,의령군,12,0,055-570-4920,,9,개방화장실,14,128.264803,0,경상남도 의령군 의령읍 의병로24길31-1,0,0,35.317961,0,,2018-08-16
시외버스터미널,N,2,07:00~21:00,시외버스터미널,3,0,055-573-2112,,6,공중화장실,5,128.253128,0,경상남도 의령군 의령읍 의병로6길13,0,0,35.320424,1,,2018-08-16
의령군보건소,N,1,09:00~18:00,의령군,8,0,055-570-4005,,8,개방화장실,9,128.261409,0,경상남도 의령군 의령읍 의병로8길16,0,0,35.321762,1,,2018-08-16
의령병원,N,6,09:00~18:00,의령병원,4,0,055-573-4100,,8,공중화장실,8,128.258719,0,경상남도 의령군 의령읍 의병로14길10,0,0,35.318804,2,,2018-08-16
의령사랑병원,N,2,09:00~18:00,의령사랑병원,1,0,055-600-2003,,1,공중화장실,1,128.283981,0,경상남도 의령군 의령읍 무전리 215-2,0,0,35.325902,1,,2018-08-16
중앙주유소,Y,0,06:00~22:00,주유소,1,0,055-573-2621,,1,공중화장실,1,128.264641,0,경상남도 의령군 의령읍 백산로4,0,0,35.320456,0,,2018-08-16
육백사주유소,N,0,06:00~22:00,주유소,1,0,055-573-2604,,1,공중화장실,3,128.255359,0,경상남도 의령군 의령읍 의병로171,0,0,35.319223,0,,2018-08-16
