화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
송현배수지 공중화장실,Y,1,00:00~24:00,인천광역시 동구청,2,1,032-761-0151,인천광역시 동구 송현동 23-62,5,공중화장실,3,126.639532,0,인천광역시 동구 송현공원로 75-21,0,0,37.479011,1,05-Jan,2018-02-17
화도진공원 공중화장실,Y,1,00:00~24:00,인천광역시 동구청,2,1,032-761-0151,인천광역시 동구 화수동 140-53,4,공중화장실,4,126.628693,0,인천광역시 동구 화도진로 114,0,0,37.482375,1,Sep-98,2018-02-17
교통회관 공중화장실,Y,0,00:00~24:00,인천광역시 동구청,2,0,032-761-0151,인천광역시 동구 송림동 318,3,공중화장실,4,126.649254,0,인천광역시 동구 방축로 231,0,0,37.477587,0,Dec-98,2018-02-17
구민운동장 공중화장실,Y,1,00:00~24:00,인천광역시 동구청,3,1,032-761-0151,인천광역시 동구 송림동 319,4,공중화장실,7,126.649254,0,인천광역시 동구 방축로 249,0,0,37.477587,1,01-Jun,2018-02-17
송현공원 이동화장실,Y,0,00:00~24:00,인천광역시 동구청,1,0,032-761-0151,인천광역시 동구 송현동 163,2,이동화장실,2,126.639101,0,인천광역시 동구 솔빛로 51,0,0,37.477194,0,07-Jan,2018-02-17
화도진공원 이동화장실,Y,0,00:00~24:00,인천광역시 동구청,1,0,032-761-0151,인천광역시 동구 화수동 138,2,이동화장실,2,126.630206,0,인천광역시 동구 화도진로 114,0,0,37.485431,0,07-Jan,2018-02-17
만석공원 이동화장실,Y,0,00:00~24:00,인천광역시 동구청,1,0,032-761-0151,인천광역시 동구 만석동 41-15,2,이동화장실,2,126.619664,0,인천광역시 동구 만석동 2-320,0,0,37.483706,0,07-Jan,2018-02-17
구민운동장 이동화장실,Y,0,00:00~24:00,인천광역시 동구청,1,0,032-761-0151,인천광역시 동구 송림동 319,2,이동화장실,2,126.649254,0,인천광역시 동구 방축로 249,0,0,37.477587,0,08-Jan,2018-02-17
송림시장 공중화장실,Y,2,00:00~24:00,인천광역시 동구청,2,2,032-761-0151,인천광역시 동구 송림동 51-8,3,공중화장실,3,126.645733,1,인천광역시 동구 샛골로 180,0,0,37.478227,1,Sep-86,2018-02-17
화수부두 공중화장실,Y,1,00:00~24:00,인천광역시 동구청,4,1,032-761-0151,인천광역시 동구 화수동 7-199,4,공중화장실,5,126.629278,0,인천광역시 동구 화수부두로 35번길 7,0,0,37.488016,0,Sep-88,2018-02-17
만석부두 이동화장실,Y,0,00:00~24:00,인천광역시 동구청,1,0,032-761-0151,인천광역시 동구 만석동 2-320,2,이동화장실,2,126.622347,0,인천광역시 동구,0,0,37.491474,0,07-Jan,2018-02-17
만석동 공중화장실,Y,1,09:00~18:00,인천광역시 동구청,2,1,032-761-0151,인천광역시 동구 만석동 2-1,3,공중화장실,1,126.622537,0,인천광역시 동구 만석부두로 10,0,0,37.488543,1,Sep-86,2018-02-17
만석동 주민센터,Y,2,09:00~18:00,인천광역시 동구 만석동주민센터,2,2,032-770-5760,인천광역시 동구 만석동 18-4,2,공중화장실,3,126.625593,0,인천광역시 동구 석수로 96,0,0,37.483214,0,Dec-88,2018-02-17
