화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
을왕해수욕장 ? 어촌계(산),N,0,연중무휴,인천광역시 중구청,2,0,032-760-8933,인천광역시 중구 을왕동 773-24,4,공중화장실,3,126.3695221,0,인천광역시 중구 을왕동 773-24,0,0,37.44910764,0,,2018-08-09
을왕해수욕장 ?어촌계(해안),N,0,연중무휴,인천광역시 중구청,2,0,032-760-8933,인천광역시 중구 을왕동 산84-23,4,공중화장실,4,126.3690041,0,인천광역시 중구 을왕동 산84-23,0,0,37.44888863,0,,2018-08-09
을왕해수욕장 ? 큰화장실,N,1,연중무휴,인천광역시 중구청,6,0,032-760-8933,인천광역시 중구 을왕동 717-11,12,공중화장실,5,126.3730451,1,인천광역시 중구 을왕동 717-11,1,1,37.44512594,1,,2018-08-09
을왕해수욕장 ? 작은화장실,N,0,연중무휴,인천광역시 중구청,2,0,032-760-8933,인천광역시 중구 을왕동 765-4,3,공중화장실,2,126.3712059,0,인천광역시 중구 을왕동 765-4,0,0,37.4493797,0,,2018-08-09
왕산해수욕장 ? 주차장 우측,N,0,연중무휴,인천광역시 중구청,2,0,032-760-8933,인천광역시 중구 을왕동 810-199,4,공중화장실,3,126.3695693,0,인천광역시 중구 을왕동 810-199,0,0,37.45641319,0,,2018-08-09
왕산해수욕장 ? 주차장 중앙,N,0,연중무휴,인천광역시 중구청,2,0,032-760-8933,인천광역시 중구 을왕동 810-202,4,공중화장실,4,126.3698423,0,인천광역시 중구 을왕동 810-202,0,0,37.45619841,0,,2018-08-09
왕산해수욕장 ? 요트경기장,N,0,연중무휴,인천광역시 중구청,2,0,032-760-8933,인천광역시 중구 을왕동 810-210,4,공중화장실,3,126.3707599,0,인천광역시 중구 을왕동 810-210,0,0,37.45514012,0,,2018-08-09
왕산해수욕장?요트경기장,N,0,연중무휴,인천광역시 중구청,2,0,032-760-8933,인천광역시 중구 을왕동 810-210,4,공중화장실,4,126.3707599,0,인천광역시 중구 을왕동 810-210,0,0,37.45514012,0,,2018-08-09
왕산해수욕장 ? 공영주차장,N,0,연중무휴,인천광역시 중구청,2,0,032-760-8933,인천광역시 중구 을왕동 산87-6,4,공중화장실,2,126.3711867,0,인천광역시 중구 을왕동 산87-6,0,0,37.45384495,0,,2018-08-09
왕산해수욕장 ? 어촌계,N,0,연중무휴,인천광역시 중구청,1,0,032-760-8933,인천광역시 중구 을왕동 810-107,2,공중화장실,1,126.368065,0,인천광역시 중구 을왕동 810-107,0,0,37.45787919,0,,2018-08-09
선녀바위 - 버스정류장,N,0,연중무휴,인천광역시 중구청,2,0,032-760-8933,인천광역시 중구 을왕동 678-129,4,공중화장실,2,126.3785499,0,인천광역시 중구 을왕동 678-129,0,0,37.44085544,0,,2018-08-09
