화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
신도2리 선착장 공중화장실,N,0,24시간,북도면사무소,2,1,032-899-3413,,6,공중화장실,4,126.4385472,0,인천광역시 옹진군 북도면 신도로 5-1,0,0,37.51467352,0,Jan-02,2017-11-27
시도리 종합운동장 공중화장실,N,1,24시간,북도면사무소,3,0,032-899-3413,,6,공중화장실,6,126.4316112,0,인천광역시 옹진군 북도면 시도로86번길 78,0,0,37.53555774,1,Jan-10,2017-11-27
수기해수욕장 공중화장실,N,0,24시간,북도면사무소,2,0,032-899-3413,,2,공중화장실,3,126.4313778,0,인천광역시 옹진군 북도면 시도리 46-4,0,0,37.54424936,0,Jan-99,2017-11-27
시도 노루메기 공중화장실,N,1,24시간,북도면사무소,2,0,032-899-3413,,6,공중화장실,5,126.4192644,0,인천광역시 옹진군 북도면 시도로 190,0,0,37.53683113,0,Jan-01,2017-11-27
모도리 공중화장실,N,1,24시간,북도면사무소,3,0,032-899-3413,,6,공중화장실,3,126.4130154,0,인천광역시 옹진군 북도면 모도로 54,0,0,37.53553885,0,Jan-05,2017-11-27
장봉바다역 야외 공중화장실,N,0,24시간,북도면사무소,1,0,032-899-3413,,3,공중화장실,2,126.3475304,0,인천광역시 옹진군 북도면 장봉로 75,0,0,37.52863962,0,Jan-11,2017-11-27
장봉바다역 공중화장실,N,0,24시간,북도면사무소,2,0,032-899-3413,,2,공중화장실,2,126.3705868,0,인천광역시 옹진군 북도면 장봉로 77,0,0,37.53344988,0,Jan-09,2017-11-27
옹암 해수욕장 주차장 공중화장실,N,1,24시간,북도면사무소,2,0,032-899-3413,,3,공중화장실,3,126.3732412,0,인천광역시 옹진군 북도면 장봉리 59-6외 1필지(154-9),0,0,37.52991411,0,Jan-04,2017-11-27
옹암 해수욕장 공중화장실,N,0,24시간,북도면사무소,3,0,032-899-3413,,3,공중화장실,6,126.3708119,0,인천광역시 옹진군 북도면 장봉로 205,0,0,37.53034808,0,Jan-99,2017-11-27
한들 해수욕장 공중화장실,N,1,24시간,북도면사무소,2,0,032-899-3413,,5,공중화장실,5,126.3453636,0,인천광역시 옹진군 북도면 장봉리 200-18,0,0,37.5290565,0,Jan-01,2017-11-27
이색체험마을 공중화장실,N,0,24시간,북도면사무소,2,0,032-899-3413,,3,공중화장실,3,126.3292707,0,인천광역시 옹진군 북도면 장봉로605번길 145,0,0,37.54181423,0,Jan-13,2017-11-27
진촌 해수욕장 공중화장실,N,0,24시간,북도면사무소,2,0,032-899-3413,,2,공중화장실,3,126.3352636,0,인천광역시 옹진군 북도면 장봉로 740-70,0,0,37.55043269,0,Jan-98,2017-11-27
대부매표소 앞 공중화장실,N,0,24시간,덕적면사무소,1,0,032-899-3744,,3,공중화장실,2,126.1572162,0,인천광역시 옹진군 덕적면 덕적북로 8-6,0,0,37.22854464,0,Jan-09,2017-11-27
도우선착장 공중화장실,N,1,24시간,덕적면사무소,2,0,032-899-3744,,5,공중화장실,4,126.1543771,0,인천광역시 옹진군 덕적면 덕적북로 31-17,0,0,37.22689175,0,Jan-96,2017-11-27
밧지름해수욕장 공중화장실,N,0,24시간,덕적면사무소,3,0,032-899-3744,,6,공중화장실,3,126.1407721,0,인천광역시 옹진군 덕적면 덕적남로 207-1,0,0,37.21520308,0,Jan-04,2017-11-27
블루비치 앞 공중화장실,N,0,24시간,덕적면사무소,1,0,032-899-3744,,3,공중화장실,1,126.1394925,0,인천광역시 옹진군 덕적면 진리 578-4,0,0,37.21598309,0,Jan-13,2017-11-27
서포리 선착장 공중화장실,N,0,24시간,덕적면사무소,2,0,032-899-3744,,2,공중화장실,2,126.1128317,0,인천광역시 옹진군 덕적면 서포리 산 19-1,0,0,37.21373567,0,Jan-80,2017-11-27
서포리 말바위 공중화장실,N,0,24시간,덕적면사무소,4,0,032-899-3744,,4,공중화장실,4,126.1165699,0,인천광역시 옹진군 덕적면 덕적남로531번길 38,0,0,37.2162288,0,Jan-98,2017-11-27
서포리 부천민박 앞 공중화장실,N,0,24시간,덕적면사무소,3,0,032-899-3744,,5,공중화장실,4,126.1155019,0,인천광역시 옹진군 덕적면 덕적남로 573,0,0,37.22124131,0,Jan-92,2017-11-27
서포리 외국인 공중화장실,N,0,24시간,덕적면사무소,4,0,032-899-3744,,8,공중화장실,5,126.1141395,0,인천광역시 옹진군 덕적면 덕적남로587번길 15,0,0,37.22251418,0,Jan-85,2017-11-27
서포리 물량장 공중화장실,N,0,24시간,덕적면사무소,1,0,032-899-3744,,2,공중화장실,2,126.1088086,0,인천광역시 옹진군 덕적면 서포리 569-25,0,0,37.22131367,0,Jan-02,2017-11-27
서포리 해변민박 앞 공중화장실,N,0,24시간,덕적면사무소,4,0,032-899-3744,,8,공중화장실,5,126.1127386,0,인천광역시 옹진군 덕적면 덕적남로587번길 49,0,0,37.22360654,0,Jan-85,2017-11-27
서포리 복지민박 앞 공중화장실,N,0,24시간,덕적면사무소,6,0,032-899-3744,,10,공중화장실,4,126.1157723,0,인천광역시 옹진군 덕적면 덕적남로 617,0,0,37.22394639,0,Jan-93,2017-11-27
서포리 솔밭 공중화장실,N,1,24시간,덕적면사무소,2,0,032-899-3744,,3,공중화장실,2,126.1157723,0,인천광역시 옹진군 덕적면 덕적남로 617,0,0,37.22394639,0,Jan-10,2017-11-27
서포리 운동장 공중화장실,N,0,24시간,덕적면사무소,6,0,032-899-3744,,10,공중화장실,4,126.1171709,0,인천광역시 옹진군 덕적면 덕적남로606번길 6,0,0,37.2230522,0,Jan-92,2017-11-27
서포2리 저수지 물량장 공중화장실,N,0,24시간,덕적면사무소,1,0,032-899-3744,,3,공중화장실,1,126.095947,0,인천광역시 옹진군 덕적면 덕적남로771번길 289,0,0,37.23070211,0,Jan-13,2017-11-27
북1리 공중화장실,N,0,24시간,덕적면사무소,3,0,032-899-3744,,3,공중화장실,2,126.1158626,0,인천광역시 옹진군 덕적면 덕적북로 507,0,0,37.25017748,0,Jan-70,2017-11-27
북2리 물량장 공중화장실,N,0,24시간,덕적면사무소,1,0,032-899-3744,,3,공중화장실,3,126.1184104,0,인천광역시 옹진군 덕적면 북리 155-2,0,0,37.25245262,0,Jan-14,2017-11-27
소재 공중화장실,N,0,24시간,덕적면사무소,2,0,032-899-3744,,2,공중화장실,2,126.112863,0,인천광역시 옹진군 덕적면 북리 산 83 인근 공유수면,0,0,37.25684057,0,Jan-00,2017-11-27
능동자갈마당 공중화장실,N,0,24시간,덕적면사무소,2,0,032-899-3744,,3,공중화장실,2,126.1030046,0,인천광역시 옹진군 덕적면 북리 490-4,0,0,37.26461591,0,Jan-00,2017-11-27
소야리 선착장 공중화장실,N,0,24시간,덕적면사무소,2,0,032-899-3744,,3,공중화장실,2,126.1620766,0,인천광역시 옹진군 덕적면 소야리 598-2 인근 공유수면,0,0,37.22351178,0,Jan-10,2017-11-27
뎃뿌루 공중화장실,N,0,24시간,덕적면사무소,2,0,032-899-3744,,2,공중화장실,3,126.1749844,0,인천광역시 옹진군 덕적면 소야로202번길 90,0,0,37.21274326,0,Jan-00,2017-11-27
