화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
신거북시장,N,1,24시간,인천광역시 서구 신거북시장연합회,2,1,032-577-3528,인천광역시 서구 석남동 540-27,3,공중화장실,2,126.6727118,0,인천광역시 서구 면개포로5,0,0,37.5035351,1,,2018-08-17
가좌시장,N,0,24시간,인천광역시 서구 가좌시장연합회,3,0,032-584-5006,인천광역시 서구 가좌동 30-56,4,공중화장실,4,126.6834116,0,인천광역시 서구 장고개로337번길18-19,0,0,37.4940869,0,,2018-08-17
정서진중앙시장,N,1,24시간,인천광역시 서구 정서진중앙시장연합회,2,1,032-575-5002,인천광역시 서구 신현동 272,5,공중화장실,3,126.6725454,0,인천광역시 서구 가정로369,0,0,37.5179144,1,,2018-08-17
강남시장고객지원센터,N,0,24시간,인천광역시 서구 강남시장 고객지원센터,2,0,032-575-0123,인천광역시 서구 석남동 452-39,3,공중화장실,4,126.6711334,0,인천광역시 서구 가정로307번길 11-2,0,0,37.5120599,0,,2018-08-17
한종프라자,N,0,24시간,인천광역시 서구 한종프라자 관리소,2,0,032-569-2222,인천광역시 서구 마전동 1057-1,2,개방화장실,2,126.6749583,0,인천광역시 서구 원당대로 663 한종프라자,0,0,37.5939004,0,,2018-08-17
현우프라자,N,0,24시간,인천광역시 서구 현우프라자 관리소,3,0,032-561-9977,인천광역시 서구 검암동 513-10,3,개방화장실,2,126.6832908,0,인천광역시 서구 승학로574,0,0,37.5666003,0,,2018-08-17
창신프라자,N,1,24시간,인천광역시 서구 창신프라자 관리소,2,1,032-568-5850,인천광역시 서구 당하동 1028-7,2,개방화장실,2,126.6960164,0,인천광역시 서구 원당대로852,0,0,37.5933114,1,,2018-08-17
으뜸빌딩,N,1,24시간,인천광역시 서구 으뜸빌딩 관리소,2,1,032-567-8833,인천광역시 서구 마전동 904-6,2,개방화장실,3,126.6554959,0,인천광역시 서구 완정로190,0,0,37.6030147,1,,2018-08-17
당하메디칼센터,N,0,24시간,인천광역시 서구 당하메디컬센터 관리소,2,0,032-568-5080,인천광역시 서구 당하동 918-3,2,개방화장실,2,126.6755672,0,인천광역시 서구 서곶로816,0,0,37.5904023,0,,2018-08-17
영프라자,N,1,24시간,인천광역시 서구 영프라자 관리소,2,1,032-561-6400,인천광역시 서구 당하동 1092-1,2,개방화장실,2,126.6743436,0,인천광역시 서구 원당대로660,0,0,37.5932493,1,,2018-08-17
성한캐슬,N,0,24시간,인천광역시 서구 성한캐슬 관리소,2,0,070-7677-6333,인천광역시 서구 석남동 518-18,3,개방화장실,4,126.6709088,0,인천광역시 서구 길주로79,0,0,37.5066765,0,,2018-08-17
월드불로마트,N,0,24시간,인천광역시 서구 월드불로마트 관리소,3,0,032-563-6603,인천광역시 서구 불로동 308,4,개방화장실,3,126.6923633,0,인천광역시 서구 검단로836,0,0,37.6175811,0,,2018-08-17
동곡프라자,N,0,24시간,인천광역시 서구 동곡프라자 관리소,1,0,032-564-1946,인천광역시 서구 검암동 506-1,2,개방화장실,1,126.6807644,0,인천광역시 서구 승학로551,0,0,37.5664685,0,,2018-08-17
우성메디피아,N,0,24시간,인천광역시 서구 우성메디피아 관리소,2,0,032-567-3776,인천광역시 서구 연희동 793-1,4,개방화장실,4,126.678194,0,인천광역시 서구 검단로92번길 6,0,0,37.5489758,0,,2018-08-17
백석대교 밑 공원,N,1,24시간,인천광역시 서구청 환경보전과 오수팀,2,0,032-560-4899,인천광역시 서구 백석동 152-82,2,개방화장실,2,126.6632941,0,인천광역시 서구,0,0,37.5735133,1,,2018-08-17
