화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
청은공원,N,1,연중무휴,인천광역시 연수구청,2,0,032-749-8698,,3,공중화장실,2,126.6720695,1,인천광역시 연수구 동춘동 917-1,1,2,37.4137307,1,,2018-08-17
동춘공원,N,1,연중무휴,인천광역시 연수구청,2,0,032-749-8698,,5,공중화장실,3,126.6697266,1,인천광역시 연수구 동춘동 938-2,1,3,37.4088766,1,,2018-08-17
봉제공원,N,1,연중무휴,인천광역시 연수구청,2,0,032-749-8698,,5,공중화장실,3,126.6675788,1,인천광역시 연수구 동춘동 940-1,1,3,37.4066179,1,,2018-08-17
풍림공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,3,공중화장실,3,126.6708096,1,인천광역시 연수구 동춘동 929-1,1,3,37.4094647,1,,2018-08-17
동막공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,3,126.6733111,1,인천광역시 연수구 동춘동 932-2,1,3,37.4035441,1,,2018-08-17
동남공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,4,126.6689727,1,인천광역시 연수구 동춘동 943-1,1,4,37.4026546,0,,2018-08-17
청량공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,4,공중화장실,3,126.6737439,1,인천광역시 연수구 동춘동 923-4,1,3,37.4109608,1,,2018-08-17
부수지공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,3,126.6782161,1,인천광역시 연수구 동춘동 925-5,1,3,37.4078636,1,,2018-08-17
은행나무공원,Y,0,연중무휴,인천광역시 연수구청,2,0,032-749-8698,,2,공중화장실,2,126.6976073,0,인천광역시 연수구 선학동 345,0,2,37.4208717,0,,2018-08-17
학공원,Y,0,연중무휴,인천광역시 연수구청,2,0,032-749-8698,,2,공중화장실,2,126.6969998,0,인천광역시 연수구 선학동 346,0,2,37.4200766,0,,2018-08-17
승기공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,4,126.6983721,1,인천광역시 연수구 선학동 348,1,4,37.4194376,1,,2018-08-17
선학공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,4,공중화장실,2,126.6991853,1,인천광역시 연수구 선학동 359,1,2,37.4238237,1,,2018-08-17
두리공원,N,0,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,2,공중화장실,2,126.6955975,1,인천광역시 연수구 선학동 365-2,1,2,37.4241933,1,,2018-08-17
마리공원,N,1,연중무휴,인천광역시 연수구청,3,1,032-749-8698,,5,공중화장실,3,126.6815862,1,인천광역시 연수구 연수동 514,1,3,37.4221584,1,,2018-08-17
함박공원,Y,0,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,2,공중화장실,2,126.6814417,0,인천광역시 연수구 연수동 535-3,0,2,37.4223765,0,,2018-08-17
효정공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,3,126.6720312,1,인천광역시 연수구 연수동 537-1,1,3,37.4233857,1,,2018-08-17
문남공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,3,126.6769878,1,인천광역시 연수구 연수동 5141-2,1,3,37.4220141,1,,2018-08-17
일단지공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,3,126.6784881,1,인천광역시 연수구 연수동 544-9,1,3,37.4198591,1,,2018-08-17
솔밭공원,N,1,연중무휴,인천광역시 연수구청,1,1,032-749-8698,,2,공중화장실,2,126.6902996,1,인천광역시 연수구 연수동 582-1,1,2,37.4162975,1,,2018-08-17
양지공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,3,126.6787226,1,인천광역시 연수구 연수동 594-1,1,3,37.4150991,1,,2018-08-17
늘봄공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,4,공중화장실,3,126.6818084,1,인천광역시 연수구 연수동 603,1,3,37.4116317,1,,2018-08-17
솔안공원,N,1,연중무휴,인천광역시 연수구청,3,1,032-749-8698,,3,공중화장실,3,126.6825161,1,인천광역시 연수구 연수동 634-2,1,3,37.4116157,1,,2018-08-17
연수체육공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,3,공중화장실,4,126.6818084,1,인천광역시 연수구 연수동 636,1,4,37.4116317,1,,2018-08-17
연일공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,3,126.6918542,1,인천광역시 연수구 연수동 533-1,1,3,37.4196631,1,,2018-08-17
문화공원,N,1,연중무휴,인천광역시 연수구청,3,1,032-749-8698,,3,공중화장실,4,126.6918352,1,인천광역시 연수구 연수동 578,1,4,37.4195759,1,,2018-08-17
대학공원,N,1,연중무휴,인천광역시 연수구청,6,1,032-749-8698,,8,공중화장실,7,126.6918341,1,인천광역시 연수구 연수동 580,1,7,37.4196181,1,,2018-08-17
새싹공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,4,공중화장실,3,126.6497381,1,인천광역시 연수구 옥련동 245-1,1,3,37.4262601,1,,2018-08-17
청룡공원,N,0,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,4,공중화장실,2,126.6580364,0,인천광역시 연수구 옥련동 산 63-2,0,2,37.4233466,0,,2018-08-17
능허대공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,3,공중화장실,2,126.6552546,0,인천광역시 연수구 옥련동 195-54,0,2,37.4276293,1,,2018-08-17
성호공원,Y,0,연중무휴,인천광역시 연수구청,2,0,032-749-8698,,2,공중화장실,2,126.6678697,0,인천광역시 연수구 청학동 449-1,0,0,37.4231659,0,,2018-08-17
시대공원,Y,0,연중무휴,인천광역시 연수구청,2,0,032-749-8698,,2,공중화장실,2,126.6708041,0,인천광역시 연수구 청학동 451-1,0,0,37.4225637,0,,2018-08-17
하나공원,N,1,연중무휴,인천광역시 연수구청,2,0,032-749-8698,,4,공중화장실,2,126.6705261,0,인천광역시 연수구 청학동 465-1,0,2,37.4191191,1,,2018-08-17
용담공원,N,1,연중무휴,인천광역시 연수구청,3,1,032-749-8698,,3,공중화장실,4,126.6742083,1,인천광역시 연수구 청학동 467,1,4,37.4185788,1,,2018-08-17
청담공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,3,126.6729531,1,인천광역시 연수구 청학동 471,1,3,37.4185188,1,,2018-08-17
청학공원,N,1,연중무휴,인천광역시 연수구청,2,1,032-749-8698,,5,공중화장실,3,126.6751153,1,인천광역시 연수구 청학동 449-1,1,3,37.4160221,1,,2018-08-17
