화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
서귀포시 자기주도학습지원센터,N,2,09:00~18:00,서귀포시 평생교육지원과,4,0,064-760-2262,제주특별자치도 서귀포시 동홍동 402-3,6,공중화장실,4,126.5703212,0,제주특별자치도 서귀포시 동홍중앙로7번길 19(동홍동),0,0,33.25129639,2,,2018-07-31
서귀포시평생학습관,N,1,09:00~21:00,서귀포시 평생교육지원과,5,0,064-760-2262,제주특별자치도 서귀포시 서귀동 321-10,9,공중화장실,4,126.5588016,1,제주특별자치도 서귀포시 서문로29번10(서귀동),1,1,33.2493482,1,,2018-07-31
돈내코산책로 화장실,N,0,24시간,영천동주민센터,4,0,064-760-4652,,8,공중화장실,5,126.5819509,0,제주특별자치도 서귀포시 돈내코로 137,0,0,33.30050357,0,,2018-07-31
영천동주민센터 외부화장실,N,1,24시간,영천동주민센터,1,0,064-760-4652,,1,공중화장실,2,126.5866444,0,제주특별자치도 서귀포시 토평로 15,0,0,33.26876038,1,,2018-07-31
영천동주민센터,N,0,09:00~18:00,영천동주민센터,1,0,064-760-4652,,2,공중화장실,1,126.5866444,0,제주특별자치도 서귀포시 토평로 15,0,0,33.26876038,0,,2018-07-31
서귀포김정희유배지,N,1,24시간,도 세계유산본부,4,0,,제주특별자치도 서귀포시 대정읍 안성리 1640,8,공중화장실,6,126.2782213,0,제주특별자치도 서귀포시 대정읍 추사로 44,0,0,33.2499766,1,,2018-07-31
혼인지,N,1,24시간,도 세계유산본부,2,0,,제주특별자치도 서귀포시 혼인지로39-22,6,공중화장실,4,126.8940798,0,제주특별자치도 서귀포시 혼인지로 39-22,0,0,33.414842,1,,2018-07-31
성읍민속남문상가-1,N,0,24시간,도 세계유산본부,3,0,,제주특별자치도 서귀포시 성읍리855-3,6,공중화장실,8,126.801384,0,제주특별자치도 서귀포시 성읍리855-3,0,0,33.38445915,0,,2018-07-31
성읍민속남문상가-2,N,0,24시간,도 세계유산본부,5,0,,제주특별자치도 서귀포시 성읍리987,11,공중화장실,8,126.8018737,0,제주특별자치도 서귀포시 성읍정의현로22번길 7-1,0,0,33.38463665,0,,2018-07-31
서복전시관,N,1,09:00~18:00,서귀포시 문화예술과,2,0,064-760-6361,제주특별자치도 서귀포시 서귀동 100-2,4,공중화장실,3,126.5706577,0,제주특별자치도 서귀포시 칠십리로 156-8,0,0,33.24480941,0,,2018-07-31
