화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
동산주유소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,동산주유소,2,0,,,2,공중화장실,5,126.7363,0,경상남도 합천군 초계면 동부로 1045,0,0,35.7331,0,Jan-97,2018-02-21
신석정 고택,N,0,상시개방,부안군청,2,0,063-580-4547,전라북도 부안군 부안읍 선은리 532-1,0,공중화장실,2,126.735622,0,전라북도 부안군 부안읍 선은2길 2,0,0,35.740775,0,,2018-08-16
부안 상설시장 주차장 화장실,N,1,상시개방,부안군청,1,1,063-580-4547,전라북도 부안군 부안읍 서외리 56-11,5,공중화장실,5,126.730893,0,전라북도 부안군 부안읍 서외2길 6-2,0,0,35.728639,1,,2018-08-16
썬키스로드 내 화장실,N,1,상시개방,부안군청,1,1,063-580-4547,전라북도 부안군 부안읍 신운리 37-1,1,공중화장실,1,126.754941,0,,0,0,35.729196,1,,2018-08-16
물의거리화장실,N,1,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 부안읍 서외리 542-5,2,공중화장실,2,126.731791,0,,0,0,35.724205,1,,2018-08-16
매 창 공 원,N,0,상시개방,부안군청,2,0,063-580-4547,전라북도 부안군 부안읍 서외리 571-4,3,공중화장실,3,126.728652,0,,0,0,35.722218,1,,2018-08-16
서 림 공 원 (Ⅰ),N,0,상시개방,부안군청,3,0,063-580-4547,전라북도 부안군 부안읍 서외리 산1-1,4,공중화장실,4,126.730509,0,전라북도 부안군 부안읍 서림공원길 37,0,0,35.733461,0,,2018-08-16
서 림 공 원 (Ⅱ),N,0,상시개방,부안군청,3,0,063-580-4547,전라북도 부안군 부안읍 서외리 산4-2,4,공중화장실,4,126.733511,0,,0,0,35.724041,0,,2018-08-16
부안시외버스터미널,N,0,상시개방,부안군청,4,0,063-580-4547,전라북도 부안군 부안읍 봉덕리 574-13,4,공중화장실,5,126.736622,0,전라북도 부안군 부안읍 석정로 210,0,0,35.729001,0,,2018-08-16
부안시내버스터미널 옆,N,0,상시개방,부안군청,2,0,063-580-4547,전라북도 부안군 부안읍 봉덕리 803-1,2,공중화장실,2,126.738651,0,,0,0,35.728067,0,,2018-08-16
부안상설시장 (신)(씨앗시장),N,0,상시개방,부안군청,3,0,063-580-4547,전라북도 부안군 부안읍 서외리 27-6,3,공중화장실,3,126.733096,0,전라북도 부안군 부안읍 시장길 2,0,0,35.728849,1,,2018-08-16
부안상설시장 (구)(생선시장),N,0,상시개방,부안군청,2,0,063-580-4547,전라북도 부안군 부안읍 서외리 20-13,3,공중화장실,2,126.733126,0,전라북도 부안군 부안읍 번영로 115-2,0,0,35.728167,0,,2018-08-16
변산 송포항 입구(해변공원 A동),N,0,상시개방,부안군청,6,0,063-580-4547,전라북도 부안군 변산면 대항리 523-191,10,공중화장실,7,126.528791,0,,0,0,35.676734,2,,2018-08-16
격포어항1 화장실(수협횟집 뒤),N,1,상시개방,부안군청,3,0,063-580-4547,전라북도 부안군 변산면 격포리 788-19,7,공중화장실,6,126.470975,0,,0,0,35.624162,1,,2018-08-16
격포어항2 화장실,N,1,상시개방,부안군청,3,0,063-580-4547,전라북도 부안군 변산면 격포리 788-31,7,공중화장실,6,126.469958,0,전라북도 부안군 변산면 격포중앙길 28-5,0,0,35.624067,1,,2018-08-16
격포 개방형회센터 화장실,N,0,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 변산면 격포리 788-25,2,공중화장실,1,126.470175,0,전라북도 부안군 변산면 격포항길 92,0,0,35.626527,0,,2018-08-16
궁항 화장실,N,0,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 변산면 격포리 720-2,1,공중화장실,1,126.468555,0,,0,0,35.605216,0,,2018-08-16
격포 터미널,N,0,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 변산면 격포리 302-41,3,공중화장실,2,126.471853,0,,0,0,35.627099,1,,2018-08-16
해창 화장실,N,1,상시개방,부안군청,2,1,063-580-4547,전라북도 부안군 변산면 중계리 산18-16,5,공중화장실,3,126.568581,0,,0,0,35.680728,1,,2018-08-16
모항해수욕장 화장실,N,1,상시개방,부안군청,6,0,063-580-4547,전라북도 부안군 변산면 도청리 165,11,공중화장실,8,126.508519,0,전라북도 부안군 변산면 모항길 23-1,0,0,35.584899,1,,2018-08-16
격포어촌전라북도 부안군 계화장실 (개방화장실),N,0,상시개방,부안군청,2,0,063-580-4547,전라북도 부안군 변산면 격포리 788-12,2,공중화장실,3,126.470432,0,전라북도 부안군 변산면 격포항길 24-11,0,0,35.625009,0,,2018-08-16
영상테마파크 홍보관 화장실,N,1,상시개방,부안군청,4,0,063-580-4547,전라북도 부안군 변산면 격포리 802-7,8,공중화장실,4,126.482616,0,,0,0,35.621327,1,,2018-08-16
격포채석강,N,0,상시개방,부안군청,2,0,063-580-4547,전라북도 부안군 변산면 격포리 284-32,5,공중화장실,4,126.471124,0,,0,0,35.630414,1,,2018-08-16
새만금 전시관 앞 특판장,N,1,상시개방,부안군청,6,0,063-580-4547,전라북도 부안군 변산면 대항리 산28-7,9,공중화장실,7,126.557345,0,,0,0,35.698377,1,,2018-08-16
곰소 터미널,N,0,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 진서면 곰소리 226,1,공중화장실,1,126.609273,0,전라북도 부안군 진서면 청자로 959-1,0,0,35.589436,1,,2018-08-16
곰소어항화장실,N,1,상시개방,부안군청,4,0,063-580-4547,전라북도 부안군 진서면 곰소리 842,6,공중화장실,4,126.607923,0,전라북도 부안군 진서면 곰소항길 62,0,0,35.588045,1,,2018-08-16
곰소다용도부지 화장실,N,0,상시개방,부안군청,5,0,063-580-4547,전라북도 부안군 진서면 곰소리 911,9,공중화장실,4,126.612465,0,,0,0,35.590749,1,,2018-08-16
용동 화장실,N,0,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 진서면 석포리 109-1,1,공중화장실,2,126.589822,0,,0,0,35.602826,0,,2018-08-16
작당 화장실,N,0,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 진서면 운호리 301,2,공중화장실,2,126.545971,0,전라북도 부안군 진서면 작당길 17-1,0,0,35.588914,0,,2018-08-16
마동 화장실,N,0,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 진서면 운호리 399-3,2,공중화장실,2,126.527766,0,,0,0,35.599933,0,,2018-08-16
연동삼거리화장실,N,0,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 진서리 114-4,2,공중화장실,2,126.620647,0,전라북도 부안군 진서면 청자로 1177,0,0,35.605137,0,,2018-08-16
왕포화장실,N,0,상시개방,부안군청,0,0,063-580-4547,전라북도 부안군 진서면 운호리 202-16,1,공중화장실,1,126.556771,0,,0,0,35.588991,0,,2018-08-16
웅연상가 1(개방화장실),N,1,상시개방,부안군청,2,0,063-580-4547,전라북도 부안군 진서면 곰소리 788,5,공중화장실,7,126.603651,0,전라북도 부안군 진서면 곰소항길 22-11,0,0,35.588889,1,,2018-08-16
웅연상가 2(개방화장실),N,1,상시개방,부안군청,2,0,063-580-4547,전라북도 부안군 진서면 곰소리 788,5,공중화장실,7,126.603651,0,전라북도 부안군 진서면 곰소항길 22-11,0,0,35.588889,1,,2018-08-16
웅연상가 3(개방화장실),N,1,상시개방,부안군청,2,0,063-580-4547,전라북도 부안군 진서면 곰소리 788,5,공중화장실,7,126.603651,0,전라북도 부안군 진서면 곰소항길 22-11,0,0,35.588889,1,,2018-08-16
내소사,N,1,상시개방,부안군청,5,1,063-580-4547,전라북도 부안군 진서면 석포리 266-1,8,공중화장실,3,126.588284,0,전라북도 부안군 진서면 내소사로 243,0,0,35.618936,1,,2018-08-16
줄 포 시 장,N,1,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 줄포리 728-3,2,공중화장실,3,126.677254,0,전라북도 부안군 부안으로 865,0,0,35.589418,1,,2018-08-16
전라북도 부안군 줄포시내버스터미널,N,0,상시개방,부안군청,1,0,063-580-4547,전라북도 부안군 줄포리 411-13,2,공중화장실,2,126.678749,0,전라북도 부안군 줄포면 줄포중앙로 55,0,0,35.591071,1,,2018-08-16
