화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
한마음주유소,N,0,24시간,전라북도 고창군 한마음주유소,1,0,063-560-8144,전라북도 고창군 고수면 장두리 18-1,2,개방화장실,1,126.668518,0,전라북도 고창군 고수면 고인돌대로 1225,0,0,35.395899,0,Oct-94,2018-07-31
반암공원,N,2,24시간,전라북도 고창군 아산면사무소,2,0,063-560-8174,전라북도 고창군 아산면 반암리 681-2,2,개방화장실,2,126.607431,0,전라북도 고창군 아산면 반암리 681-2,0,0,35.488797,0,17-Oct,2018-07-31
아산주유소,N,0,24시간,전라북도 고창군 아산주유소,1,0,063-560-8174,전라북도 고창군 아산면 상갑리 338,1,개방화장실,1,126.639926,0,전라북도 고창군 아산면 녹두로 805,0,0,35.441009,0,Oct-93,2018-07-31
유정주유소,N,0,24시간,전라북도 고창군 유정주유소,2,0,063-560-8174,전라북도 고창군 아산면 봉덕리 338-2,2,개방화장실,3,126.651998,0,전라북도 고창군 아산면 봉덕리 338-2,0,0,35.427688,0,Oct-93,2018-07-31
무장주유소,N,0,24시간,전라북도 고창군 무장주유소,1,0,063-564-9911,전라북도 고창군 무장면 성내리 75,1,개방화장실,2,126.560854,0,전라북도 고창군 무장면 녹두로 8,0,0,35.419261,0,Oct-92,2018-07-31
금광주유소(무장),N,0,24시간,전라북도 고창군 금광주유소(무장),1,0,063-564-9911,전라북도 고창군 무장면 학천로 18,1,개방화장실,2,126.562881,0,전라북도 고창군 무장면 학천로 18,0,0,35.413929,0,17-Oct,2018-07-31
학원농장,N,2,24시간,전라북도 고창군 학원농장,2,0,063-564-9897,전라북도 고창군 공음면 선동리 산119-20,4,개방화장실,3,126.542608,0,전라북도 고창군 공음면 학원농장길 158-7,0,0,35.375776,0,17-Oct,2018-07-31
해리농협주유소,N,0,24시간,전라북도 고창군 해리농협주유소,1,0,063-560-8264,전라북도 고창군 상하면 상하로 78,1,개방화장실,1,126.494121,0,전라북도 고창군 상하면 상하로 78,0,0,35.444573,0,17-Oct,2018-07-31
명사십리,N,0,24시간,전라북도 고창군 해리면사무소,1,0,063-560-8294,전라북도 고창군 해리면 상부마을 산144-1,1,개방화장실,1,126.476073,0,전라북도 고창군 해리면 상부마을 산144-1,0,0,35.496332,0,17-Oct,2018-07-31
장원주유소,N,0,24시간,전라북도 고창군 장원주유소,1,0,063-561-0111,전라북도 고창군 해리면 하련리 66,1,개방화장실,1,126.544253,0,전라북도 고창군 해리면 하련리 66,0,0,35.458893,0,Oct-91,2018-07-31
대성농협주유소,N,0,24시간,전라북도 고창군 대성농협주유소,1,0,063-560-8324,전라북도 고창군 성송면 대성리 741,1,개방화장실,1,126.646674,0,전라북도 고창군 성송면 대성리 741,0,0,35.364351,0,17-Oct,2018-07-31
오성주유소,N,0,24시간,전라북도 고창군 오성주유소,1,0,063-562-3801,전라북도 고창군 대산면 영대로 1032,1,개방화장실,1,126.576594,0,전라북도 고창군 대산면 영대로 1032,0,0,35.319917,0,Oct-00,2018-07-31
대산주유소,N,0,24시간,전라북도 고창군 대산주유소,1,0,063-562-8260,전라북도 고창군 대산면 매산리 1123-1,1,개방화장실,1,126.604497,0,전라북도 고창군 대산면 대성로 284,0,0,35.340872,0,Oct-82,2018-07-31
대성주유소,N,0,24시간,전라북도 고창군 대성주유소,1,0,063-562-8863,전라북도 고창군 대산면 매산리 186-53,0,개방화장실,1,126.597678,0,전라북도 고창군 대산면 대성로 207,0,0,35.337308,0,Oct-87,2018-07-31
