화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
주차장,N,0,연중무휴,전라북도 군산시 교통행정과,4,0,063-454-3811,전라북도 군산시 해망동1000-9(수산물센터공영주차장),8,공중화장실,3,126.70398,0,,0,0,35.992658,0,Aug-18,2018-08-04
기타,N,0,연중무휴,전라북도 군산시 하수과,1,0,063-454-5483,전라북도 군산시 소룡동어판장길29(어판장),1,공중화장실,2,126.691574,0,전라북도 군산시 소룡동 어판장길29(어판장),0,0,35.986246,0,Jun-98,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 체육진흥과,4,0,063-454-5991,전라북도 군산시 소룡동1071-3(인공암장내),4,공중화장실,3,126.687731,0,전라북도 군산시 솔꼬지1길46,0,0,35.97984,0,Jul-18,2018-08-04
체육,N,0,연중무휴,전라북도 군산시 체육진흥과,2,0,063-454-5991,전라북도 군산시 소룡동237-1(소룡시민체육공원),10,공중화장실,2,126.676061,0,,0,0,35.983317,0,May-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,3,0,063-454-2991,전라북도 군산시 소룡동산127-1(은적사체육시설),3,공중화장실,3,126.684119,0,,0,0,35.975663,0,Aug-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,1,0,063-454-2991,전라북도 군산시 소룡동1554(홀인원여관앞),1,공중화장실,1,126.677651,0,전라북도 군산시 소룡2길55,0,0,35.97366,0,Aug-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 하수과,1,0,063-454-5483,전라북도 군산시 산북동3595(산북시영아파트뒤),1,공중화장실,1,126.676933,0,전라북도 군산시 칠성5길75,0,0,35.963254,0,Jul-96,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,2,0,063-454-2991,전라북도 군산시 내초동1639(내초공원),5,공중화장실,3,126.590478,0,,0,0,35.958994,0,Sep-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,2,0,063-454-2991,전라북도 군산시 소룡동1634(국가공단2호),3,공중화장실,3,126.576589,0,,0,0,35.957654,0,Jul-98,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,2,0,063-454-2991,전라북도 군산시 소룡동1639(국가공단3호),3,공중화장실,3,126.590501,0,,0,0,35.958928,0,Jul-98,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,2,0,063-454-2991,전라북도 군산시 오식도동700(분말공원),3,공중화장실,2,126.574465,0,전라북도 군산시 자유로254,0,0,35.962603,0,Jul-98,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,3,0,063-454-2991,전라북도 군산시 오식도동508(생말공원내),5,공중화장실,5,126.569445,0,,0,0,35.970146,0,Oct-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,3,0,063-454-2991,전라북도 군산시 오식도동864(중앙2호),5,공중화장실,3,126.549837,0,,0,0,35.95035,1,Oct-18,2018-08-04
비응도,N,1,연중무휴,전라북도 군산시 산림녹지과,5,0,063-454-2991,전라북도 군산시 비응도동36-7(비응공원2),13,공중화장실,8,126.534147,0,전라북도 군산시 새만금북로27,0,0,35.94834,1,Aug-18,2018-08-04
비응도,N,1,연중무휴,전라북도 군산시 산림녹지과,5,0,063-454-2991,전라북도 군산시 비응도동36-7(비응공원1),13,공중화장실,8,126.534147,0,전라북도 군산시 새만금북로27,0,0,35.94834,0,Aug-18,2018-08-04
주차장,N,0,연중무휴,전라북도 군산시 항만물류과,4,0,063-454-2811,전라북도 군산시 비응도동93(유란선선착장옆),7,공중화장실,3,126.526379,0,전라북도 군산시 비응도동93(유란선선착장옆),0,0,35.935357,0,Sep-18,2018-08-04
어항,N,0,연중무휴,전라북도 군산시 하수과,2,0,063-454-5483,전라북도 군산시 신시도리260(신치항),4,공중화장실,3,126.452632,0,전라북도 군산시 옥도면 새만금로1563-24,0,0,35.817129,0,Oct-18,2018-08-04
주차장,N,0,연중무휴,전라북도 군산시 문화예술과,4,0,063-454-3311,전라북도 군산시 장미동18-6(근대역사박물관옆),7,공중화장실,5,126.712587,0,전라북도 군산시 내항1길 61-1,0,0,35.990594,0,Aug-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 관광진흥과,6,0,063-454-3361,전라북도 군산시 금동12-22(서초교옆),8,공중화장실,5,126.706023,0,전라북도 군산시 동산길5,0,0,35.990029,0,Aug-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 하수과,1,0,063-454-5483,전라북도 군산시 나운동45-3(주공5차아파트내),1,공중화장실,1,126.708516,0,,0,0,35.968981,0,Jul-96,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 하수과,2,0,063-454-5483,전라북도 군산시 나운동45-5(주공4차아파트내),2,공중화장실,2,126.709929,0,,0,0,35.967354,0,Jun-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,2,0,063-454-2991,전라북도 군산시 수송동785(오투아파트뒤),6,공중화장실,3,126.708913,0,,0,0,35.963412,0,Oct-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,2,0,063-454-2991,전라북도 군산시 수송동789-1(시립도서관부근),6,공중화장실,3,126.709737,0,전라북도 군산시 남수송5길46-2,0,0,35.962404,0,Oct-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 체육진흥과,2,0,063-454-5991,전라북도 군산시 수송동851(체육공원),6,공중화장실,3,126.7209,0,전라북도 군산시 수송로58,0,0,35.965679,0,Oct-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 하수과,1,0,063-454-5483,전라북도 군산시 지곡동564-1(헤세드교회앞),1,공중화장실,1,126.712336,0,,0,0,35.958371,0,Aug-96,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 하수과,1,0,063-454-5483,전라북도 군산시 지곡동531(돌배개교회앞),1,공중화장실,1,126.70948,0,,0,0,35.957361,0,Aug-96,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 산림녹지과,2,0,063-454-2991,전라북도 군산시 지곡동156-5(지곡코아루뒤),3,공중화장실,3,126.70732,0,,0,0,35.954665,0,Aug-18,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 하수과,1,0,063-454-5483,전라북도 군산시 지곡동510-5(시민교회옆),1,공중화장실,1,126.706614,0,,0,0,35.958974,0,Jul-96,2018-08-04
공원,N,0,연중무휴,전라북도 군산시 하수과,2,0,063-454-5483,전라북도 군산시 나운동155-89(우성아파트뒤),2,공중화장실,3,126.701777,0,,0,0,35.959286,0,Jul-96,2018-08-04
