화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
임실군립도서관,N,1,06:00~24:00,임실군,7,0,063-640-2386,전라북도 임실군 오수면 오수리 387-1 임실군립도서관,5,개방화장실,7,127.3294905,0,전라북도 임실군 오수면 충효로 2050,0,0,35.54164973,1,Mar-02,2018-08-01
치즈테마파크(치즈캐슬),N,1,06:00~24:00,임실군,5,0,063-640-2386,전라북도 임실군 성수면 도인리 689 임실치즈테마파크,10,개방화장실,7,127.3004214,0,전라북도 임실군 성수면 도인2길 50,0,0,35.63369832,1,Mar-76,2018-08-01
오수민속장터,N,0,06:00~24:00,임실군,3,0,063-640-2386,전라북도 임실군 오수면 오수리 396-1 민속장터,5,개방화장실,5,127.3278098,0,전라북도 임실군 오수면 삼일로 56,0,0,35.54405928,0,Jul-82,2018-08-01
월파정,N,0,06:00~24:00,임실군,1,0,063-640-2386,전라북도 임실군 덕치면 물우리 687,3,개방화장실,0,127.1524968,0,전라북도 임실군 덕치면 물우1길 38-45,0,0,35.49391421,0,Jul-83,2018-08-01
신안주유소,N,0,06:00~24:00,신안주유소,0,0,063-640-2386,전라북도 임실군 임실읍 이도리 256-3 G.S주유소,0,개방화장실,0,127.2828936,0,전라북도 임실군 임실읍 중동로 49,0,0,35.61306262,0,Apr-84,2018-08-01
금강주유소,N,0,06:00~24:00,금강주유소,0,0,063-640-2386,전라북도 임실군 임실읍 이도리 172-6 sk주유소,0,개방화장실,0,127.2836623,0,전라북도 임실군 임실읍 봉황로 213,0,0,35.6184721,0,Sep-86,2018-08-01
두꺼비주유소,N,0,06:00~24:00,두꺼비주유소,1,0,063-640-2386,전라북도 임실군 임실읍 두곡리 40-1,1,개방화장실,1,127.2904595,0,전라북도 임실군 임실읍 봉황로 391,0,0,35.6309422,0,Nov-86,2018-08-01
임역주유소,N,0,06:00~24:00,임역주유소,1,0,063-640-2386,전라북도 임실군 임실읍 두곡리 103-1(춘향로 2963),2,개방화장실,1,127.2865419,0,전라북도 임실군 임실읍 춘향로 2963,0,0,35.63418576,0,Jul-87,2018-08-01
임실농협주유소,N,0,06:00~24:00,임실농협주유소,0,0,063-640-2386,전라북도 임실군 청웅면 구고리 415-2 임실농협,0,개방화장실,0,127.2025769,0,전라북도 임실군 청웅면 구고6길 66,0,0,35.57008792,0,Nov-87,2018-08-01
SK은하수주유소,N,0,06:00~24:00,SK은하수주유소,0,0,063-640-2386,전라북도 임실군 오수면 대명리 302-3 대명주유소,0,개방화장실,0,127.3214997,0,전라북도 임실군 오수면 춘향로 1827,0,0,35.5585425,0,Jun-87,2018-08-01
금암주유소,N,0,06:00~24:00,금암주유소,0,0,063-640-2386,전라북도 임실군 오수면 금암리 404-2 금암 주유소,0,개방화장실,0,127.3322772,0,전라북도 임실군 오수면 오수로 112,0,0,35.5368063,0,Dec-88,2018-08-01
중앙주유소,N,0,06:00~24:00,중앙주유소,0,0,063-640-2386,전라북도 임실군 오수면 오수리 405-39 중앙오일뱅크,0,개방화장실,0,127.3295646,0,전라북도 임실군 오수면 충효로 2077,0,0,35.54410686,0,Aug-88,2018-08-01
삼각지주유소,N,0,06:00~24:00,삼각지주유소,0,0,063-640-2386,전라북도 임실군 오수면 대명리 881-1 오수주유소,0,개방화장실,0,127.3138803,0,전라북도 임실군 오수면 오수로 460,0,0,35.55895475,0,Oct-89,2018-08-01
대성주유소,N,0,06:00~24:00,대성주유소,1,0,063-640-2386,전라북도 임실군 오수면 오수리 539-5 대성 주유소,2,개방화장실,2,127.3256086,0,전라북도 임실군 오수면 오수로 200,0,0,35.54197418,0,Jan-89,2018-08-01
오수(전주)주유소,N,0,06:00~24:00,오수(전주)주유소,1,0,063-640-2386,,2,개방화장실,2,127.3324656,0,전라북도 임실군 오수면 순천전주고속도로 74,0,0,35.53529133,0,Oct-89,2018-08-01
오수(광양)주유소,N,0,06:00~24:00,오수(광양)주유소,1,0,063-640-2386,,2,개방화장실,2,127.3323992,0,전라북도 임실군 오수면 순천전주고속도로 73,0,0,35.53454119,0,Jul-89,2018-08-01
