화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
진안군청,Y,1,주,전라북도 진안군청,3,1,,전라북도 진안군 진안읍 군하리97-4,3,개방화장실,4,127.424869,0,전라북도 진안군 진안읍 중앙로 67,0,0,35.791688,1,,2018-08-23
진안군청,Y,1,주,전라북도 진안군청,3,1,,전라북도 진안군 진안읍 군하리97-4,3,개방화장실,4,127.424869,0,전라북도 진안군 진안읍 중앙로 67,0,0,35.791688,1,,2018-08-23
진안읍사무소,Y,1,주,전라북도 진안군청,3,1,,전라북도 진안군 진안읍 군하리143,3,개방화장실,4,127.423618,0,전라북도 진안군 진안읍 대성길 3,0,0,35.789165,1,,2018-08-23
진안보건소,Y,1,주,전라북도 진안군청,3,1,,전라북도 진안군 진안읍 군상리90-15,3,개방화장실,4,127.434968,0,전라북도 진안군 진안읍 진무로 1188,0,0,35.797211,1,,2018-08-23
진안경찰서,Y,1,주,전라북도 진안경찰서,3,1,,전라북도 진안군 진안읍 군상리955-2,3,개방화장실,4,127.425909,0,전라북도 진안군 진안읍 우화산길 3,0,0,35.791512,1,,2018-08-23
무진장소방서 진안파출소,Y,1,주,전라북도 진안소방서,3,1,,전라북도 진안군 진안읍 군상리246-1,3,개방화장실,4,127.434724,0,전라북도 진안군 진안읍 진무로 1179,0,0,35.796372,1,,2018-08-23
진안교육청,Y,1,주,전라북도 진안교육청,3,1,,전라북도 진안군 진안읍 군상리222-1,3,개방화장실,4,127.436465,0,전라북도 진안군 진안읍 학천변길 47,0,0,35.794783,1,,2018-08-23
진안세무서,Y,1,주,전라북도 진안세무소,3,1,,전라북도 진안군 진안읍 군하리125-13,3,개방화장실,4,127.423079,0,전라북도 진안군 진안읍 중앙로 45,0,0,35.789858,1,,2018-08-23
진안우체국,Y,1,주,전라북도 진안우체국,3,1,,전라북도 진안군 진안읍 군상리403-70,3,개방화장실,4,127.430343,0,전라북도 진안군 진안읍 진무로 1114,0,0,35.791945,1,,2018-08-23
진안제일고등학교,Y,1,주,전라북도 진안교육청,3,0,,전라북도 진안군 진안읍 군하리386,3,개방화장실,4,127.421039,0,전라북도 진안군 진안읍 대광3길 25-5,0,0,35.786821,1,,2018-08-23
진안중학교,Y,1,주,전라북도 진안교육청,3,0,,전라북도 진안군 진안읍 군상리1053-4,3,개방화장실,4,127.418355,0,전라북도 진안군 진안읍 상역로 86,0,0,35.800588,1,,2018-08-23
무진장축협,Y,1,주,전라북도 무진장축협,3,0,,전라북도 진안군 진안읍 군상리403-59,3,개방화장실,4,127.432221,0,전라북도 진안군 진안읍 진장 로 9,0,0,35.792562,1,,2018-08-23
전북인삼농협,Y,1,주,전라북도 진안인삼조합,3,0,,전라북도 진안군 진안읍 군하리285-14,3,개방화장실,4,127.422967,0,전라북도 진안군 진안읍 진무로 1021,0,0,35.787579,1,,2018-08-23
농협은행,Y,1,주,전라북도 진안농협,3,0,,전라북도 진안군 진안읍 군하리81-2,3,개방화장실,4,127.425471,0,전라북도 진안군 진안읍 중앙로 68,0,0,35.791071,1,,2018-08-23
