화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
어린이놀이터(1),Y,0,24:00:00,전라북도 남원시청 향교동사무소,0,0,063-620-4830,전라북도 남원시 향교동 1052-5,1,공중화장실,2,127.3881533,0,전라북도 남원시 옥정5길 32,0,0,35.41515141,0,,2018-08-07
어린이놀이터(2),Y,0,24:00:00,전라북도 남원시청 향교동사무소,0,0,063-620-4830,전라북도 남원시 향교동 1060-4,1,공중화장실,2,127.3905245,0,전라북도 남원시 옥정2길 25,0,0,35.41369805,0,,2018-08-07
어린이놀이터(3),Y,0,24:00:00,전라북도 남원시청 도통동사무소,0,0,063-620-4851,전라북도 남원시 도통동 504,1,공중화장실,2,127.3907854,0,전라북도 남원시 충정로 170,0,0,35.4193827,0,,2018-08-07
어린이놀이터(4),Y,0,24:00:00,전라북도 남원시청 도통동사무소,0,0,063-620-4851,전라북도 남원시 도통동 510-4,1,공중화장실,1,127.3902813,0,전라북도 남원시 시청북길 26,0,0,35.41714186,0,,2018-08-07
어린이놀이터(5),Y,0,24:00:00,전라북도 남원시청 도통동사무소,0,0,063-620-4851,전라북도 남원시 도통동 521,1,공중화장실,2,127.3925296,0,전라북도 남원시 시청동로 22-12,0,0,35.41577179,0,,2018-08-07
공설시장(1),N,1,24:00:00,전라북도 남원시청 경제과,2,0,063-620-6342,전라북도 남원시 금동 262-1외 2,7,공중화장실,6,127.3759874,0,전라북도 남원시 의총로 21,0,0,35.40241284,0,,2018-08-07
공설시장(2),N,1,24:00:00,전라북도 남원시청 경제과,5,0,063-620-6342,전라북도 남원시 금동 406-16,10,공중화장실,5,127.3744685,0,전라북도 남원시 금하정1길 25-20,0,0,35.4043644,1,,2018-08-07
공설시장(3),N,1,24:00:00,전라북도 남원시청 경제과,2,0,063-620-6342,전라북도 남원시 금동 271-1,4,공중화장실,4,127.3747496,0,전라북도 남원시 금하정2길 53-4,0,0,35.40420489,0,,2018-08-07
용남시장(2),N,0,24:00:00,전라북도 남원시청 경제과,4,0,063-620-6342,전라북도 남원시 하정동 138,4,공중화장실,4,127.3771173,0,전라북도 남원시 동헌길 10,0,0,35.40771266,0,,2018-08-07
운봉시장,N,1,24:00:00,전라북도 남원시청 경제과,2,0,063-620-6342,전라북도 남원시 운봉읍 서천리 242-1,3,공중화장실,2,127.52804,0,전라북도 남원시 서천길 65,0,0,35.43557442,0,,2018-08-07
인월시장(1),N,0,24:00:00,전라북도 남원시청 경제과,2,0,063-620-6342,전라북도 남원시 인월면 인월리 252-1,4,공중화장실,2,127.6015814,0,전라북도 남원시 인월장터로 18,0,0,35.46132485,0,,2018-08-07
인월시장(2),N,1,24:00:00,전라북도 남원시청 경제과,3,0,063-620-6342,전라북도 남원시 인월면 인월리 254-1,6,공중화장실,6,127.6016111,0,전라북도 남원시 인월장터로 16,0,0,35.46116968,1,,2018-08-07
광한루원 정문,N,1,24:00:00,전라북도 남원시청 시설사업소,4,0,063-620-8923,전라북도 남원시 천거동 78,6,공중화장실,3,127.3805045,0,전라북도 남원시 요천로 1447,0,0,35.40412922,0,,2018-08-07
광한루원 서문,N,1,24:00:00,전라북도 남원시청 시설사업소,3,0,063-620-8923,전라북도 남원시 천거동 96-8,6,공중화장실,5,127.3784877,0,전라북도 남원시 요천로 1448,0,0,35.40317295,0,,2018-08-07
광한루 주차장,N,1,24:00:00,전라북도 남원시청 시설사업소,5,0,063-620-8923,전라북도 남원시 천거동 237,7,공중화장실,5,127.3762738,0,전라북도 남원시 요천로 1449,0,0,35.40055163,1,,2018-08-07
광한루 서문주차장,N,1,24:00:00,전라북도 남원시청 시설사업소,3,0,063-620-8923,전라북도 남원시 금동 584,5,공중화장실,4,127.3730083,0,전라북도 남원시 금동로 13,0,0,35.39997409,1,,2018-08-07
운봉황산대첩비,N,0,24:00:00,전라북도 남원시청 운봉읍사무소,2,0,063-620-3801,전라북도 남원시 운봉읍 화수리 344-2,4,공중화장실,5,127.5617269,0,전라북도 남원시 운봉읍 가산화수길 84,0,0,35.45787925,0,,2018-08-07
실상사,N,1,24:00:00,실상사,3,0,063-636-3031,전라북도 남원시 산내면 백일리 518-1,7,공중화장실,5,127.6386741,0,전라북도 남원시 천왕봉로 808,0,0,35.41763397,0,,2018-08-07
만인의총(1),N,0,24:00:00,만인의총관리사무소,3,0,063-290-6600,전라북도 남원시 향교동 636,5,공중화장실,4,127.3773262,0,전라북도 남원시 만인로 3,0,0,35.42040253,0,,2018-08-07
만인의총(2),N,0,24:00:00,만인의총관리사무소,5,0,063-290-6600,전라북도 남원시 향교동 636,11,공중화장실,6,127.3773262,0,전라북도 남원시 만인로 3,0,0,35.42040253,0,,2018-08-07
관광단지 주차장,N,1,24:00:00,전라북도 남원시청 시설사업소,5,0,063-620-8923,전라북도 남원시 어현동 37-18,11,공중화장실,7,127.3866197,0,전라북도 남원시 양림길 12,0,0,35.40294891,1,,2018-08-07
관광안내소 앞,N,1,24:00:00,전라북도 남원시청 시설사업소,4,0,063-620-8923,전라북도 남원시 어현동 37-27,5,공중화장실,5,127.3896608,0,전라북도 남원시 양림길 13,0,0,35.40352679,0,,2018-08-07
국악원 옆,N,1,24:00:00,전라북도 남원시청 시설사업소,4,0,063-620-8923,전라북도 남원시 어현동 37-37,5,공중화장실,3,127.3919164,0,전라북도 남원시 양림길 14,0,0,35.40283089,1,,2018-08-07
그린예식장 뒤,N,1,24:00:00,전라북도 남원시청 시설사업소,2,0,063-620-8923,전라북도 남원시 어현동 37-44,5,공중화장실,6,127.3906241,0,전라북도 남원시 양림길 15,0,0,35.4014831,1,,2018-08-07
남원랜드 밑,N,1,24:00:00,전라북도 남원시청 시설사업소,4,0,063-620-8923,전라북도 남원시 어현동 37-73,5,공중화장실,3,127.3876431,0,전라북도 남원시 양림길 16,0,0,35.40241205,0,,2018-08-07
춘향문화예술회관 밖,N,1,24:00:00,전라북도 남원시청 시설사업소,1,0,063-620-8923,전라북도 남원시 어현동 37-69,3,공중화장실,1,127.3872139,0,전라북도 남원시 양림길 17,0,0,35.40288932,1,,2018-08-07
사랑의 광장,N,0,24:00:00,전라북도 남원시청 시설사업소,2,0,063-620-8923,전라북도 남원시 어현동,4,공중화장실,2,127.3887765,0,전라북도 남원시 양림길 18,0,0,35.37984661,0,,2018-08-07
춘향테마파크 정문,N,1,24:00:00,전라북도 남원시청 시설사업소,4,0,063-620-8923,전라북도 남원시 어현동 37-151,6,공중화장실,3,127.3875265,0,전라북도 남원시 양림길 19,0,0,35.40289553,0,,2018-08-07
춘향테마파크 서편,N,1,24:00:00,전라북도 남원시청 시설사업소,3,0,063-620-8923,전라북도 남원시 어현동 37-157,3,공중화장실,4,127.388082,0,전라북도 남원시 양림길 20,0,0,35.40486582,0,,2018-08-07
교룡산 주차장,N,0,24:00:00,전라북도 남원시청 시설사업소,3,0,063-620-8923,전라북도 남원시 산곡동 251-21,5,공중화장실,6,127.3645059,0,전라북도 남원시 산곡순환길 714,0,0,35.42838428,0,,2018-08-07
교룡산 축구장 위쪽,N,0,24:00:00,전라북도 남원시청 시설사업소,3,0,063-620-8923,전라북도 남원시 산곡동 산29,5,공중화장실,5,127.3613438,0,전라북도 남원시 산곡순환길 716,0,0,35.42653708,0,,2018-08-07
지리산 공용터미널,N,1,24:00:00,전라북도 남원시청 교통과,2,0,063-620-6564,전라북도 남원시 인월면 인월리 233-3,1,공중화장실,1,127.6033055,0,전라북도 남원시 인월면 인월로 73,0,0,35.46146767,0,,2018-08-07
반선공용터미널,N,1,24:00:00,전라북도 남원시청 교통과,3,0,063-620-6564,전라북도 남원시 산내면 부운리 215-3,7,공중화장실,4,127.5806382,0,전라북도 남원시 산내면 지리산로 841,0,0,35.37736444,0,,2018-08-07
남원 공용터미널,N,1,24:00:00,전라북도 남원시청 교통과,5,0,063-620-6564,전라북도 남원시 동충동 37-1,7,공중화장실,5,127.3878935,0,전라북도 남원시 용성로 109,0,0,35.40964701,1,,2018-08-07
고속버스터미널,N,1,24:00:00,전라북도 남원시청 교통과,2,0,063-620-6564,전라북도 남원시 도통동 495-1,4,공중화장실,4,127.3943617,0,전라북도 남원시 춘향로 78,0,0,35.42211467,0,,2018-08-07
남원역,N,1,24:00:00,철도청,5,0,063-631-3229,전라북도 남원시 신정동 531-1,7,공중화장실,5,127.36139,0,전라북도 남원시 교룡로 71,0,0,35.41123261,1,,2018-08-07
남원휴게소,N,0,24:00:00,전라북도 남원시청 주생면사무소,5,0,,전라북도 남원시 주생면 내동리 30-4,8,공중화장실,8,127.2836425,0,전라북도 남원시 주생금풍길 268,0,0,35.3830378,0,,2018-08-07
오리정휴게소,N,1,24:00:00,오리정휴게소,7,0,063-635-8784,전라북도 남원시 사매면 관풍리 798-4,15,공중화장실,10,127.3642864,0,전라북도 남원시 사매면 춘향로 824,0,0,35.48035085,0,,2018-08-07
지리산(상)휴게소,N,1,24:00:00,한국도로공사,8,0,063-636-7195,전라북도 남원시 아영면 아곡리 446-2,16,공중화장실,23,127.6120423,0,전라북도 남원시 아영면 88올림픽고속도로 76,0,0,35.50954197,1,,2018-08-07
지리산(하)휴게소,N,1,24:00:00,한국도로공사,8,0,063-636-7191,전라북도 남원시 아영면 아곡리 444-1,16,공중화장실,23,127.6120423,0,전라북도 남원시 아영면 88올림픽고속도로 75,0,0,35.50954197,1,,2018-08-07
