화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
민속마을 화장실(2),N,0,24시간,전라북도 순창군청,2,0,063-650-5424,전라북도 순창군 순창읍 백산리 265,3,공중화장실,2,127.109163,0,전라북도 순창군 순창읍 민속마을,0,0,35.368894,0,Jun-18,2018-07-31
민속마을 화장실(1),N,1,24시간,전라북도 순창군청,1,0,063-650-5424,전라북도 순창군 순창읍 백산리 265-2,5,공중화장실,5,127.111141,0,전라북도 순창군 순창읍 민속마을길 5-11,0,0,35.368707,1,Jun-18,2018-07-31
복흥재래시장,N,1,24시간,전라북도 순창군청,2,0,063-650-5424,전라북도 순창군 복흥면 정산리 282-1,5,공중화장실,5,126.932676,0,전라북도 순창군 복흥면 정산2길 2,0,0,35.431648,1,Jun-18,2018-07-31
용궐산 화장실,N,1,24시간,전라북도 순창군청,1,1,063-650-1731,전라북도 순창군 동계면 어치리 527,9,공중화장실,3,127.202167,1,전라북도 순창군 동계면 어치리 527,1,1,35.462118,1,Jul-18,2018-07-31
치유의 숲,N,1,24시간,전라북도 순창군청,1,1,063-650-1731,전라북도 순창군 동계면 어치리 산101-1,9,공중화장실,3,127.196309,1,전라북도 순창군 동계면 어치리 산101-1,1,1,35.467907,1,Jul-18,2018-07-31
섬진강향가화장실,N,0,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 풍산면 대가리 산99-2,1,공중화장실,1,127.188069,0,전라북도 순창군 풍산면 대가리 산99-2,0,0,35.338841,0,Jul-18,2018-07-31
장군목화장실,N,0,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 적성면 석산리 산96,1,공중화장실,1,127.201244,0,전라북도 순창군 적성면 강경길 76-85,0,0,35.460634,0,Jul-18,2018-07-31
수양쉼터화장실,N,0,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 금과면 수양리 176-1,1,공중화장실,1,127.108091,0,전라북도 순창군 금과면 금풍로 438,0,0,35.329635,0,Jul-18,2018-07-31
이목쉼터화장실,N,0,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 금과면 목동리 577,1,공중화장실,1,127.053291,0,전라북도 순창군 금과면 목동2길 4,0,0,35.326632,0,Jul-18,2018-07-31
금정체육공원,N,0,24시간,전라북도 순창군청,4,0,063-650-1731,전라북도 순창군 쌍치면 금평리 811-96,3,공중화장실,5,126.991585,0,전라북도 순창군 쌍치면 청정로 58-15,0,0,35.498041,0,Jun-18,2018-07-31
쌍치공용터미널,N,0,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 쌍치면 쌍계리 447-7,2,공중화장실,2,127.000333,0,전라북도 순창군 쌍치면 쌍계로 6-7,0,0,35.499523,0,Jun-18,2018-07-31
복흥면 체육공원,N,0,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 복흥면 정산리 744-38,2,공중화장실,2,126.932711,0,전라북도 순창군 복흥면 정산리 744-38,0,0,35.428547,0,Jun-18,2018-07-31
추령장승촌,N,1,24시간,전라북도 순창군청,2,0,063-650-1731,전라북도 순창군 복흥면 서마리 722-2,4,공중화장실,1,126.92787,0,전라북도 순창군 복흥면 추령로 1792-12,0,0,35.469,0,Jul-18,2018-07-31
복흥공용터미널,N,0,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 복흥면 정산리 388-7,2,공중화장실,1,126.93139,0,전라북도 순창군 복흥면 정산로 6-6,0,0,35.430784,0,Jun-18,2018-07-31
강천산군립공원(여성친화형),N,0,24시간,전라북도 순창군청,0,0,063-650-1731,전라북도 순창군 팔덕면 청계리 979-2,11,공중화장실,0,127.067846,1,전라북도 순창군 팔덕면 강천산길 93,0,1,35.408635,1,Jul-18,2018-07-31
강천산군립공원(제3주자창),N,1,24시간,전라북도 순창군청,4,0,063-650-1731,전라북도 순창군 팔덕면 청계리 산 327,13,공중화장실,5,127.073227,0,전라북도 순창군 팔덕면 강천산 군립공원,0,0,35.411669,0,Jun-18,2018-07-31
강천산군립공원(매표소),N,1,24시간,전라북도 순창군청,5,0,063-650-1731,전라북도 순창군 팔덕면 청계리 981,9,공중화장실,8,127.070132,0,전라북도 순창군 팔덕면 강천산 군립공원,0,0,35.408509,0,Jun-18,2018-07-31
강천산군립공원(이태리화장실),N,1,24시간,전라북도 순창군청,3,0,063-650-1731,전라북도 순창군 팔덕면 청계리 961-1,6,공중화장실,4,127.067646,0,전라북도 순창군 팔덕면 강천산 군립공원,0,0,35.408723,0,Jun-18,2018-07-31
강천산군립공원(병풍폭포),N,1,24시간,전라북도 순창군청,4,0,063-650-1731,전라북도 순창군 팔덕면 청계리 995,7,공중화장실,6,127.065688,0,전라북도 순창군 팔덕면 강천산 군립공원,0,0,35.407669,0,Jun-18,2018-07-31
강천산군립공원(강천사),N,0,24시간,전라북도 순창군청,2,0,063-650-1731,전라북도 순창군 팔덕면 청계리 산 324,3,공중화장실,3,127.056091,0,전라북도 순창군 팔덕면 강천산 군립공원,0,0,35.398876,0,Jun-18,2018-07-31
강천산군립공원(현수교),N,0,24시간,전라북도 순창군청,2,0,063-650-1731,전라북도 순창군 팔덕면 청계리 산 263-1,3,공중화장실,3,127.053149,0,전라북도 순창군 팔덕면 강천산 군립공원,0,0,35.396491,0,Jun-18,2018-07-31
강천산군립공원(구장군폭포),N,1,24시간,전라북도 순창군청,2,0,063-650-1731,전라북도 순창군 팔덕면 청계리 산 287-1,5,공중화장실,3,127.046644,0,전라북도 순창군 팔덕면 강천산 군립공원,0,0,35.393668,0,Jun-18,2018-07-31
사정마을게이트볼장,N,0,24시간,전라북도 순창군청,2,0,063-650-1731,전라북도 순창군 팔덕면 용산리 353-7,2,공중화장실,2,127.096265,0,전라북도 순창군 팔덕면 용산길 4-1,0,0,35.3923,0,Jun-18,2018-07-31
섬진강체육공원,N,0,24시간,전라북도 순창군청,6,0,063-650-1731,전라북도 순창군 유등면 오교리 524-170,6,공중화장실,6,127.196071,0,전라북도 순창군 유등면 유등로 560-22,0,0,35.371235,0,Jun-18,2018-07-31
적성공용터미널,N,0,24시간,전라북도 순창군청,0,0,063-650-1731,전라북도 순창군 적성면 고원리 304-1,1,공중화장실,1,127.207609,0,전라북도 순창군 적성면 적성로 126,0,0,35.396791,0,Jun-18,2018-07-31
장군목 유원지,N,0,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 동계면 어치리 632-3,2,공중화장실,2,127.189239,0,전라북도 순창군 동계면 장군목길 706-4,0,0,35.469855,0,Jul-18,2018-07-31
동계공용터미널,N,1,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 동계면 현포리 609-6,1,공중화장실,1,127.242516,0,전라북도 순창군 동계면 동계로 48,0,0,35.439722,0,Jun-18,2018-07-31
동계시장,N,0,24시간,전라북도 순창군청,2,0,063-650-1731,전라북도 순창군 동계면 현포리 560-2,1,공중화장실,1,127.24,0,전라북도 순창군 동게면 동계로 22,0,0,35.439729,0,Jul-18,2018-07-31
구송정 유원지,N,0,24시간,전라북도 순창군청,4,0,063-650-1731,전라북도 순창군 동계면 서호리 402,2,공중화장실,2,127.249168,0,전라북도 순창군 동계면 서호길 48-1,0,0,35.434584,0,Jun-18,2018-07-31
귀례정 체육공원,N,0,24시간,전라북도 순창군청,1,0,063-650-1731,전라북도 순창군 순창읍 가남리 544-1,1,공중화장실,0,127.139769,0,전라북도 순창군 순창읍 가남리 544-1,0,0,35.367648,0,Jun-18,2018-07-31
순창제일고 현충탑,N,0,24시간,전라북도 순창군청,2,0,063-650-1731,전라북도 순창군 순창읍 남계리 162,2,공중화장실,0,127.148275,0,전라북도 순창군 순창읍 남계리 162,0,0,35.378389,0,Jun-18,2018-07-31
순창전통시장 어물전,N,0,24시간,전라북도 순창군청,2,0,063-650-1732,전라북도 순창군 순창읍 남계리 800-4,3,공중화장실,2,127.145125,0,전라북도 순창군 순창읍 남계로 52,0,0,35.371116,3,Jun-18,2018-07-31
순창전통시장 고추전,N,0,24시간,전라북도 순창군청,2,0,063-650-1733,전라북도 순창군 순창읍 남계리 808,3,공중화장실,2,127.146,0,전라북도 순창군 순창읍 순창2길 35-4,0,0,35.371054,3,Jun-18,2018-07-31
시장터미널,N,0,24시간,전라북도 순창군청,2,0,063-650-1731,전라북도 순창군 순창읍 남계리 800,3,공중화장실,4,127.148251,0,전라북도 순창군 순창읍 남계로 58,0,0,35.373422,0,Jul-18,2018-07-31
순창군공용터미널,N,1,24시간,전라북도 순창군청,3,0,063-650-1731,전라북도 순창군 순창읍 순화리 114-9,3,공중화장실,4,127.141215,0,전라북도 순창군 순창읍 장류로 355,0,0,35.376749,1,Jun-18,2018-07-31
산내소재지(농협),N,0,연중무휴,전라북도 정읍시청,2,0,063-539-7632,전라북도 정읍시 산내면 능교리444-1,2,공중화장실,2,127.143141,0,,0,0,35.335697,0,Jun-90,2018-07-02
매죽천(상류),N,0,연중무휴,전라북도 정읍시청,0,0,063-539-7632,전라북도 정읍시 산내면 매죽리 985-2,1,공중화장실,1,127.122851,0,,0,0,35.324751,0,Apr-72,2018-07-02
매죽천(하류),N,0,연중무휴,전라북도 정읍시청,0,0,063-539-7632,전라북도 정읍시 산내면 매죽리 985-3,1,공중화장실,1,127.123411,0,,0,0,35.324412,0,Apr-72,2018-07-02
매죽교,N,0,연중무휴,전라북도 정읍시청,2,0,063-539-7632,전라북도 정읍시 산내면 매죽리산213-13,2,공중화장실,2,127.049481,0,,0,0,35.325336,0,Nov-76,2018-07-02
옥정호구절초테마공원,N,0,연중무휴,전라북도 정읍시청,2,0,063-539-6173,전라북도 정읍시 산내면 능교리247-9,9,공중화장실,2,127.133611,0,,0,0,35.332258,0,Mar-77,2018-07-02
구절초테마공원2,N,0,연중무휴,전라북도 정읍시청,2,0,063-539-6173,전라북도 정읍시 산내면 매죽리 599,9,공중화장실,2,127.137031,0,,0,0,35.335534,0,Sep-08,2018-07-02
구절초테마공원3,N,0,연중무휴,전라북도 정읍시청,2,0,063-539-6173,전라북도 정읍시 산내면 매죽리 604,6,공중화장실,3,127.164601,0,,0,0,35.331017,0,Sep-08,2018-07-02
구절초테마공원4,N,0,연중무휴,전라북도 정읍시청,2,0,063-539-6173,전라북도 정읍시 산내면 매죽리 571,3,공중화장실,2,127.121401,0,,0,0,35.325821,0,Oct-07,2018-07-02
구절초테마공원5,N,0,연중무휴,전라북도 정읍시청,2,0,063-539-6173,전라북도 정읍시 산내면 매죽리 571,3,공중화장실,2,127.121401,0,,0,0,35.325821,0,Nov-82,2018-07-02
