화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
향교,N,0,24시간,완주군 고산면사무소,1,0,063-290-3635,전라북도 완주군 고산면 읍내리 143,1,공중화장실,1,127.2141658,0,,0,0,35.9760048,0,,2018-08-20
오성교,N,0,24시간,완주군 고산면사무소,1,0,063-290-3635,전라북도 완주군 고산면 읍내리 155-14,1,공중화장실,0,127.2148827,0,,0,0,35.9741529,0,,2018-08-20
신당교,N,0,24시간,완주군 고산면사무소,1,0,063-290-3635,전라북도 완주군 고산면 오산리 86-2,2,공중화장실,1,127.2452158,0,,0,0,35.9838829,0,,2018-08-20
화전교,N,0,24시간,완주군 고산면사무소,1,0,063-290-3635,전라북도 완주군 고산면 성재리 837-6,1,공중화장실,0,127.2090194,0,,0,0,35.9650113,0,,2018-08-20
남봉교,N,0,24시간,완주군 고산면사무소,1,0,063-290-3635,전라북도 완주군 고산면 남봉리 851-4,1,공중화장실,1,127.2033286,0,,0,0,35.9708682,0,,2018-08-20
체련공원,N,0,24시간,완주군 고산면사무소,1,0,063-290-3635,전라북도 완주군 고산면 읍내리 906-2,1,공중화장실,1,127.20106,0,,0,0,35.9759455,0,,2018-08-20
팔각정,N,0,24시간,완주군 고산면사무소,1,0,063-290-3635,전라북도 완주군 고산면 소향리 산92-10,1,공중화장실,0,127.2652595,0,,0,0,35.9833311,0,,2018-08-20
대치마을,N,0,24시간,완주군 비봉면사무소,1,0,063-290-3659,전라북도 완주군 비봉면 대치로 329-4,1,공중화장실,0,127.1489304,0,,0,0,36.0403902,0,,2018-08-20
망산교,N,0,24시간,완주군 구이면사무소,1,0,063-290-3593,전라북도 완주군 구이면 항가리 661-2,1,공중화장실,1,127.120688,0,,0,0,35.7121574,0,,2018-08-20
구 시장내,N,0,24시간,완주군 고산면사무소,1,0,063-290-3635,전라북도 완주군 고산면 읍내리 619-1,1,공중화장실,1,127.207609,0,,0,0,35.9752588,0,,2018-08-20
신체육광장,N,0,24시간,완주군 경천면사무소,2,0,063-290-3777,전라북도 완주군 경천면 경천리 241-2,4,공중화장실,3,127.2523853,0,,0,0,36.0209528,0,,2018-08-20
구재삼거리,N,0,24시간,완주군 경천면사무소,1,0,063-290-3777,전라북도 완주군 경천면 경천리 294-4,1,공중화장실,1,127.2577525,0,,0,0,36.0235998,0,,2018-08-20
와일드푸드주차장,N,0,24시간,완주군 고산면사무소,2,0,063-290-3635,전라북도 완주군 고산면 오산리 96-1,3,공중화장실,2,127.2423602,0,,0,0,35.9867941,0,,2018-08-20
세월교,N,0,24시간,완주군 경천면사무소,1,0,063-290-3777,전라북도 완주군 경천면 가천리 162,1,공중화장실,0,127.2792305,0,,0,0,36.0347894,0,,2018-08-20
화암사주차장,N,0,24시간,완주군 경천면사무소,2,0,063-290-3777,전라북도 완주군 경천면 가천리 1146,3,공중화장실,2,127.2800669,0,,0,0,36.0636447,0,,2018-08-20
구체육광장1,N,0,24시간,완주군 경천면사무소,2,0,063-290-3777,전라북도 완주군 경천면 경천리 680-77,3,공중화장실,2,127.2540965,0,,0,0,36.0218467,0,,2018-08-20
구체육광장2,N,0,24시간,완주군 경천면사무소,1,0,063-290-3777,전라북도 완주군 경천면 경천리 680-77,3,공중화장실,2,127.2540965,0,,0,0,36.0218467,0,,2018-08-20
위봉폭포,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 수만리 산52-6,1,공중화장실,1,127.261446,0,,0,0,35.9104013,0,,2018-08-20
학동 청국장 옆,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 수만리 63-1,1,공중화장실,1,127.2800556,0,,0,0,35.9169044,0,,2018-08-20
입석교,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 수만리 492,1,공중화장실,0,127.2720863,0,,0,0,35.9281047,0,,2018-08-20
민박산장위,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 수만리 산73-4,1,공중화장실,0,127.269282,0,,0,0,35.9330089,0,,2018-08-20
민박산장아래,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 수만리 산74-9,1,공중화장실,0,127.2686268,0,,0,0,35.9343569,0,,2018-08-20
수만교,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 수만리 산92-5,1,공중화장실,1,127.2671427,0,,0,0,35.9438746,0,,2018-08-20
마그네다리옆,N,0,24시간,완주군 봉동읍사무소,1,0,063-290-3444,전라북도 완주군 봉동읍 신성리 19-1,1,공중화장실,0,127.1670717,0,,0,0,35.926495,0,,2018-08-20
봉동교,N,0,24시간,완주군 봉동읍사무소,1,0,063-290-3444,전라북도 완주군 봉동읍 구만리 1-2,1,공중화장실,0,127.167979,0,,0,0,35.9223914,0,,2018-08-20
봉서체험장,N,0,24시간,완주군 용진읍사무소,1,0,063-290-3479,전라북도 완주군 용진면 간중리 14-3,1,공중화장실,1,127.2032387,0,,0,0,35.9035045,0,,2018-08-20
봉서사 입구,N,0,24시간,완주군 용진읍사무소,1,0,063-290-3479,전라북도 완주군 용진면 간중리 산71,1,공중화장실,1,127.2084549,0,,0,0,35.9025475,0,,2018-08-20
봉서사 계곡,N,0,24시간,완주군 용진읍사무소,1,0,063-290-3479,전라북도 완주군 용진면 간중리 산70-3,1,공중화장실,0,127.2185989,0,,0,0,35.9029022,0,,2018-08-20
봉서사 계곡,N,0,24시간,완주군 용진읍사무소,1,0,063-290-3479,전라북도 완주군 용진면 간중리 산70-3,1,공중화장실,0,127.2185989,0,,0,0,35.9029022,0,,2018-08-20
한일장신대 다리,N,0,24시간,완주군 상관면사무소,1,0,063-290-3505,전라북도 완주군 상관면 신리 627-1,1,공중화장실,1,127.205645,0,,0,0,35.7675479,0,,2018-08-20
신기부락 버스정류장,N,0,24시간,완주군 이서면사무소,1,0,063-290-3536,전라북도 완주군 이서면 남계리 245-2,1,공중화장실,1,127.0189116,0,,0,0,35.8602501,0,,2018-08-20
익산-장수간 고속도로,N,0,24시간,완주군 삼례읍사무소,1,0,063-290-3403,전라북도 완주군 삼례읍 신탁리 186-2,1,공중화장실,1,127.1267831,0,,0,0,35.9080391,0,,2018-08-20
명덕교(단암사-1),N,0,24시간,완주군 소양면사무소,1,0,063-290-3562,전라북도 완주군 소양면 명덕리 1131-2,1,공중화장실,1,127.2095125,0,,0,0,35.8562451,0,,2018-08-20
명덕교(단암사-2),N,0,24시간,완주군 소양면사무소,1,0,063-290-3562,전라북도 완주군 소양면 명덕리 1131-2,1,공중화장실,1,127.2095125,0,,0,0,35.8562451,0,,2018-08-20
황운1교,N,0,24시간,완주군 소양면사무소,1,0,063-290-3562,전라북도 완주군 소양면 황운리 866-4,2,공중화장실,1,127.2256441,0,,0,0,35.8527898,0,,2018-08-20
봉서골 입구(주차장 약수터),N,0,24시간,완주군 용진읍사무소,1,0,063-290-3479,전라북도 완주군 용진면 간중리 14-3,1,공중화장실,1,127.2032387,0,,0,0,35.9035045,0,,2018-08-20
황운마을,N,0,24시간,완주군 소양면사무소,1,0,063-290-3562,전라북도 완주군 소양면 황운리 787-1,1,공중화장실,1,127.2314617,0,,0,0,35.8533949,0,,2018-08-20
소양성당앞,N,0,24시간,완주군 소양면사무소,1,0,063-290-3562,전라북도 완주군 소양면 황운리 635-9,1,공중화장실,0,127.2358029,0,,0,0,35.8555767,0,,2018-08-20
미륵사입구,N,0,24시간,완주군 소양면사무소,1,0,063-290-3562,전라북도 완주군 소양면 신촌리 산18-4,1,공중화장실,0,127.2818808,0,,0,0,35.7979144,0,,2018-08-20
송광사 주차장,N,0,24시간,완주군 소양면사무소,1,0,063-290-3562,전라북도 완주군 소양면 대흥리 570-13,1,공중화장실,1,127.2414768,0,,0,0,35.8841211,0,,2018-08-20
대덕교,N,0,24시간,완주군 구이면사무소,1,0,063-290-3593,전라북도 완주군 구이면 계곡리 709-1,1,공중화장실,1,127.1061044,0,,0,0,35.6671278,0,,2018-08-20
오봉산,N,0,24시간,완주군 구이면사무소,1,0,063-290-3593,전라북도 완주군 구이면 백여리 58,1,공중화장실,1,127.1175175,0,,0,0,35.6507355,0,,2018-08-20
성덕교,N,0,24시간,완주군 구이면사무소,1,0,063-290-3593,전라북도 완주군 구이면 계곡리 13,1,공중화장실,1,127.1206649,0,,0,0,35.7001515,0,,2018-08-20
청소아래,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 대아리 224-3,1,공중화장실,0,127.315887,0,,0,0,35.9892539,0,,2018-08-20
벧엘기도원,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 282-1,1,공중화장실,0,127.2960278,0,,0,0,35.9613341,0,,2018-08-20
용연용소위,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 산101-2,1,공중화장실,0,127.3007151,0,,0,0,35.960325,0,,2018-08-20
운장산주차장,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 857-1,1,공중화장실,1,127.349097,0,,0,0,35.9289606,0,,2018-08-20
짝밭골(초원산장 밑),N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 945,1,공중화장실,0,127.3229758,0,,0,0,35.9395331,0,,2018-08-20
명지목산장,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 795-7,1,공중화장실,1,127.3182149,0,,0,0,35.9454278,0,,2018-08-20
용현교,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 728,1,공중화장실,0,127.3102416,0,,0,0,35.9560988,0,,2018-08-20
용현교 위,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 산23-3,1,공중화장실,1,127.3134526,0,,0,0,35.9565408,0,,2018-08-20
최씨제각,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 대아리 874-1,1,공중화장실,1,127.276399,0,,0,0,35.9705281,0,,2018-08-20
검태선녀교 위,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 909,1,공중화장실,1,127.3358226,0,,0,0,35.9221193,0,,2018-08-20
구수산장,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 940,1,공중화장실,1,127.3257047,0,,0,0,35.9614772,0,,2018-08-20
용현마을회관,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 205,1,공중화장실,1,127.3104987,0,,0,0,35.9596875,0,,2018-08-20
신월교,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 산100-9,1,공중화장실,1,127.2957672,0,,0,0,35.9582141,0,,2018-08-20
김봉윤 앞,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 433-1,1,공중화장실,1,127.2905291,0,,0,0,35.9426899,0,,2018-08-20
서광장위,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 산56-8,1,공중화장실,1,127.3245988,0,,0,0,35.9376584,0,,2018-08-20
면민운동장,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 신월리 992,3,공중화장실,2,127.2927999,0,,0,0,35.9391071,0,,2018-08-20
연석산주차장,N,0,24시간,완주군 동상면사무소,1,0,063-290-3749,전라북도 완주군 동상면 사봉리 532,1,공중화장실,1,127.3124346,0,,0,0,35.8934614,0,,2018-08-20
화산주유소 앞,N,0,24시간,완주군 화산면사무소,1,0,063-290-3712,전라북도 완주군 화산면 화월리 620,1,공중화장실,1,127.2005812,0,,0,0,36.032291,0,,2018-08-20
마안마을 안쪽,N,0,24시간,완주군 화산면사무소,1,0,063-290-3712,전라북도 완주군 화산면 종리 36-75,1,공중화장실,1,127.2419843,0,,0,0,36.0157052,0,,2018-08-20
궁동다리앞,N,0,24시간,완주군 운주면사무소,1,0,063-290-3684,전라북도 완주군 운주면 금당리 11-4,1,공중화장실,0,127.3322455,0,,0,0,36.0208463,0,,2018-08-20
대활골,N,0,24시간,완주군 운주면사무소,1,0,063-290-3684,전라북도 완주군 운주면 금당리 95,1,공중화장실,1,127.3268387,0,,0,0,36.060473,0,,2018-08-20
수룡가든 뒤,N,0,24시간,완주군 운주면사무소,1,0,063-290-3684,전라북도 완주군 운주면 고당리 401,1,공중화장실,1,127.3425683,0,,0,0,36.0363243,0,,2018-08-20
옥배다리 옆 산쪽,N,0,24시간,완주군 운주면사무소,1,0,063-290-3684,전라북도 완주군 운주면 금당리 828,1,공중화장실,1,127.3155378,0,,0,0,36.0734147,0,,2018-08-20
